fundulus_heteroclitus ENSFHEG00000004999
cyprinodon_variegatus ENSCVAG00000010365
xiphophorus_maculatus ENSXMAG00000014735
xiphophorus_couchianus ENSXCOG00000003552
gambusia_affinis ENSGAFG00000013200
poecilia_formosa ENSPFOG00000018423
poecilia_latipinna ENSPLAG00000016849
poecilia_mexicana ENSPMEG00000021323
poecilia_reticulata ENSPREG00000013487
kryptolebias_marmoratus ENSKMAG00000012785
oryzias_latipes_asm223467v1 ENSORLG00000012620
oryzias_latipes_asm223471v1 ENSORLG00020021311
oryzias_latipes_asm223469v1 ENSORLG00015020188
oryzias_melastigma ENSOMEG00000003195
amphiprion_ocellaris ENSAOCG00000020070
amphiprion_percula ENSAPEG00000004055
acanthochromis_polyacanthus ENSAPOG00000020098
stegastes_partitus ENSSPAG00000008024
gasterosteus_aculeatus ENSGACG00000004150
gasterosteus_aculeatus ENSGACG00000002255
labrus_bergylta ENSLBEG00000001789
scophthalmus_maximus ENSSMAG00000009996
mastacembelus_armatus ENSMAMG00000007579
monopterus_albus ENSMALG00000015570
anabas_testudineus ENSATEG00000009322
astatotilapia_calliptera ENSACLG00000023090
astatotilapia_calliptera ENSACLG00000017929
maylandia_zebra ENSMZEG00005008629
pundamilia_nyererei ENSPNYG00000000355
haplochromis_burtoni ENSHBUG00000004078
neolamprologus_brichardi ENSNBRG00000023632
oreochromis_niloticus ENSONIG00000018165
amphilophus_citrinellus ENSACIG00000011674
seriola_dumerili ENSSDUG00000008557
seriola_lalandi_dorsalis ENSSLDG00000000706
cynoglossus_semilaevis ENSCSEG00000017053
takifugu_rubripes ENSTRUG00000010436
tetraodon_nigroviridis ENSTNIG00000011843
mola_mola ENSMMOG00000002633
periophthalmus_magnuspinnatus ENSPMGG00000010232
hippocampus_comes ENSHCOG00000017763
gadus_morhua ENSGMOG00000002993
esox_lucius ENSELUG00000009522
pygocentrus_nattereri ENSPNAG00000022763
astyanax_mexicanus ENSAMXG00000034721
ictalurus_punctatus ENSIPUG00000012811
danio_rerio ENSDARG00000030472
scleropages_formosus ENSSFOG00015017801
paramormyrops_kingsleyae ENSPKIG00000002956
paramormyrops_kingsleyae ENSPKIG00000012308
scleropages_formosus ENSSFOG00015024021
pygocentrus_nattereri ENSPNAG00000023433
astyanax_mexicanus ENSAMXG00000037665
ictalurus_punctatus ENSIPUG00000004300
danio_rerio ENSDARG00000102668
esox_lucius ENSELUG00000012240
lepisosteus_oculatus ENSLOCG00000010765
taeniopygia_guttata ENSTGUG00000008745
lonchura_striata_domestica ENSLSDG00000014499
serinus_canaria ENSSCAG00000000589
parus_major ENSPMJG00000000412
cyanistes_caeruleus ENSCCEG00000014035
ficedula_albicollis ENSFALG00000001231
zonotrichia_albicollis ENSZALG00000014244
junco_hyemalis ENSJHYG00000005162
lepidothrix_coronata ENSLCOG00000002059
manacus_vitellinus ENSMVIG00005001933
melopsittacus_undulatus ENSMUNG00000010424
calidris_pygmaea ENSCPGG00000001081
calidris_pugnax ENSCPUG00000002518
anser_brachyrhynchus ENSABRG00000015801
anas_platyrhynchos_platyrhynchos ENSAPLG00000006741
gallus_gallus ENSGALG00000007955
meleagris_gallopavo ENSMGAG00000009347
coturnix_japonica ENSCJPG00005021554
numida_meleagris ENSNMEG00000011518
apteryx_owenii ENSAOWG00000013342
apteryx_haastii ENSAHAG00000016003
apteryx_rowi ENSARWG00000007420
dromaius_novaehollandiae ENSDNVG00000010292
nothoprocta_perdicaria ENSNPEG00000003742
crocodylus_porosus ENSCPRG00005003289
gopherus_agassizii ENSGAGG00000022635
chelonoidis_abingdonii ENSCABG00000010748
chrysemys_picta_bellii ENSCPBG00000028124
pelodiscus_sinensis ENSPSIG00000005592
anolis_carolinensis ENSACAG00000006160
pogona_vitticeps ENSPVIG00000001237
notechis_scutatus ENSNSUG00000014125
salvator_merianae ENSSMRG00000023208
sphenodon_punctatus ENSSPUG00000009476
ursus_maritimus ENSUMAG00000008628
ursus_americanus ENSUAMG00000010501
ailuropoda_melanoleuca ENSAMEG00000009160
neovison_vison ENSNVIG00000010408
mustela_putorius_furo ENSMPUG00000013991
