rhinopithecus_bieti ENSRBIG00000041472
rhinopithecus_roxellana ENSRROG00000030962
nothoprocta_perdicaria ENSNPEG00000009557
scleropages_formosus ENSSFOG00015023414
paramormyrops_kingsleyae ENSPKIG00000025317
scleropages_formosus ENSSFOG00015008996
oryzias_latipes_asm223471v1 ENSORLG00020011585
oryzias_melastigma ENSOMEG00000017609
poecilia_reticulata ENSPREG00000006918
stegastes_partitus ENSSPAG00000019487
neolamprologus_brichardi ENSNBRG00000018202
hippocampus_comes ENSHCOG00000008967
cynoglossus_semilaevis ENSCSEG00000020457
oryzias_latipes_asm223469v1 ENSORLG00015000917
oryzias_latipes_asm223471v1 ENSORLG00020020395
oryzias_latipes_asm223467v1 ENSORLG00000026707
oryzias_melastigma ENSOMEG00000001754
apteryx_haastii ENSAHAG00000010811
apteryx_rowi ENSARWG00000006593
coturnix_japonica ENSCJPG00005007770
notechis_scutatus ENSNSUG00000006793
eptatretus_burgeri ENSEBUG00000013990
eptatretus_burgeri ENSEBUG00000013858
xiphophorus_couchianus ENSXCOG00000016910
xiphophorus_maculatus ENSXMAG00000029291
poecilia_latipinna ENSPLAG00000012820
poecilia_mexicana ENSPMEG00000014840
poecilia_reticulata ENSPREG00000014510
gambusia_affinis ENSGAFG00000001497
fundulus_heteroclitus ENSFHEG00000008614
mastacembelus_armatus ENSMAMG00000001397
mola_mola ENSMMOG00000003245
labrus_bergylta ENSLBEG00000005016
scophthalmus_maximus ENSSMAG00000007728
cynoglossus_semilaevis ENSCSEG00000009094
periophthalmus_magnuspinnatus ENSPMGG00000017054
kryptolebias_marmoratus ENSKMAG00000003734
esox_lucius ENSELUG00000020879
astyanax_mexicanus ENSAMXG00000039746
danio_rerio ENSDARG00000089435
scleropages_formosus ENSSFOG00015012120
paramormyrops_kingsleyae ENSPKIG00000013258
lepidothrix_coronata ENSLCOG00000006334
lonchura_striata_domestica ENSLSDG00000006805
calidris_pygmaea ENSCPGG00000004119
calidris_pugnax ENSCPUG00000015462
anser_brachyrhynchus ENSABRG00000003746
nothoprocta_perdicaria ENSNPEG00000005142
apteryx_haastii ENSAHAG00000019519
apteryx_owenii ENSAOWG00000007142
apteryx_rowi ENSARWG00000009371
dromaius_novaehollandiae ENSDNVG00000009144
junco_hyemalis ENSJHYG00000009796
gopherus_agassizii ENSGAGG00000019912
chelonoidis_abingdonii ENSCABG00000006105
anolis_carolinensis ENSACAG00000023769
notechis_scutatus ENSNSUG00000017383
salvator_merianae ENSSMRG00000011661
latimeria_chalumnae ENSLACG00000003045
ciona_intestinalis ENSCING00000002923
