amphilophus_citrinellus ENSACIG00000002319
amphiprion_ocellaris ENSAOCG00000024007
takifugu_rubripes ENSTRUG00000018252
mola_mola ENSMMOG00000000893
paramormyrops_kingsleyae ENSPKIG00000000291
scleropages_formosus ENSSFOG00015013588
pygocentrus_nattereri ENSPNAG00000007959
astyanax_mexicanus ENSAMXG00000037678
danio_rerio ENSDARG00000102501
hippocampus_comes ENSHCOG00000000757
periophthalmus_magnuspinnatus ENSPMGG00000005692
xiphophorus_couchianus ENSXCOG00000001403
xiphophorus_maculatus ENSXMAG00000001054
gambusia_affinis ENSGAFG00000017857
poecilia_formosa ENSPFOG00000002629
poecilia_mexicana ENSPMEG00000020945
poecilia_latipinna ENSPLAG00000021936
poecilia_reticulata ENSPREG00000021725
fundulus_heteroclitus ENSFHEG00000013822
cyprinodon_variegatus ENSCVAG00000010032
kryptolebias_marmoratus ENSKMAG00000018990
oryzias_latipes_asm223467v1 ENSORLG00000026145
oryzias_latipes_asm223469v1 ENSORLG00015016435
oryzias_latipes_asm223471v1 ENSORLG00020004260
oryzias_melastigma ENSOMEG00000018736
cynoglossus_semilaevis ENSCSEG00000014317
mastacembelus_armatus ENSMAMG00000007924
monopterus_albus ENSMALG00000000641
anabas_testudineus ENSATEG00000001828
seriola_dumerili ENSSDUG00000004737
seriola_lalandi_dorsalis ENSSLDG00000006039
scophthalmus_maximus ENSSMAG00000015188
amphiprion_percula ENSAPEG00000019578
amphiprion_ocellaris ENSAOCG00000020522
acanthochromis_polyacanthus ENSAPOG00000021214
stegastes_partitus ENSSPAG00000000186
maylandia_zebra ENSMZEG00005010174
astatotilapia_calliptera ENSACLG00000001190
pundamilia_nyererei ENSPNYG00000020824
haplochromis_burtoni ENSHBUG00000016757
neolamprologus_brichardi ENSNBRG00000004795
oreochromis_niloticus ENSONIG00000004595
labrus_bergylta ENSLBEG00000001723
gasterosteus_aculeatus ENSGACG00000007108
tetraodon_nigroviridis ENSTNIG00000001756
gadus_morhua ENSGMOG00000013854
esox_lucius ENSELUG00000005024
lepisosteus_oculatus ENSLOCG00000011819
