vulpes_vulpes ENSVVUG00000011368
canis_lupus_dingo ENSCAFG00020008579
neovison_vison ENSNVIG00000016480
ailuropoda_melanoleuca ENSAMEG00000007504
ursus_americanus ENSUAMG00000012781
panthera_pardus ENSPPRG00000015823
felis_catus ENSFCAG00000039363
bos_mutus ENSBMUG00000023552
bos_taurus ENSBTAG00000049617
sus_scrofa ENSSSCG00000039730
equus_caballus ENSECAG00000028918
equus_asinus_asinus ENSEASG00005018508
gorilla_gorilla ENSGGOG00000003342
pan_troglodytes ENSPTRG00000012206
pan_troglodytes ENSPTRG00000048778
pan_troglodytes ENSPTRG00000042746
pongo_abelii ENSPPYG00000019989
macaca_nemestrina ENSMNEG00000031636
macaca_fascicularis ENSMFAG00000028614
papio_anubis ENSPANG00000029786
cercocebus_atys ENSCATG00000034400
mandrillus_leucophaeus ENSMLEG00000033236
rhinopithecus_roxellana ENSRROG00000036377
rhinopithecus_bieti ENSRBIG00000033187
colobus_angolensis_palliatus ENSCANG00000023574
cebus_capucinus_imitator ENSCCAG00000035978
saimiri_boliviensis_boliviensis ENSSBOG00000031599
aotus_nancymaae ENSANAG00000035801
prolemur_simus ENSPSMG00000020852
crocodylus_porosus ENSCPRG00005015026
paramormyrops_kingsleyae ENSPKIG00000002285
