pan_troglodytes ENSPTRG00000022076
pan_paniscus ENSPPAG00000016441
homo_sapiens ENSG00000147183
gorilla_gorilla ENSGGOG00000026865
pongo_abelii ENSPPYG00000020524
nomascus_leucogenys ENSNLEG00000002894
colobus_angolensis_palliatus ENSCANG00000032906
piliocolobus_tephrosceles ENSPTEG00000012670
rhinopithecus_bieti ENSRBIG00000040819
rhinopithecus_roxellana ENSRROG00000032930
macaca_fascicularis ENSMFAG00000044441
macaca_nemestrina ENSMNEG00000031654
macaca_mulatta ENSMMUG00000032401
cercocebus_atys ENSCATG00000030545
mandrillus_leucophaeus ENSMLEG00000006016
papio_anubis ENSPANG00000024226
theropithecus_gelada ENSTGEG00000025801
chlorocebus_sabaeus ENSCSAG00000010435
cebus_capucinus_imitator ENSCCAG00000027844
saimiri_boliviensis_boliviensis ENSSBOG00000024206
callithrix_jacchus ENSCJAG00000010550
aotus_nancymaae ENSANAG00000025456
carlito_syrichta ENSTSYG00000014330
prolemur_simus ENSPSMG00000019198
propithecus_coquereli ENSPCOG00000002441
microcebus_murinus ENSMICG00000002763
tupaia_belangeri ENSTBEG00000010167
urocitellus_parryii ENSUPAG00010022674
spermophilus_dauricus ENSSDAG00000020801
marmota_marmota_marmota ENSMMMG00000011751
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000072995
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034531
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033364
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031906
peromyscus_maniculatus_bairdii ENSPEMG00000026829
ursus_americanus ENSUAMG00000022452
ursus_maritimus ENSUMAG00000023931
vulpes_vulpes ENSVVUG00000013152
vicugna_pacos ENSVPAG00000001841
pteropus_vampyrus ENSPVAG00000002707
myotis_lucifugus ENSMLUG00000002206
erinaceus_europaeus ENSEEUG00000013417
sorex_araneus ENSSARG00000004444
loxodonta_africana ENSLAFG00000031743
procavia_capensis ENSPCAG00000011328
echinops_telfairi ENSETEG00000001103
dasypus_novemcinctus ENSDNOG00000038026
