monopterus_albus ENSMALG00000021248
anabas_testudineus ENSATEG00000003223
seriola_dumerili ENSSDUG00000023343
takifugu_rubripes ENSTRUG00000021892
gambusia_affinis ENSGAFG00000008569
xiphophorus_couchianus ENSXCOG00000013614
xiphophorus_maculatus ENSXMAG00000021764
poecilia_latipinna ENSPLAG00000017957
poecilia_mexicana ENSPMEG00000008297
poecilia_reticulata ENSPREG00000013236
poecilia_formosa ENSPFOG00000013777
cyprinodon_variegatus ENSCVAG00000020211
kryptolebias_marmoratus ENSKMAG00000018893
oryzias_latipes_asm223471v1 ENSORLG00020010272
oryzias_latipes_asm223467v1 ENSORLG00000028826
oryzias_latipes_asm223469v1 ENSORLG00015008686
oryzias_melastigma ENSOMEG00000017349
maylandia_zebra ENSMZEG00005023886
astatotilapia_calliptera ENSACLG00000007225
pundamilia_nyererei ENSPNYG00000002111
haplochromis_burtoni ENSHBUG00000018866
neolamprologus_brichardi ENSNBRG00000019525
amphilophus_citrinellus ENSACIG00000003991
stegastes_partitus ENSSPAG00000012037
acanthochromis_polyacanthus ENSAPOG00000015503
periophthalmus_magnuspinnatus ENSPMGG00000023913
hippocampus_comes ENSHCOG00000017190
esox_lucius ENSELUG00000023825
astyanax_mexicanus ENSAMXG00000039374
pygocentrus_nattereri ENSPNAG00000025846
ictalurus_punctatus ENSIPUG00000007126
pygocentrus_nattereri ENSPNAG00000025857
astyanax_mexicanus ENSAMXG00000036338
ictalurus_punctatus ENSIPUG00000004326
paramormyrops_kingsleyae ENSPKIG00000008909
lepisosteus_oculatus ENSLOCG00000008208
gopherus_agassizii ENSGAGG00000004307
salvator_merianae ENSSMRG00000017068
