cavia_aperea ENSCAPG00000013859
cavia_porcellus ENSCPOG00000011460
chinchilla_lanigera ENSCLAG00000015154
octodon_degus ENSODEG00000016707
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000003436
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100007076
fukomys_damarensis ENSFDAG00000016165
spermophilus_dauricus ENSSDAG00000019408
urocitellus_parryii ENSUPAG00010013145
ictidomys_tridecemlineatus ENSSTOG00000009479
marmota_marmota_marmota ENSMMMG00000018565
castor_canadensis ENSCCNG00000015102
dipodomys_ordii ENSDORG00000013873
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022188
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000024186
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021277
mus_spicilegus ENSMSIG00000023974
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0023595
meriones_unguiculatus ENSMUGG00000014343
peromyscus_maniculatus_bairdii ENSPEMG00000025548
peromyscus_maniculatus_bairdii ENSPEMG00000014395
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019127
cricetulus_griseus_crigri_1.0 ENSCGRG00000009602
cricetulus_griseus_crigri-picr ENSCGRG00015019286
microtus_ochrogaster ENSMOCG00000015029
jaculus_jaculus ENSJJAG00000012965
oryctolagus_cuniculus ENSOCUG00000025601
ochotona_princeps ENSOPRG00000005354
pan_paniscus ENSPPAG00000043322
pan_troglodytes ENSPTRG00000007536
homo_sapiens ENSG00000076344
gorilla_gorilla ENSGGOG00000009731
pongo_abelii ENSPPYG00000006903
nomascus_leucogenys ENSNLEG00000008018
macaca_mulatta ENSMMUG00000000602
macaca_fascicularis ENSMFAG00000034218
macaca_nemestrina ENSMNEG00000029207
cercocebus_atys ENSCATG00000014098
mandrillus_leucophaeus ENSMLEG00000013885
papio_anubis ENSPANG00000000729
theropithecus_gelada ENSTGEG00000008339
chlorocebus_sabaeus ENSCSAG00000013053
rhinopithecus_bieti ENSRBIG00000041806
rhinopithecus_roxellana ENSRROG00000030312
piliocolobus_tephrosceles ENSPTEG00000013048
colobus_angolensis_palliatus ENSCANG00000032342
cebus_capucinus_imitator ENSCCAG00000034750
saimiri_boliviensis_boliviensis ENSSBOG00000024523
callithrix_jacchus ENSCJAG00000011745
aotus_nancymaae ENSANAG00000037869
carlito_syrichta ENSTSYG00000025496
propithecus_coquereli ENSPCOG00000018637
prolemur_simus ENSPSMG00000022645
microcebus_murinus ENSMICG00000010412
otolemur_garnettii ENSOGAG00000030392
bos_mutus ENSBMUG00000024428
ovis_aries ENSOARG00000011293
sus_scrofa ENSSSCG00000036541
sus_scrofa ENSSSCG00000007969
tursiops_truncatus ENSTTRG00000005111
erinaceus_europaeus ENSEEUG00000002164
vulpes_vulpes ENSVVUG00000013438
ursus_maritimus ENSUMAG00000020994
ursus_americanus ENSUAMG00000015731
myotis_lucifugus ENSMLUG00000010526
equus_caballus ENSECAG00000024791
equus_asinus_asinus ENSEASG00005017970
pteropus_vampyrus ENSPVAG00000000545
ailuropoda_melanoleuca ENSAMEG00000006934
ursus_americanus ENSUAMG00000002412
mustela_putorius_furo ENSMPUG00000016026
neovison_vison ENSNVIG00000014748
canis_lupus_dingo ENSCAFG00020009264
canis_lupus_familiaris ENSCAFG00000023874
panthera_pardus ENSPPRG00000001512
panthera_tigris_altaica ENSPTIG00000016748
felis_catus ENSFCAG00000031600
bos_taurus ENSBTAG00000016574
capra_hircus ENSCHIG00000021450
anas_platyrhynchos_platyrhynchos ENSAPLG00000026578
anas_platyrhynchos_platyrhynchos ENSAPLG00000021930
bos_mutus ENSBMUG00000024416
procavia_capensis ENSPCAG00000014260
echinops_telfairi ENSETEG00000017691
manacus_vitellinus ENSMVIG00005005796
cyanistes_caeruleus ENSCCEG00000002770
notamacropus_eugenii ENSMEUG00000002956
