xiphophorus_couchianus ENSXCOG00000015669
xiphophorus_maculatus ENSXMAG00000028512
gambusia_affinis ENSGAFG00000015417
poecilia_latipinna ENSPLAG00000002987
poecilia_mexicana ENSPMEG00000016856
poecilia_formosa ENSPFOG00000022180
poecilia_reticulata ENSPREG00000019475
cyprinodon_variegatus ENSCVAG00000016759
fundulus_heteroclitus ENSFHEG00000021689
oryzias_latipes_asm223471v1 ENSORLG00020014224
oryzias_latipes_asm223467v1 ENSORLG00000004922
oryzias_latipes_asm223469v1 ENSORLG00015011751
oryzias_melastigma ENSOMEG00000006448
kryptolebias_marmoratus ENSKMAG00000004865
amphilophus_citrinellus ENSACIG00000008512
periophthalmus_magnuspinnatus ENSPMGG00000019898
amphiprion_ocellaris ENSAOCG00000016133
amphiprion_percula ENSAPEG00000021767
acanthochromis_polyacanthus ENSAPOG00000021417
stegastes_partitus ENSSPAG00000019744
seriola_dumerili ENSSDUG00000007097
seriola_lalandi_dorsalis ENSSLDG00000005050
scophthalmus_maximus ENSSMAG00000011357
labrus_bergylta ENSLBEG00000019967
mastacembelus_armatus ENSMAMG00000005807
monopterus_albus ENSMALG00000009915
cynoglossus_semilaevis ENSCSEG00000007057
maylandia_zebra ENSMZEG00005002019
astatotilapia_calliptera ENSACLG00000023369
pundamilia_nyererei ENSPNYG00000023796
oreochromis_niloticus ENSONIG00000008754
haplochromis_burtoni ENSHBUG00000019415
neolamprologus_brichardi ENSNBRG00000007990
amphilophus_citrinellus ENSACIG00000023844
gasterosteus_aculeatus ENSGACG00000019605
anabas_testudineus ENSATEG00000016261
takifugu_rubripes ENSTRUG00000005557
tetraodon_nigroviridis ENSTNIG00000018848
mola_mola ENSMMOG00000011819
hippocampus_comes ENSHCOG00000015028
periophthalmus_magnuspinnatus ENSPMGG00000021319
gadus_morhua ENSGMOG00000009991
esox_lucius ENSELUG00000008033
esox_lucius ENSELUG00000012749
pygocentrus_nattereri ENSPNAG00000003477
astyanax_mexicanus ENSAMXG00000011256
ictalurus_punctatus ENSIPUG00000019715
danio_rerio ENSDARG00000035544
scleropages_formosus ENSSFOG00015019020
paramormyrops_kingsleyae ENSPKIG00000013142
