ictidomys_tridecemlineatus ENSSTOG00000007769
urocitellus_parryii ENSUPAG00010015532
spermophilus_dauricus ENSSDAG00000005671
marmota_marmota_marmota ENSMMMG00000005890
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100004994
oryctolagus_cuniculus ENSOCUG00000017123
ochotona_princeps ENSOPRG00000010187
pan_paniscus ENSPPAG00000035491
pan_troglodytes ENSPTRG00000010020
homo_sapiens ENSG00000172361
pongo_abelii ENSPPYG00000009157
nomascus_leucogenys ENSNLEG00000011645
macaca_fascicularis ENSMFAG00000038983
macaca_mulatta ENSMMUG00000009049
macaca_nemestrina ENSMNEG00000015915
cercocebus_atys ENSCATG00000026928
mandrillus_leucophaeus ENSMLEG00000010151
chlorocebus_sabaeus ENSCSAG00000018065
rhinopithecus_roxellana ENSRROG00000033897
rhinopithecus_bieti ENSRBIG00000022580
colobus_angolensis_palliatus ENSCANG00000020514
piliocolobus_tephrosceles ENSPTEG00000018396
cebus_capucinus_imitator ENSCCAG00000037510
saimiri_boliviensis_boliviensis ENSSBOG00000023931
callithrix_jacchus ENSCJAG00000004928
aotus_nancymaae ENSANAG00000038121
carlito_syrichta ENSTSYG00000000508
propithecus_coquereli ENSPCOG00000018350
prolemur_simus ENSPSMG00000019120
microcebus_murinus ENSMICG00000006410
tupaia_belangeri ENSTBEG00000000134
equus_asinus_asinus ENSEASG00005003973
pteropus_vampyrus ENSPVAG00000015606
neovison_vison ENSNVIG00000001864
mustela_putorius_furo ENSMPUG00000008985
ursus_americanus ENSUAMG00000004750
canis_lupus_familiaris ENSCAFG00000018935
canis_lupus_dingo ENSCAFG00020024273
felis_catus ENSFCAG00000026477
panthera_tigris_altaica ENSPTIG00000018895
ovis_aries ENSOARG00000004135
bison_bison_bison ENSBBBG00000006869
vicugna_pacos ENSVPAG00000004821
erinaceus_europaeus ENSEEUG00000007492
sorex_araneus ENSSARG00000002743
choloepus_hoffmanni ENSCHOG00000002635
dasypus_novemcinctus ENSDNOG00000040321
