macaca_fascicularis ENSMFAG00000028947
macaca_nemestrina ENSMNEG00000027386
macaca_mulatta ENSMMUG00000048664
cercocebus_atys ENSCATG00000019923
theropithecus_gelada ENSTGEG00000001673
papio_anubis ENSPANG00000035130
mandrillus_leucophaeus ENSMLEG00000000828
colobus_angolensis_palliatus ENSCANG00000037395
pan_troglodytes ENSPTRG00000048418
pan_paniscus ENSPPAG00000032119
gorilla_gorilla ENSGGOG00000026367
nomascus_leucogenys ENSNLEG00000033095
pongo_abelii ENSPPYG00000004093
rhinopithecus_roxellana ENSRROG00000039558
rhinopithecus_bieti ENSRBIG00000029455
aotus_nancymaae ENSANAG00000022182
cebus_capucinus_imitator ENSCCAG00000025149
propithecus_coquereli ENSPCOG00000026023
microcebus_murinus ENSMICG00000042926
sus_scrofa ENSSSCG00000035310
