cyprinodon_variegatus ENSCVAG00000015631
acanthochromis_polyacanthus ENSAPOG00000011316
mastacembelus_armatus ENSMAMG00000011576
seriola_dumerili ENSSDUG00000014485
cynoglossus_semilaevis ENSCSEG00000017637
periophthalmus_magnuspinnatus ENSPMGG00000012544
labrus_bergylta ENSLBEG00000022193
oryzias_latipes_asm223471v1 ENSORLG00020019722
oryzias_latipes_asm223469v1 ENSORLG00015021134
oryzias_latipes_asm223467v1 ENSORLG00000008954
oryzias_melastigma ENSOMEG00000019364
takifugu_rubripes ENSTRUG00000023378
poecilia_latipinna ENSPLAG00000018827
poecilia_mexicana ENSPMEG00000022079
poecilia_reticulata ENSPREG00000009389
xiphophorus_maculatus ENSXMAG00000026121
xiphophorus_couchianus ENSXCOG00000006791
gambusia_affinis ENSGAFG00000006788
fundulus_heteroclitus ENSFHEG00000020588
amphiprion_ocellaris ENSAOCG00000013742
amphiprion_percula ENSAPEG00000016854
stegastes_partitus ENSSPAG00000012446
seriola_lalandi_dorsalis ENSSLDG00000008593
mastacembelus_armatus ENSMAMG00000011324
monopterus_albus ENSMALG00000008593
anabas_testudineus ENSATEG00000012694
mola_mola ENSMMOG00000020704
esox_lucius ENSELUG00000008820
pygocentrus_nattereri ENSPNAG00000022890
paramormyrops_kingsleyae ENSPKIG00000011481
