anabas_testudineus ENSATEG00000024132
cynoglossus_semilaevis ENSCSEG00000002798
oryzias_latipes_asm223471v1 ENSORLG00020003571
oryzias_latipes_asm223469v1 ENSORLG00015021614
oryzias_latipes_asm223467v1 ENSORLG00000028796
labrus_bergylta ENSLBEG00000016696
maylandia_zebra ENSMZEG00005007268
astatotilapia_calliptera ENSACLG00000023746
haplochromis_burtoni ENSHBUG00000006483
stegastes_partitus ENSSPAG00000018909
hippocampus_comes ENSHCOG00000001500
amphilophus_citrinellus ENSACIG00000015404
seriola_dumerili ENSSDUG00000004961
periophthalmus_magnuspinnatus ENSPMGG00000014681
esox_lucius ENSELUG00000019005
paramormyrops_kingsleyae ENSPKIG00000024657
chelonoidis_abingdonii ENSCABG00000003202
gopherus_agassizii ENSGAGG00000017691
chrysemys_picta_bellii ENSCPBG00000010910
