dipodomys_ordii ENSDORG00000024229
castor_canadensis ENSCCNG00000010787
cavia_porcellus ENSCPOG00000003926
cavia_aperea ENSCAPG00000012094
chinchilla_lanigera ENSCLAG00000004816
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000006541
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100002989
fukomys_damarensis ENSFDAG00000013900
octodon_degus ENSODEG00000003224
urocitellus_parryii ENSUPAG00010015247
ictidomys_tridecemlineatus ENSSTOG00000014241
marmota_marmota_marmota ENSMMMG00000001079
spermophilus_dauricus ENSSDAG00000005242
oryctolagus_cuniculus ENSOCUG00000006721
ochotona_princeps ENSOPRG00000001056
tupaia_belangeri ENSTBEG00000012993
carlito_syrichta ENSTSYG00000014281
loxodonta_africana ENSLAFG00000016986
procavia_capensis ENSPCAG00000009946
echinops_telfairi ENSETEG00000013188
dasypus_novemcinctus ENSDNOG00000000464
choloepus_hoffmanni ENSCHOG00000000821
pteropus_vampyrus ENSPVAG00000017545
myotis_lucifugus ENSMLUG00000011846
sus_scrofa ENSSSCG00000020921
sus_scrofa ENSSSCG00000040220
tursiops_truncatus ENSTTRG00000000091
bos_mutus ENSBMUG00000020089
bos_mutus ENSBMUG00000026411
bos_taurus ENSBTAG00000020761
bison_bison_bison ENSBBBG00000012079
capra_hircus ENSCHIG00000000301
capra_hircus ENSCHIG00000016989
ovis_aries ENSOARG00000013032
vicugna_pacos ENSVPAG00000001423
ursus_americanus ENSUAMG00000017015
ursus_maritimus ENSUMAG00000006203
ailuropoda_melanoleuca ENSAMEG00000007257
neovison_vison ENSNVIG00000009922
mustela_putorius_furo ENSMPUG00000010819
canis_lupus_familiaris ENSCAFG00000020373
canis_lupus_dingo ENSCAFG00020015481
vulpes_vulpes ENSVVUG00000029966
panthera_tigris_altaica ENSPTIG00000006169
panthera_pardus ENSPPRG00000007621
felis_catus ENSFCAG00000023180
equus_caballus ENSECAG00000017560
equus_asinus_asinus ENSEASG00005017173
sorex_araneus ENSSARG00000002653
erinaceus_europaeus ENSEEUG00000001376
ornithorhynchus_anatinus ENSOANG00000002941
propithecus_coquereli ENSPCOG00000026094
microcebus_murinus ENSMICG00000010681
prolemur_simus ENSPSMG00000015613
otolemur_garnettii ENSOGAG00000014214
pan_troglodytes ENSPTRG00000000882
pan_paniscus ENSPPAG00000043017
homo_sapiens ENSG00000077254
gorilla_gorilla ENSGGOG00000007543
pongo_abelii ENSPPYG00000001222
nomascus_leucogenys ENSNLEG00000009694
piliocolobus_tephrosceles ENSPTEG00000034566
colobus_angolensis_palliatus ENSCANG00000037501
rhinopithecus_roxellana ENSRROG00000011982
rhinopithecus_bieti ENSRBIG00000041156
mandrillus_leucophaeus ENSMLEG00000040903
cercocebus_atys ENSCATG00000043367
macaca_nemestrina ENSMNEG00000034242
macaca_mulatta ENSMMUG00000018326
macaca_fascicularis ENSMFAG00000046123
theropithecus_gelada ENSTGEG00000017559
papio_anubis ENSPANG00000018416
chlorocebus_sabaeus ENSCSAG00000001399
cebus_capucinus_imitator ENSCCAG00000038065
saimiri_boliviensis_boliviensis ENSSBOG00000022851
aotus_nancymaae ENSANAG00000024189
callithrix_jacchus ENSCJAG00000006932
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026696
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000025437
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025743
mus_spicilegus ENSMSIG00000006434
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027194
rattus_norvegicus ENSRNOG00000011294
meriones_unguiculatus ENSMUGG00000016469
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001009888
cricetulus_griseus_crigri_1.0 ENSCGRG00000001371
cricetulus_griseus_crigri-picr ENSCGRG00015019979
mesocricetus_auratus ENSMAUG00000019323
microtus_ochrogaster ENSMOCG00000020183
peromyscus_maniculatus_bairdii ENSPEMG00000022686
nannospalax_galili ENSNGAG00000010081
jaculus_jaculus ENSJJAG00000016177
phascolarctos_cinereus ENSPCIG00000023519
sarcophilus_harrisii ENSSHAG00000001467
notamacropus_eugenii ENSMEUG00000012287
ornithorhynchus_anatinus ENSOANG00000005103
junco_hyemalis ENSJHYG00000004176
zonotrichia_albicollis ENSZALG00000007549
ficedula_albicollis ENSFALG00000005727
taeniopygia_guttata ENSTGUG00000006953
taeniopygia_guttata ENSTGUG00000016153
