notechis_scutatus ENSNSUG00000007220
salvator_merianae ENSSMRG00000004366
loxodonta_africana ENSLAFG00000030010
echinops_telfairi ENSETEG00000004764
cercocebus_atys ENSCATG00000035804
papio_anubis ENSPANG00000020541
theropithecus_gelada ENSTGEG00000014796
macaca_mulatta ENSMMUG00000019535
macaca_fascicularis ENSMFAG00000027741
colobus_angolensis_palliatus ENSCANG00000028694
piliocolobus_tephrosceles ENSPTEG00000023563
macaca_nemestrina ENSMNEG00000030099
chlorocebus_sabaeus ENSCSAG00000006271
mandrillus_leucophaeus ENSMLEG00000042210
rhinopithecus_bieti ENSRBIG00000044973
rhinopithecus_roxellana ENSRROG00000039607
pan_paniscus ENSPPAG00000033055
pan_troglodytes ENSPTRG00000007926
gorilla_gorilla ENSGGOG00000000172
homo_sapiens ENSG00000176046
nomascus_leucogenys ENSNLEG00000001596
callithrix_jacchus ENSCJAG00000046680
cebus_capucinus_imitator ENSCCAG00000034207
saimiri_boliviensis_boliviensis ENSSBOG00000021216
aotus_nancymaae ENSANAG00000036925
carlito_syrichta ENSTSYG00000008007
microcebus_murinus ENSMICG00000043997
prolemur_simus ENSPSMG00000000101
propithecus_coquereli ENSPCOG00000026134
otolemur_garnettii ENSOGAG00000001122
cavia_aperea ENSCAPG00000001449
cavia_porcellus ENSCPOG00000035568
chinchilla_lanigera ENSCLAG00000009448
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100000222
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014156
urocitellus_parryii ENSUPAG00010011921
ictidomys_tridecemlineatus ENSSTOG00000004072
spermophilus_dauricus ENSSDAG00000007961
marmota_marmota_marmota ENSMMMG00000023635
castor_canadensis ENSCCNG00000000397
dipodomys_ordii ENSDORG00000026674
cricetulus_griseus_crigri-picr ENSCGRG00015025697
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014979
cricetulus_griseus_crigri_1.0 ENSCGRG00000005955
mesocricetus_auratus ENSMAUG00000012387
peromyscus_maniculatus_bairdii ENSPEMG00000026508
microtus_ochrogaster ENSMOCG00000013505
