cavia_porcellus ENSCPOG00000003071
cavia_aperea ENSCAPG00000014989
octodon_degus ENSODEG00000002510
chinchilla_lanigera ENSCLAG00000004425
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100002548
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000008582
fukomys_damarensis ENSFDAG00000010333
oryctolagus_cuniculus ENSOCUG00000026039
saimiri_boliviensis_boliviensis ENSSBOG00000033265
cebus_capucinus_imitator ENSCCAG00000025433
callithrix_jacchus ENSCJAG00000016897
aotus_nancymaae ENSANAG00000020599
pan_paniscus ENSPPAG00000036234
pan_troglodytes ENSPTRG00000050106
homo_sapiens ENSG00000283288
gorilla_gorilla ENSGGOG00000023790
pongo_abelii ENSPPYG00000015842
nomascus_leucogenys ENSNLEG00000009186
macaca_fascicularis ENSMFAG00000046198
macaca_nemestrina ENSMNEG00000043798
papio_anubis ENSPANG00000003457
theropithecus_gelada ENSTGEG00000024236
mandrillus_leucophaeus ENSMLEG00000038050
cercocebus_atys ENSCATG00000034867
chlorocebus_sabaeus ENSCSAG00000000496
piliocolobus_tephrosceles ENSPTEG00000030721
piliocolobus_tephrosceles ENSPTEG00000031183
rhinopithecus_roxellana ENSRROG00000002030
rhinopithecus_bieti ENSRBIG00000039006
colobus_angolensis_palliatus ENSCANG00000004352
carlito_syrichta ENSTSYG00000033856
tupaia_belangeri ENSTBEG00000011051
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000073598
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023027
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022115
mus_spicilegus ENSMSIG00000010009
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018849
rattus_norvegicus ENSRNOG00000039592
meriones_unguiculatus ENSMUGG00000017224
cricetulus_griseus_crigri_1.0 ENSCGRG00000016043
cricetulus_griseus_crigri-picr ENSCGRG00015002867
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019017
mesocricetus_auratus ENSMAUG00000008798
microtus_ochrogaster ENSMOCG00000013513
peromyscus_maniculatus_bairdii ENSPEMG00000021312
nannospalax_galili ENSNGAG00000015214
jaculus_jaculus ENSJJAG00000023963
castor_canadensis ENSCCNG00000021428
urocitellus_parryii ENSUPAG00010022084
marmota_marmota_marmota ENSMMMG00000009962
spermophilus_dauricus ENSSDAG00000016544
ictidomys_tridecemlineatus ENSSTOG00000014784
myotis_lucifugus ENSMLUG00000003043
sorex_araneus ENSSARG00000004310
equus_caballus ENSECAG00000005172
equus_asinus_asinus ENSEASG00005020886
ailuropoda_melanoleuca ENSAMEG00000020141
neovison_vison ENSNVIG00000014229
canis_lupus_familiaris ENSCAFG00000031017
panthera_tigris_altaica ENSPTIG00000012648
panthera_pardus ENSPPRG00000019947
felis_catus ENSFCAG00000028569
bos_taurus ENSBTAG00000030517
bos_mutus ENSBMUG00000014509
bison_bison_bison ENSBBBG00000012691
bison_bison_bison ENSBBBG00000024763
ovis_aries ENSOARG00000017260
dasypus_novemcinctus ENSDNOG00000034598
loxodonta_africana ENSLAFG00000028766
sarcophilus_harrisii ENSSHAG00000011291
phascolarctos_cinereus ENSPCIG00000016040
