serinus_canaria ENSSCAG00000010533
zonotrichia_albicollis ENSZALG00000015108
anas_platyrhynchos_platyrhynchos ENSAPLG00000025864
manacus_vitellinus ENSMVIG00005007741
calidris_pugnax ENSCPUG00000019805
anas_platyrhynchos_platyrhynchos ENSAPLG00000023882
cyanistes_caeruleus ENSCCEG00000013926
manacus_vitellinus ENSMVIG00005014105
melopsittacus_undulatus ENSMUNG00000002282
dromaius_novaehollandiae ENSDNVG00000002971
nothoprocta_perdicaria ENSNPEG00000010837
chelonoidis_abingdonii ENSCABG00000022417
gopherus_agassizii ENSGAGG00000019528
sphenodon_punctatus ENSSPUG00000008881
notechis_scutatus ENSNSUG00000004898
jaculus_jaculus ENSJJAG00000023790
cricetulus_griseus_crigri_1.0 ENSCGRG00000018389
dipodomys_ordii ENSDORG00000007556
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018625
fukomys_damarensis ENSFDAG00000014016
cavia_aperea ENSCAPG00000011406
ictidomys_tridecemlineatus ENSSTOG00000016427
piliocolobus_tephrosceles ENSPTEG00000007215
mandrillus_leucophaeus ENSMLEG00000038143
saimiri_boliviensis_boliviensis ENSSBOG00000015215
ursus_americanus ENSUAMG00000013652
ursus_maritimus ENSUMAG00000010058
ailuropoda_melanoleuca ENSAMEG00000008354
bison_bison_bison ENSBBBG00000020632
ornithorhynchus_anatinus ENSOANG00000009925
gambusia_affinis ENSGAFG00000012773
gallus_gallus ENSGALG00000004793
eptatretus_burgeri ENSEBUG00000015241
