mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033803
mus_spicilegus ENSMSIG00000023370
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000034837
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032658
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0015526
rattus_norvegicus ENSRNOG00000017589
meriones_unguiculatus ENSMUGG00000017299
peromyscus_maniculatus_bairdii ENSPEMG00000016330
microtus_ochrogaster ENSMOCG00000018714
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001015717
cricetulus_griseus_crigri_1.0 ENSCGRG00000006881
cricetulus_griseus_crigri-picr ENSCGRG00015011950
mesocricetus_auratus ENSMAUG00000021464
nannospalax_galili ENSNGAG00000006796
ictidomys_tridecemlineatus ENSSTOG00000016186
spermophilus_dauricus ENSSDAG00000013537
marmota_marmota_marmota ENSMMMG00000003537
castor_canadensis ENSCCNG00000013875
dipodomys_ordii ENSDORG00000000373
pan_paniscus ENSPPAG00000034503
pan_troglodytes ENSPTRG00000014949
homo_sapiens ENSG00000114349
gorilla_gorilla ENSGGOG00000008659
nomascus_leucogenys ENSNLEG00000006957
macaca_nemestrina ENSMNEG00000045194
macaca_fascicularis ENSMFAG00000032223
cercocebus_atys ENSCATG00000044965
mandrillus_leucophaeus ENSMLEG00000044301
theropithecus_gelada ENSTGEG00000004769
papio_anubis ENSPANG00000012482
chlorocebus_sabaeus ENSCSAG00000014366
colobus_angolensis_palliatus ENSCANG00000007645
piliocolobus_tephrosceles ENSPTEG00000002422
rhinopithecus_bieti ENSRBIG00000040795
cebus_capucinus_imitator ENSCCAG00000027882
callithrix_jacchus ENSCJAG00000004870
aotus_nancymaae ENSANAG00000029106
carlito_syrichta ENSTSYG00000025675
microcebus_murinus ENSMICG00000047220
prolemur_simus ENSPSMG00000014396
propithecus_coquereli ENSPCOG00000025611
otolemur_garnettii ENSOGAG00000012515
bos_mutus ENSBMUG00000021504
bos_taurus ENSBTAG00000018020
bison_bison_bison ENSBBBG00000014408
ovis_aries ENSOARG00000010411
capra_hircus ENSCHIG00000025103
tursiops_truncatus ENSTTRG00000007722
equus_caballus ENSECAG00000018589
equus_asinus_asinus ENSEASG00005011913
ursus_americanus ENSUAMG00000028344
ursus_maritimus ENSUMAG00000021974
ailuropoda_melanoleuca ENSAMEG00000011894
neovison_vison ENSNVIG00000000755
mustela_putorius_furo ENSMPUG00000013203
canis_lupus_dingo ENSCAFG00020022135
canis_lupus_familiaris ENSCAFG00000010764
vulpes_vulpes ENSVVUG00000028519
panthera_tigris_altaica ENSPTIG00000001182
panthera_pardus ENSPPRG00000004491
felis_catus ENSFCAG00000037250
pteropus_vampyrus ENSPVAG00000017089
cavia_porcellus ENSCPOG00000008168
cavia_aperea ENSCAPG00000017082
octodon_degus ENSODEG00000018244
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000018980
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100007199
fukomys_damarensis ENSFDAG00000018531
chinchilla_lanigera ENSCLAG00000013973
erinaceus_europaeus ENSEEUG00000001885
sorex_araneus ENSSARG00000008774
tupaia_belangeri ENSTBEG00000012902
dasypus_novemcinctus ENSDNOG00000013406
ochotona_princeps ENSOPRG00000015253
loxodonta_africana ENSLAFG00000006239
procavia_capensis ENSPCAG00000005787
jaculus_jaculus ENSJJAG00000023076
phascolarctos_cinereus ENSPCIG00000021281
notamacropus_eugenii ENSMEUG00000004850
sarcophilus_harrisii ENSSHAG00000018479
monodelphis_domestica ENSMODG00000012279
ornithorhynchus_anatinus ENSOANG00000005463
anser_brachyrhynchus ENSABRG00000002194
anas_platyrhynchos_platyrhynchos ENSAPLG00000004306
meleagris_gallopavo ENSMGAG00000004259
coturnix_japonica ENSCJPG00005012221
calidris_pugnax ENSCPUG00000004442
calidris_pugnax ENSCPUG00000004444
calidris_pygmaea ENSCPGG00000017943
manacus_vitellinus ENSMVIG00005009402
lepidothrix_coronata ENSLCOG00000004213
serinus_canaria ENSSCAG00000017195
lonchura_striata_domestica ENSLSDG00000012419
junco_hyemalis ENSJHYG00000011894
zonotrichia_albicollis ENSZALG00000017372
ficedula_albicollis ENSFALG00000008821
parus_major ENSPMJG00000012542
cyanistes_caeruleus ENSCCEG00000024215
melopsittacus_undulatus ENSMUNG00000015765
apteryx_owenii ENSAOWG00000004696
apteryx_haastii ENSAHAG00000002044
apteryx_rowi ENSARWG00000013019
dromaius_novaehollandiae ENSDNVG00000002295
nothoprocta_perdicaria ENSNPEG00000009159
anolis_carolinensis ENSACAG00000008894
pogona_vitticeps ENSPVIG00000024344
notechis_scutatus ENSNSUG00000005502
salvator_merianae ENSSMRG00000007985
sphenodon_punctatus ENSSPUG00000001819
gopherus_agassizii ENSGAGG00000001830
chelonoidis_abingdonii ENSCABG00000008206
chrysemys_picta_bellii ENSCPBG00000002607
pelodiscus_sinensis ENSPSIG00000004562
xenopus_tropicalis ENSXETG00000007315
scleropages_formosus ENSSFOG00015019335
paramormyrops_kingsleyae ENSPKIG00000024997
tetraodon_nigroviridis ENSTNIG00000014749
takifugu_rubripes ENSTRUG00000011180
mola_mola ENSMMOG00000011051
kryptolebias_marmoratus ENSKMAG00000006272
oryzias_latipes_asm223467v1 ENSORLG00000018998
oryzias_latipes_asm223471v1 ENSORLG00020021439
oryzias_latipes_asm223469v1 ENSORLG00015017704
oryzias_melastigma ENSOMEG00000002005
xiphophorus_maculatus ENSXMAG00000016611
xiphophorus_couchianus ENSXCOG00000010222
poecilia_formosa ENSPFOG00000000957
poecilia_formosa ENSPFOG00000000004
poecilia_latipinna ENSPLAG00000020890
poecilia_mexicana ENSPMEG00000008998
poecilia_reticulata ENSPREG00000004112
gambusia_affinis ENSGAFG00000010910
fundulus_heteroclitus ENSFHEG00000020337
cyprinodon_variegatus ENSCVAG00000020449
labrus_bergylta ENSLBEG00000021513
amphiprion_percula ENSAPEG00000002342
amphiprion_ocellaris ENSAOCG00000017677
acanthochromis_polyacanthus ENSAPOG00000000510
stegastes_partitus ENSSPAG00000020013
seriola_dumerili ENSSDUG00000020076
seriola_lalandi_dorsalis ENSSLDG00000002713
scophthalmus_maximus ENSSMAG00000016780
pundamilia_nyererei ENSPNYG00000015411
haplochromis_burtoni ENSHBUG00000002146
astatotilapia_calliptera ENSACLG00000013535
maylandia_zebra ENSMZEG00005015131
oreochromis_niloticus ENSONIG00000004062
neolamprologus_brichardi ENSNBRG00000018646
amphilophus_citrinellus ENSACIG00000008558
mastacembelus_armatus ENSMAMG00000017023
monopterus_albus ENSMALG00000001144
anabas_testudineus ENSATEG00000024760
gasterosteus_aculeatus ENSGACG00000012301
cynoglossus_semilaevis ENSCSEG00000000424
hippocampus_comes ENSHCOG00000000934
periophthalmus_magnuspinnatus ENSPMGG00000018093
gadus_morhua ENSGMOG00000016497
esox_lucius ENSELUG00000009436
pygocentrus_nattereri ENSPNAG00000007906
astyanax_mexicanus ENSAMXG00000036412
ictalurus_punctatus ENSIPUG00000000881
danio_rerio ENSDARG00000044199
lepisosteus_oculatus ENSLOCG00000010938
latimeria_chalumnae ENSLACG00000010781
petromyzon_marinus ENSPMAG00000004273
eptatretus_burgeri ENSEBUG00000009856
