gadus_morhua ENSGMOG00000008317
danio_rerio ENSDARG00000038561
apteryx_haastii ENSAHAG00000015890
apteryx_rowi ENSARWG00000004114
apteryx_owenii ENSAOWG00000018491
dromaius_novaehollandiae ENSDNVG00000015768
nothoprocta_perdicaria ENSNPEG00000007359
gallus_gallus ENSGALG00000008501
coturnix_japonica ENSCJPG00005015354
meleagris_gallopavo ENSMGAG00000008396
numida_meleagris ENSNMEG00000021804
anas_platyrhynchos_platyrhynchos ENSAPLG00000006752
anser_brachyrhynchus ENSABRG00000016797
calidris_pygmaea ENSCPGG00000001142
calidris_pugnax ENSCPUG00000007843
lonchura_striata_domestica ENSLSDG00000010727
taeniopygia_guttata ENSTGUG00000010017
serinus_canaria ENSSCAG00000002434
zonotrichia_albicollis ENSZALG00000017861
junco_hyemalis ENSJHYG00000009345
ficedula_albicollis ENSFALG00000003989
cyanistes_caeruleus ENSCCEG00000023324
parus_major ENSPMJG00000018257
manacus_vitellinus ENSMVIG00005018379
lepidothrix_coronata ENSLCOG00000016066
melopsittacus_undulatus ENSMUNG00000011137
crocodylus_porosus ENSCPRG00005001954
gopherus_agassizii ENSGAGG00000012078
chelonoidis_abingdonii ENSCABG00000021571
chrysemys_picta_bellii ENSCPBG00000020188
pelodiscus_sinensis ENSPSIG00000005254
pogona_vitticeps ENSPVIG00000002828
anolis_carolinensis ENSACAG00000009642
notechis_scutatus ENSNSUG00000004849
salvator_merianae ENSSMRG00000020327
sphenodon_punctatus ENSSPUG00000012883
microtus_ochrogaster ENSMOCG00000009593
peromyscus_maniculatus_bairdii ENSPEMG00000028836
cricetulus_griseus_crigri-picr ENSCGRG00015028878
cricetulus_griseus_crigri_1.0 ENSCGRG00000007685
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018794
mesocricetus_auratus ENSMAUG00000022037
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015013
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000025959
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014206
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027444
meriones_unguiculatus ENSMUGG00000022661
nannospalax_galili ENSNGAG00000016561
jaculus_jaculus ENSJJAG00000011480
castor_canadensis ENSCCNG00000003104
marmota_marmota_marmota ENSMMMG00000014897
spermophilus_dauricus ENSSDAG00000020134
ictidomys_tridecemlineatus ENSSTOG00000011069
urocitellus_parryii ENSUPAG00010007967
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100010540
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000004721
fukomys_damarensis ENSFDAG00000007436
octodon_degus ENSODEG00000010345
cavia_porcellus ENSCPOG00000009080
cavia_aperea ENSCAPG00000017980
chinchilla_lanigera ENSCLAG00000006083
tupaia_belangeri ENSTBEG00000007537
erinaceus_europaeus ENSEEUG00000013707
echinops_telfairi ENSETEG00000014513
sus_scrofa ENSSSCG00000029998
vicugna_pacos ENSVPAG00000007495
ursus_maritimus ENSUMAG00000022629
ursus_americanus ENSUAMG00000015466
ailuropoda_melanoleuca ENSAMEG00000015148
mustela_putorius_furo ENSMPUG00000000483
canis_lupus_dingo ENSCAFG00020027423
felis_catus ENSFCAG00000002514
panthera_tigris_altaica ENSPTIG00000011869
equus_caballus ENSECAG00000012215
myotis_lucifugus ENSMLUG00000009436
pteropus_vampyrus ENSPVAG00000006542
bison_bison_bison ENSBBBG00000010885
bos_mutus ENSBMUG00000013949
capra_hircus ENSCHIG00000006619
tursiops_truncatus ENSTTRG00000014444
oryctolagus_cuniculus ENSOCUG00000009813
ochotona_princeps ENSOPRG00000001119
dipodomys_ordii ENSDORG00000009634
microcebus_murinus ENSMICG00000037405
prolemur_simus ENSPSMG00000007540
propithecus_coquereli ENSPCOG00000018231
otolemur_garnettii ENSOGAG00000017014
rhinopithecus_bieti ENSRBIG00000040855
rhinopithecus_roxellana ENSRROG00000039637
colobus_angolensis_palliatus ENSCANG00000020053
piliocolobus_tephrosceles ENSPTEG00000034311
cercocebus_atys ENSCATG00000041615
papio_anubis ENSPANG00000005240
macaca_nemestrina ENSMNEG00000027996
macaca_fascicularis ENSMFAG00000039083
theropithecus_gelada ENSTGEG00000004201
chlorocebus_sabaeus ENSCSAG00000010117
mandrillus_leucophaeus ENSMLEG00000003421
pan_paniscus ENSPPAG00000035305
pan_troglodytes ENSPTRG00000012850
homo_sapiens ENSG00000118263
gorilla_gorilla ENSGGOG00000009338
pongo_abelii ENSPPYG00000013114
callithrix_jacchus ENSCJAG00000006023
cebus_capucinus_imitator ENSCCAG00000033506
pan_troglodytes ENSPTRG00000045886
pan_paniscus ENSPPAG00000035310
gorilla_gorilla ENSGGOG00000038385
nomascus_leucogenys ENSNLEG00000027572
cercocebus_atys ENSCATG00000036414
papio_anubis ENSPANG00000030959
rhinopithecus_roxellana ENSRROG00000040616
rhinopithecus_bieti ENSRBIG00000026426
macaca_mulatta ENSMMUG00000000190
saimiri_boliviensis_boliviensis ENSSBOG00000027628
mus_spicilegus ENSMSIG00000010033
rattus_norvegicus ENSRNOG00000012961
sorex_araneus ENSSARG00000006987
neovison_vison ENSNVIG00000005091
bos_taurus ENSBTAG00000044097
ovis_aries ENSOARG00000018838
equus_asinus_asinus ENSEASG00005002973
loxodonta_africana ENSLAFG00000005822
procavia_capensis ENSPCAG00000010738
dasypus_novemcinctus ENSDNOG00000035718
canis_lupus_familiaris ENSCAFG00000013485
vulpes_vulpes ENSVVUG00000011906
panthera_pardus ENSPPRG00000006377
sorex_araneus ENSSARG00000007376
nomascus_leucogenys ENSNLEG00000035258
aotus_nancymaae ENSANAG00000036279
carlito_syrichta ENSTSYG00000030503
ornithorhynchus_anatinus ENSOANG00000009359
phascolarctos_cinereus ENSPCIG00000018773
notamacropus_eugenii ENSMEUG00000010085
sarcophilus_harrisii ENSSHAG00000015861
monodelphis_domestica ENSMODG00000015982
xenopus_tropicalis ENSXETG00000016394
latimeria_chalumnae ENSLACG00000014655
astyanax_mexicanus ENSAMXG00000016670
pygocentrus_nattereri ENSPNAG00000022575
ictalurus_punctatus ENSIPUG00000006771
pygocentrus_nattereri ENSPNAG00000005674
astyanax_mexicanus ENSAMXG00000015449
ictalurus_punctatus ENSIPUG00000023698
danio_rerio ENSDARG00000043821
cyprinodon_variegatus ENSCVAG00000018140
fundulus_heteroclitus ENSFHEG00000014907
poecilia_mexicana ENSPMEG00000011292
poecilia_latipinna ENSPLAG00000004715
poecilia_reticulata ENSPREG00000004010
gambusia_affinis ENSGAFG00000002300
xiphophorus_maculatus ENSXMAG00000001299
kryptolebias_marmoratus ENSKMAG00000004398
oryzias_latipes_asm223467v1 ENSORLG00000010342
oryzias_latipes_asm223469v1 ENSORLG00015018563
oryzias_latipes_asm223471v1 ENSORLG00020015711
oryzias_melastigma ENSOMEG00000015720
poecilia_formosa ENSPFOG00000015451
xiphophorus_couchianus ENSXCOG00000018523
monopterus_albus ENSMALG00000008736
pundamilia_nyererei ENSPNYG00000009883
astatotilapia_calliptera ENSACLG00000021349
maylandia_zebra ENSMZEG00005018616
haplochromis_burtoni ENSHBUG00000017369
neolamprologus_brichardi ENSNBRG00000001578
oreochromis_niloticus ENSONIG00000017091
amphilophus_citrinellus ENSACIG00000022430
scophthalmus_maximus ENSSMAG00000005116
cynoglossus_semilaevis ENSCSEG00000005979
seriola_lalandi_dorsalis ENSSLDG00000022827
seriola_dumerili ENSSDUG00000010932
mola_mola ENSMMOG00000019698
gasterosteus_aculeatus ENSGACG00000002124
labrus_bergylta ENSLBEG00000020171
mastacembelus_armatus ENSMAMG00000019268
anabas_testudineus ENSATEG00000004708
amphiprion_percula ENSAPEG00000002157
amphiprion_ocellaris ENSAOCG00000020629
acanthochromis_polyacanthus ENSAPOG00000012121
stegastes_partitus ENSSPAG00000022170
periophthalmus_magnuspinnatus ENSPMGG00000003229
hippocampus_comes ENSHCOG00000001940
esox_lucius ENSELUG00000005383
scleropages_formosus ENSSFOG00015011324
paramormyrops_kingsleyae ENSPKIG00000012937
paramormyrops_kingsleyae ENSPKIG00000014765
scleropages_formosus ENSSFOG00015023491
takifugu_rubripes ENSTRUG00000008149
tetraodon_nigroviridis ENSTNIG00000008332
gasterosteus_aculeatus ENSGACG00000014720
oryzias_latipes_asm223469v1 ENSORLG00015021499
oryzias_latipes_asm223471v1 ENSORLG00020022036
oryzias_latipes_asm223467v1 ENSORLG00000030422
oryzias_melastigma ENSOMEG00000013616
cynoglossus_semilaevis ENSCSEG00000005892
monopterus_albus ENSMALG00000000515
mastacembelus_armatus ENSMAMG00000021179
anabas_testudineus ENSATEG00000016376
seriola_lalandi_dorsalis ENSSLDG00000005956
seriola_dumerili ENSSDUG00000022315
scophthalmus_maximus ENSSMAG00000010904
mola_mola ENSMMOG00000019632
stegastes_partitus ENSSPAG00000003391
stegastes_partitus ENSSPAG00000014264
astatotilapia_calliptera ENSACLG00000009535
pundamilia_nyererei ENSPNYG00000009394
haplochromis_burtoni ENSHBUG00000004389
maylandia_zebra ENSMZEG00005014621
neolamprologus_brichardi ENSNBRG00000019139
oreochromis_niloticus ENSONIG00000013381
amphilophus_citrinellus ENSACIG00000024057
amphiprion_ocellaris ENSAOCG00000007916
amphiprion_percula ENSAPEG00000012825
acanthochromis_polyacanthus ENSAPOG00000008030
kryptolebias_marmoratus ENSKMAG00000003399
labrus_bergylta ENSLBEG00000013988
fundulus_heteroclitus ENSFHEG00000008252
cyprinodon_variegatus ENSCVAG00000012333
xiphophorus_maculatus ENSXMAG00000023355
xiphophorus_couchianus ENSXCOG00000012054
gambusia_affinis ENSGAFG00000007671
poecilia_formosa ENSPFOG00000013890
poecilia_latipinna ENSPLAG00000015865
poecilia_mexicana ENSPMEG00000008814
poecilia_reticulata ENSPREG00000016867
hippocampus_comes ENSHCOG00000009996
periophthalmus_magnuspinnatus ENSPMGG00000011826
esox_lucius ENSELUG00000002465
danio_rerio ENSDARG00000073857
petromyzon_marinus ENSPMAG00000005136
petromyzon_marinus ENSPMAG00000002310
eptatretus_burgeri ENSEBUG00000001054
eptatretus_burgeri ENSEBUG00000012870
