rattus_norvegicus ENSRNOG00000031681
mus_spicilegus ENSMSIG00000009016
meriones_unguiculatus ENSMUGG00000009420
cricetulus_griseus_crigri_1.0 ENSCGRG00000005752
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001015120
cricetulus_griseus_crigri-picr ENSCGRG00015024339
mesocricetus_auratus ENSMAUG00000003554
microtus_ochrogaster ENSMOCG00000000120
chlorocebus_sabaeus ENSCSAG00000017459
piliocolobus_tephrosceles ENSPTEG00000032712
sus_scrofa ENSSSCG00000037959
bos_mutus ENSBMUG00000009351
equus_caballus ENSECAG00000029259
equus_asinus_asinus ENSEASG00005021930
felis_catus ENSFCAG00000045942
vulpes_vulpes ENSVVUG00000019866
canis_lupus_dingo ENSCAFG00020020143
ursus_maritimus ENSUMAG00000022115
neovison_vison ENSNVIG00000001034
panthera_tigris_altaica ENSPTIG00000019920
dasypus_novemcinctus ENSDNOG00000046814
calidris_pygmaea ENSCPGG00000000256
cyanistes_caeruleus ENSCCEG00000002962
lepidothrix_coronata ENSLCOG00000005880
lonchura_striata_domestica ENSLSDG00000007595
melopsittacus_undulatus ENSMUNG00000016665
serinus_canaria ENSSCAG00000004668
coturnix_japonica ENSCJPG00005015960
calidris_pugnax ENSCPUG00000006707
crocodylus_porosus ENSCPRG00005016438
chrysemys_picta_bellii ENSCPBG00000019015
