heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014521
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100010214
chinchilla_lanigera ENSCLAG00000007198
castor_canadensis ENSCCNG00000008115
urocitellus_parryii ENSUPAG00010023362
urocitellus_parryii ENSUPAG00010023363
marmota_marmota_marmota ENSMMMG00000004313
spermophilus_dauricus ENSSDAG00000006789
neovison_vison ENSNVIG00000021982
bos_taurus ENSBTAG00000054305
papio_anubis ENSPANG00000034137
pan_troglodytes ENSPTRG00000023960
pan_paniscus ENSPPAG00000040445
gorilla_gorilla ENSGGOG00000026442
homo_sapiens ENSG00000196387
pongo_abelii ENSPPYG00000005153
nomascus_leucogenys ENSNLEG00000012479
mandrillus_leucophaeus ENSMLEG00000038922
papio_anubis ENSPANG00000001812
theropithecus_gelada ENSTGEG00000001275
cercocebus_atys ENSCATG00000033352
chlorocebus_sabaeus ENSCSAG00000001815
macaca_mulatta ENSMMUG00000003150
macaca_nemestrina ENSMNEG00000038354
macaca_fascicularis ENSMFAG00000000564
piliocolobus_tephrosceles ENSPTEG00000030841
colobus_angolensis_palliatus ENSCANG00000042663
rhinopithecus_bieti ENSRBIG00000026617
rhinopithecus_roxellana ENSRROG00000030436
cebus_capucinus_imitator ENSCCAG00000031752
saimiri_boliviensis_boliviensis ENSSBOG00000031361
callithrix_jacchus ENSCJAG00000013104
aotus_nancymaae ENSANAG00000034737
carlito_syrichta ENSTSYG00000036889
microcebus_murinus ENSMICG00000029979
propithecus_coquereli ENSPCOG00000021258
prolemur_simus ENSPSMG00000016316
otolemur_garnettii ENSOGAG00000030665
ictidomys_tridecemlineatus ENSSTOG00000014531
myotis_lucifugus ENSMLUG00000009202
pteropus_vampyrus ENSPVAG00000014537
ursus_americanus ENSUAMG00000007490
ursus_maritimus ENSUMAG00000001032
ailuropoda_melanoleuca ENSAMEG00000013369
mustela_putorius_furo ENSMPUG00000002714
canis_lupus_familiaris ENSCAFG00000030275
canis_lupus_dingo ENSCAFG00020009788
panthera_pardus ENSPPRG00000006390
panthera_tigris_altaica ENSPTIG00000016104
felis_catus ENSFCAG00000024075
sorex_araneus ENSSARG00000000083
sus_scrofa ENSSSCG00000032144
vicugna_pacos ENSVPAG00000011394
bos_mutus ENSBMUG00000015515
bos_taurus ENSBTAG00000040072
bison_bison_bison ENSBBBG00000008002
ovis_aries ENSOARG00000008528
capra_hircus ENSCHIG00000012363
tursiops_truncatus ENSTTRG00000004364
equus_asinus_asinus ENSEASG00005016750
dasypus_novemcinctus ENSDNOG00000019632
choloepus_hoffmanni ENSCHOG00000003641
echinops_telfairi ENSETEG00000020180
procavia_capensis ENSPCAG00000014332
