mandrillus_leucophaeus ENSMLEG00000035256
cercocebus_atys ENSCATG00000040268
macaca_nemestrina ENSMNEG00000038868
papio_anubis ENSPANG00000031606
rhinopithecus_roxellana ENSRROG00000039451
rhinopithecus_bieti ENSRBIG00000036166
macaca_fascicularis ENSMFAG00000031778
colobus_angolensis_palliatus ENSCANG00000043824
pan_paniscus ENSPPAG00000025444
nomascus_leucogenys ENSNLEG00000033543
saimiri_boliviensis_boliviensis ENSSBOG00000030891
aotus_nancymaae ENSANAG00000037901
spermophilus_dauricus ENSSDAG00000002011
tursiops_truncatus ENSTTRG00000011098
equus_caballus ENSECAG00000035795
