mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023624
mus_spicilegus ENSMSIG00000030562
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000094584
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022710
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0014204
rattus_norvegicus ENSRNOG00000042330
meriones_unguiculatus ENSMUGG00000014149
cricetulus_griseus_crigri-picr ENSCGRG00015007349
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023384
cricetulus_griseus_crigri_1.0 ENSCGRG00000000775
mesocricetus_auratus ENSMAUG00000011557
microtus_ochrogaster ENSMOCG00000020528
nannospalax_galili ENSNGAG00000019067
castor_canadensis ENSCCNG00000027234
oryctolagus_cuniculus ENSOCUG00000026537
pan_troglodytes ENSPTRG00000034544
pan_paniscus ENSPPAG00000029165
homo_sapiens ENSG00000214782
gorilla_gorilla ENSGGOG00000040229
nomascus_leucogenys ENSNLEG00000013542
rhinopithecus_bieti ENSRBIG00000036542
rhinopithecus_roxellana ENSRROG00000034280
colobus_angolensis_palliatus ENSCANG00000007443
papio_anubis ENSPANG00000007471
theropithecus_gelada ENSTGEG00000019224
mandrillus_leucophaeus ENSMLEG00000036788
macaca_fascicularis ENSMFAG00000030452
macaca_mulatta ENSMMUG00000049023
macaca_nemestrina ENSMNEG00000044298
cercocebus_atys ENSCATG00000041803
chlorocebus_sabaeus ENSCSAG00000006227
callithrix_jacchus ENSCJAG00000042523
cebus_capucinus_imitator ENSCCAG00000031019
saimiri_boliviensis_boliviensis ENSSBOG00000007473
aotus_nancymaae ENSANAG00000032658
propithecus_coquereli ENSPCOG00000023014
microcebus_murinus ENSMICG00000030183
ictidomys_tridecemlineatus ENSSTOG00000019619
marmota_marmota_marmota ENSMMMG00000000754
spermophilus_dauricus ENSSDAG00000017398
urocitellus_parryii ENSUPAG00010003854
bos_mutus ENSBMUG00000015396
bos_taurus ENSBTAG00000038312
bison_bison_bison ENSBBBG00000015328
ovis_aries ENSOARG00000015358
capra_hircus ENSCHIG00000012875
loxodonta_africana ENSLAFG00000020957
phascolarctos_cinereus ENSPCIG00000009828
