ovis_aries ENSOARG00000011358
capra_hircus ENSCHIG00000019925
bison_bison_bison ENSBBBG00000000884
bison_bison_bison ENSBBBG00000000893
bos_taurus ENSBTAG00000014515
bos_mutus ENSBMUG00000019633
tursiops_truncatus ENSTTRG00000014283
sus_scrofa ENSSSCG00000008788
vicugna_pacos ENSVPAG00000002020
pteropus_vampyrus ENSPVAG00000002121
myotis_lucifugus ENSMLUG00000013981
ursus_americanus ENSUAMG00000023841
ursus_maritimus ENSUMAG00000000849
ailuropoda_melanoleuca ENSAMEG00000003216
mustela_putorius_furo ENSMPUG00000006033
neovison_vison ENSNVIG00000007060
canis_lupus_familiaris ENSCAFG00000016068
canis_lupus_dingo ENSCAFG00020001300
vulpes_vulpes ENSVVUG00000014641
panthera_tigris_altaica ENSPTIG00000001431
panthera_pardus ENSPPRG00000006934
felis_catus ENSFCAG00000001781
equus_caballus ENSECAG00000024126
equus_asinus_asinus ENSEASG00005008228
ursus_americanus ENSUAMG00000017358
ursus_maritimus ENSUMAG00000022196
spermophilus_dauricus ENSSDAG00000013805
spermophilus_dauricus ENSSDAG00000010248
urocitellus_parryii ENSUPAG00010017359
marmota_marmota_marmota ENSMMMG00000017905
ictidomys_tridecemlineatus ENSSTOG00000007088
dipodomys_ordii ENSDORG00000010527
octodon_degus ENSODEG00000003452
chinchilla_lanigera ENSCLAG00000001564
cavia_porcellus ENSCPOG00000004248
cavia_aperea ENSCAPG00000010751
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003700
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000002546
fukomys_damarensis ENSFDAG00000006469
mus_spicilegus ENSMSIG00000010211
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028240
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000029191
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027245
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017027
rattus_norvegicus ENSRNOG00000002855
meriones_unguiculatus ENSMUGG00000010578
peromyscus_maniculatus_bairdii ENSPEMG00000025101
peromyscus_maniculatus_bairdii ENSPEMG00000012339
cricetulus_griseus_crigri-picr ENSCGRG00015001231
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001016960
cricetulus_griseus_crigri_1.0 ENSCGRG00000001096
mesocricetus_auratus ENSMAUG00000015509
microtus_ochrogaster ENSMOCG00000023036
nannospalax_galili ENSNGAG00000010064
jaculus_jaculus ENSJJAG00000015683
castor_canadensis ENSCCNG00000026537
oryctolagus_cuniculus ENSOCUG00000004739
ochotona_princeps ENSOPRG00000009989
pan_paniscus ENSPPAG00000042006
pan_troglodytes ENSPTRG00000015991
homo_sapiens ENSG00000035928
gorilla_gorilla ENSGGOG00000007977
pongo_abelii ENSPPYG00000014673
nomascus_leucogenys ENSNLEG00000017090
theropithecus_gelada ENSTGEG00000001271
papio_anubis ENSPANG00000016220
macaca_nemestrina ENSMNEG00000032597
macaca_mulatta ENSMMUG00000009324
macaca_fascicularis ENSMFAG00000041957
mandrillus_leucophaeus ENSMLEG00000044325
chlorocebus_sabaeus ENSCSAG00000016924
piliocolobus_tephrosceles ENSPTEG00000023298
colobus_angolensis_palliatus ENSCANG00000026096
rhinopithecus_roxellana ENSRROG00000011680
rhinopithecus_roxellana ENSRROG00000031031
colobus_angolensis_palliatus ENSCANG00000036462
theropithecus_gelada ENSTGEG00000019280
macaca_mulatta ENSMMUG00000031790
rhinopithecus_bieti ENSRBIG00000040471
cercocebus_atys ENSCATG00000015035
saimiri_boliviensis_boliviensis ENSSBOG00000015554
callithrix_jacchus ENSCJAG00000020703
aotus_nancymaae ENSANAG00000026467
cebus_capucinus_imitator ENSCCAG00000019643
carlito_syrichta ENSTSYG00000013946
