bos_taurus ENSBTAG00000037933
bos_mutus ENSBMUG00000006847
bison_bison_bison ENSBBBG00000008108
ovis_aries ENSOARG00000000872
sus_scrofa ENSSSCG00000037128
equus_caballus ENSECAG00000038254
pteropus_vampyrus ENSPVAG00000005921
erinaceus_europaeus ENSEEUG00000014828
neovison_vison ENSNVIG00000004564
neovison_vison ENSNVIG00000004572
neovison_vison ENSNVIG00000004567
panthera_pardus ENSPPRG00000012034
panthera_tigris_altaica ENSPTIG00000005126
felis_catus ENSFCAG00000014479
panthera_pardus ENSPPRG00000012028
panthera_tigris_altaica ENSPTIG00000005146
felis_catus ENSFCAG00000040662
tupaia_belangeri ENSTBEG00000017203
tupaia_belangeri ENSTBEG00000017221
homo_sapiens ENSG00000186971
pongo_abelii ENSPPYG00000011334
nomascus_leucogenys ENSNLEG00000018503
chlorocebus_sabaeus ENSCSAG00000018698
theropithecus_gelada ENSTGEG00000027718
piliocolobus_tephrosceles ENSPTEG00000027143
callithrix_jacchus ENSCJAG00000008784
pongo_abelii ENSPPYG00000011335
theropithecus_gelada ENSTGEG00000027729
piliocolobus_tephrosceles ENSPTEG00000027120
cebus_capucinus_imitator ENSCCAG00000019354
theropithecus_gelada ENSTGEG00000027735
marmota_marmota_marmota ENSMMMG00000018332
choloepus_hoffmanni ENSCHOG00000005930
choloepus_hoffmanni ENSCHOG00000009314
echinops_telfairi ENSETEG00000018558
pongo_abelii ENSPPYG00000011331
pongo_abelii ENSPPYG00000011332
homo_sapiens ENSG00000182816
pan_troglodytes ENSPTRG00000023953
gorilla_gorilla ENSGGOG00000024092
pan_paniscus ENSPPAG00000032574
pan_troglodytes ENSPTRG00000013832
homo_sapiens ENSG00000198390
gorilla_gorilla ENSGGOG00000009907
pongo_abelii ENSPPYG00000011333
theropithecus_gelada ENSTGEG00000027751
chlorocebus_sabaeus ENSCSAG00000018699
piliocolobus_tephrosceles ENSPTEG00000027095
rhinopithecus_roxellana ENSRROG00000012812
rhinopithecus_roxellana ENSRROG00000032843
piliocolobus_tephrosceles ENSPTEG00000027078
chlorocebus_sabaeus ENSCSAG00000019466
theropithecus_gelada ENSTGEG00000027762
macaca_mulatta ENSMMUG00000014971
piliocolobus_tephrosceles ENSPTEG00000027059
callithrix_jacchus ENSCJAG00000046623
callithrix_jacchus ENSCJAG00000022702
carlito_syrichta ENSTSYG00000005534
microcebus_murinus ENSMICG00000000669
propithecus_coquereli ENSPCOG00000008176
prolemur_simus ENSPSMG00000007133
prolemur_simus ENSPSMG00000007138
prolemur_simus ENSPSMG00000007128
prolemur_simus ENSPSMG00000007143
microcebus_murinus ENSMICG00000000670
propithecus_coquereli ENSPCOG00000023297
otolemur_garnettii ENSOGAG00000029888
otolemur_garnettii ENSOGAG00000026011
otolemur_garnettii ENSOGAG00000003655
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000056350
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021817
mus_spicilegus ENSMSIG00000012169
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020911
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016615
rattus_norvegicus ENSRNOG00000042531
meriones_unguiculatus ENSMUGG00000003615
cricetulus_griseus_crigri_1.0 ENSCGRG00000019843
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001006888
cricetulus_griseus_crigri-picr ENSCGRG00015022908
peromyscus_maniculatus_bairdii ENSPEMG00000030478
peromyscus_maniculatus_bairdii ENSPEMG00000022962
rattus_norvegicus ENSRNOG00000001570
urocitellus_parryii ENSUPAG00010006997
spermophilus_dauricus ENSSDAG00000012817
marmota_marmota_marmota ENSMMMG00000018322
cavia_aperea ENSCAPG00000007671
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100007784
oryctolagus_cuniculus ENSOCUG00000005599
ochotona_princeps ENSOPRG00000000947
ochotona_princeps ENSOPRG00000000943
dasypus_novemcinctus ENSDNOG00000008617
