astatotilapia_calliptera ENSACLG00000017767
pundamilia_nyererei ENSPNYG00000004720
maylandia_zebra ENSMZEG00005012598
pundamilia_nyererei ENSPNYG00000023655
amphilophus_citrinellus ENSACIG00000020848
amphilophus_citrinellus ENSACIG00000019141
pundamilia_nyererei ENSPNYG00000004166
neolamprologus_brichardi ENSNBRG00000000186
stegastes_partitus ENSSPAG00000018263
hippocampus_comes ENSHCOG00000006154
hippocampus_comes ENSHCOG00000006202
poecilia_latipinna ENSPLAG00000002613
poecilia_latipinna ENSPLAG00000005562
poecilia_mexicana ENSPMEG00000015813
cynoglossus_semilaevis ENSCSEG00000007008
anabas_testudineus ENSATEG00000022451
hippocampus_comes ENSHCOG00000006195
anas_platyrhynchos_platyrhynchos ENSAPLG00000019410
