danio_rerio ENSDARG00000104735
ictalurus_punctatus ENSIPUG00000019098
takifugu_rubripes ENSTRUG00000010013
tetraodon_nigroviridis ENSTNIG00000017086
gasterosteus_aculeatus ENSGACG00000002824
poecilia_formosa ENSPFOG00000005993
poecilia_formosa ENSPFOG00000006051
poecilia_mexicana ENSPMEG00000020881
poecilia_mexicana ENSPMEG00000007255
poecilia_mexicana ENSPMEG00000018725
poecilia_latipinna ENSPLAG00000019700
poecilia_reticulata ENSPREG00000010999
xiphophorus_maculatus ENSXMAG00000007554
xiphophorus_couchianus ENSXCOG00000006497
gambusia_affinis ENSGAFG00000002175
cyprinodon_variegatus ENSCVAG00000008201
fundulus_heteroclitus ENSFHEG00000020909
kryptolebias_marmoratus ENSKMAG00000015807
oryzias_latipes_asm223469v1 ENSORLG00015012135
oryzias_latipes_asm223467v1 ENSORLG00000026825
oryzias_latipes_asm223471v1 ENSORLG00020005215
oryzias_melastigma ENSOMEG00000001792
hippocampus_comes ENSHCOG00000006009
scophthalmus_maximus ENSSMAG00000014959
cynoglossus_semilaevis ENSCSEG00000010490
mastacembelus_armatus ENSMAMG00000011275
monopterus_albus ENSMALG00000017266
amphiprion_percula ENSAPEG00000006080
amphiprion_ocellaris ENSAOCG00000006772
acanthochromis_polyacanthus ENSAPOG00000008954
stegastes_partitus ENSSPAG00000021549
maylandia_zebra ENSMZEG00005018013
astatotilapia_calliptera ENSACLG00000017440
haplochromis_burtoni ENSHBUG00000008756
pundamilia_nyererei ENSPNYG00000005795
neolamprologus_brichardi ENSNBRG00000019104
oreochromis_niloticus ENSONIG00000007490
amphilophus_citrinellus ENSACIG00000015666
seriola_dumerili ENSSDUG00000020400
seriola_lalandi_dorsalis ENSSLDG00000021824
anabas_testudineus ENSATEG00000009699
labrus_bergylta ENSLBEG00000009205
periophthalmus_magnuspinnatus ENSPMGG00000018606
mola_mola ENSMMOG00000008162
gadus_morhua ENSGMOG00000001803
esox_lucius ENSELUG00000018652
scleropages_formosus ENSSFOG00015005965
paramormyrops_kingsleyae ENSPKIG00000018453
astyanax_mexicanus ENSAMXG00000003030
pygocentrus_nattereri ENSPNAG00000012538
lepisosteus_oculatus ENSLOCG00000007395
lepidothrix_coronata ENSLCOG00000010385
manacus_vitellinus ENSMVIG00005002813
lonchura_striata_domestica ENSLSDG00000014248
taeniopygia_guttata ENSTGUG00000011692
serinus_canaria ENSSCAG00000010038
junco_hyemalis ENSJHYG00000012731
cyanistes_caeruleus ENSCCEG00000020400
parus_major ENSPMJG00000006128
ficedula_albicollis ENSFALG00000001316
melopsittacus_undulatus ENSMUNG00000009424
anser_brachyrhynchus ENSABRG00000009610
anas_platyrhynchos_platyrhynchos ENSAPLG00000023491
calidris_pugnax ENSCPUG00000003527
calidris_pygmaea ENSCPGG00000008381
apteryx_haastii ENSAHAG00000016771
apteryx_rowi ENSARWG00000009699
nothoprocta_perdicaria ENSNPEG00000011988
gallus_gallus ENSGALG00000010500
coturnix_japonica ENSCJPG00005004206
meleagris_gallopavo ENSMGAG00000015341
numida_meleagris ENSNMEG00000005715
anolis_carolinensis ENSACAG00000027662
ornithorhynchus_anatinus ENSOANG00000003475
notechis_scutatus ENSNSUG00000012001
pogona_vitticeps ENSPVIG00000019075
salvator_merianae ENSSMRG00000013918
sarcophilus_harrisii ENSSHAG00000002937
ornithorhynchus_anatinus ENSOANG00000008903
bos_taurus ENSBTAG00000054665
capra_hircus ENSCHIG00000001574
sus_scrofa ENSSSCG00000036098
equus_caballus ENSECAG00000029054
canis_lupus_familiaris ENSCAFG00000029896
canis_lupus_dingo ENSCAFG00020019853
microcebus_murinus ENSMICG00000026655
prolemur_simus ENSPSMG00000004619
propithecus_coquereli ENSPCOG00000020842
otolemur_garnettii ENSOGAG00000034196
pan_troglodytes ENSPTRG00000003080
pan_paniscus ENSPPAG00000029487
homo_sapiens ENSG00000148826
pongo_abelii ENSPPYG00000002780
nomascus_leucogenys ENSNLEG00000002002
theropithecus_gelada ENSTGEG00000010176
cercocebus_atys ENSCATG00000034987
macaca_nemestrina ENSMNEG00000035653
macaca_fascicularis ENSMFAG00000045566
chlorocebus_sabaeus ENSCSAG00000004366
piliocolobus_tephrosceles ENSPTEG00000025795
callithrix_jacchus ENSCJAG00000010137
cebus_capucinus_imitator ENSCCAG00000020685
aotus_nancymaae ENSANAG00000000015
tupaia_belangeri ENSTBEG00000010827
ochotona_princeps ENSOPRG00000007218
rhinopithecus_roxellana ENSRROG00000032703
rhinopithecus_bieti ENSRBIG00000041445
mandrillus_leucophaeus ENSMLEG00000036028
papio_anubis ENSPANG00000035139
myotis_lucifugus ENSMLUG00000023493
ursus_americanus ENSUAMG00000021096
ailuropoda_melanoleuca ENSAMEG00000010593
loxodonta_africana ENSLAFG00000018008
echinops_telfairi ENSETEG00000019318
felis_catus ENSFCAG00000040274
equus_asinus_asinus ENSEASG00005015006
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000041309
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031729
mus_spicilegus ENSMSIG00000025907
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030618
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0013823
rattus_norvegicus ENSRNOG00000017748
meriones_unguiculatus ENSMUGG00000010160
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001016308
cricetulus_griseus_crigri-picr ENSCGRG00015027871
mesocricetus_auratus ENSMAUG00000004076
microtus_ochrogaster ENSMOCG00000011913
peromyscus_maniculatus_bairdii ENSPEMG00000009524
nannospalax_galili ENSNGAG00000023118
jaculus_jaculus ENSJJAG00000018842
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100008593
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009836
fukomys_damarensis ENSFDAG00000005020
chinchilla_lanigera ENSCLAG00000002882
octodon_degus ENSODEG00000016976
cavia_porcellus ENSCPOG00000020442
ictidomys_tridecemlineatus ENSSTOG00000006771
urocitellus_parryii ENSUPAG00010007413
castor_canadensis ENSCCNG00000017534
procavia_capensis ENSPCAG00000000708
echinops_telfairi ENSETEG00000017312
monodelphis_domestica ENSMODG00000017451
dromaius_novaehollandiae ENSDNVG00000004087
phascolarctos_cinereus ENSPCIG00000027914
notamacropus_eugenii ENSMEUG00000009353
xenopus_tropicalis ENSXETG00000023614
latimeria_chalumnae ENSLACG00000007212
gopherus_agassizii ENSGAGG00000013736
chelonoidis_abingdonii ENSCABG00000017441
chrysemys_picta_bellii ENSCPBG00000014010
pelodiscus_sinensis ENSPSIG00000010754
crocodylus_porosus ENSCPRG00005007090
sphenodon_punctatus ENSSPUG00000005732
