mus_spicilegus ENSMSIG00000020898
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000047867
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029353
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028350
rattus_norvegicus ENSRNOG00000033338
meriones_unguiculatus ENSMUGG00000024872
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023782
cricetulus_griseus_crigri_1.0 ENSCGRG00000014388
cricetulus_griseus_crigri-picr ENSCGRG00015007726
mesocricetus_auratus ENSMAUG00000011214
peromyscus_maniculatus_bairdii ENSPEMG00000011262
microtus_ochrogaster ENSMOCG00000018308
nannospalax_galili ENSNGAG00000009129
castor_canadensis ENSCCNG00000003416
spermophilus_dauricus ENSSDAG00000024306
spermophilus_dauricus ENSSDAG00000024304
marmota_marmota_marmota ENSMMMG00000006424
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000012994
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100004910
fukomys_damarensis ENSFDAG00000013097
chinchilla_lanigera ENSCLAG00000001242
cavia_porcellus ENSCPOG00000040378
equus_caballus ENSECAG00000003981
equus_asinus_asinus ENSEASG00005007023
ursus_americanus ENSUAMG00000002021
ursus_americanus ENSUAMG00000004052
ursus_americanus ENSUAMG00000000534
ursus_americanus ENSUAMG00000003158
ursus_americanus ENSUAMG00000005395
ursus_maritimus ENSUMAG00000000464
ailuropoda_melanoleuca ENSAMEG00000009802
canis_lupus_dingo ENSCAFG00020006496
canis_lupus_familiaris ENSCAFG00000024858
vulpes_vulpes ENSVVUG00000009155
panthera_pardus ENSPPRG00000000827
felis_catus ENSFCAG00000041878
capra_hircus ENSCHIG00000012346
ovis_aries ENSOARG00000001356
bos_mutus ENSBMUG00000014318
bos_taurus ENSBTAG00000050052
bison_bison_bison ENSBBBG00000000910
bison_bison_bison ENSBBBG00000022482
bos_mutus ENSBMUG00000003373
capra_hircus ENSCHIG00000019058
capra_hircus ENSCHIG00000026449
capra_hircus ENSCHIG00000019898
bos_mutus ENSBMUG00000012804
bison_bison_bison ENSBBBG00000017339
tursiops_truncatus ENSTTRG00000017002
sus_scrofa ENSSSCG00000027196
sorex_araneus ENSSARG00000000290
sorex_araneus ENSSARG00000011388
erinaceus_europaeus ENSEEUG00000007095
pan_troglodytes ENSPTRG00000045753
pan_troglodytes ENSPTRG00000019860
pan_paniscus ENSPPAG00000033178
homo_sapiens ENSG00000133561
gorilla_gorilla ENSGGOG00000000613
pongo_abelii ENSPPYG00000029783
macaca_fascicularis ENSMFAG00000043478
macaca_mulatta ENSMMUG00000047276
macaca_nemestrina ENSMNEG00000029719
theropithecus_gelada ENSTGEG00000003758
papio_anubis ENSPANG00000032121
mandrillus_leucophaeus ENSMLEG00000029734
cercocebus_atys ENSCATG00000038067
chlorocebus_sabaeus ENSCSAG00000006876
rhinopithecus_roxellana ENSRROG00000045462
rhinopithecus_bieti ENSRBIG00000031547
piliocolobus_tephrosceles ENSPTEG00000029196
colobus_angolensis_palliatus ENSCANG00000029314
cebus_capucinus_imitator ENSCCAG00000034011
callithrix_jacchus ENSCJAG00000020121
saimiri_boliviensis_boliviensis ENSSBOG00000022715
aotus_nancymaae ENSANAG00000036674
carlito_syrichta ENSTSYG00000031555
prolemur_simus ENSPSMG00000014709
propithecus_coquereli ENSPCOG00000027875
microcebus_murinus ENSMICG00000033278
otolemur_garnettii ENSOGAG00000029466
oryctolagus_cuniculus ENSOCUG00000026993
oryctolagus_cuniculus ENSOCUG00000023856
myotis_lucifugus ENSMLUG00000010888
dipodomys_ordii ENSDORG00000023560
phascolarctos_cinereus ENSPCIG00000016010
notamacropus_eugenii ENSMEUG00000003871
sarcophilus_harrisii ENSSHAG00000000570
monodelphis_domestica ENSMODG00000029183
