astatotilapia_calliptera ENSACLG00000022796
oreochromis_niloticus ENSONIG00000012721
maylandia_zebra ENSMZEG00005016461
seriola_dumerili ENSSDUG00000014195
ornithorhynchus_anatinus ENSOANG00000031153
pundamilia_nyererei ENSPNYG00000000438
maylandia_zebra ENSMZEG00005012902
neolamprologus_brichardi ENSNBRG00000023317
acanthochromis_polyacanthus ENSAPOG00000002864
oryzias_latipes_asm223471v1 ENSORLG00020020372
monopterus_albus ENSMALG00000002971
anabas_testudineus ENSATEG00000024232
labrus_bergylta ENSLBEG00000023669
gadus_morhua ENSGMOG00000005804
astyanax_mexicanus ENSAMXG00000042690
bos_mutus ENSBMUG00000022340
bos_taurus ENSBTAG00000017233
bison_bison_bison ENSBBBG00000004836
ornithorhynchus_anatinus ENSOANG00000006544
taeniopygia_guttata ENSTGUG00000003069
zonotrichia_albicollis ENSZALG00000007506
lepidothrix_coronata ENSLCOG00000010852
calidris_pygmaea ENSCPGG00000014512
anas_platyrhynchos_platyrhynchos ENSAPLG00000017215
pelodiscus_sinensis ENSPSIG00000014253
anolis_carolinensis ENSACAG00000015680
salvator_merianae ENSSMRG00000003664
xenopus_tropicalis ENSXETG00000031165
