xiphophorus_maculatus ENSXMAG00000008266
poecilia_formosa ENSPFOG00000014082
poecilia_latipinna ENSPLAG00000001109
poecilia_mexicana ENSPMEG00000017742
poecilia_reticulata ENSPREG00000010533
xiphophorus_couchianus ENSXCOG00000004721
gambusia_affinis ENSGAFG00000020903
fundulus_heteroclitus ENSFHEG00000020998
cyprinodon_variegatus ENSCVAG00000017996
kryptolebias_marmoratus ENSKMAG00000000789
mola_mola ENSMMOG00000006255
periophthalmus_magnuspinnatus ENSPMGG00000002812
amphiprion_ocellaris ENSAOCG00000004969
acanthochromis_polyacanthus ENSAPOG00000013146
stegastes_partitus ENSSPAG00000007482
astatotilapia_calliptera ENSACLG00000014128
pundamilia_nyererei ENSPNYG00000011382
maylandia_zebra ENSMZEG00005004495
maylandia_zebra ENSMZEG00005023231
haplochromis_burtoni ENSHBUG00000022240
neolamprologus_brichardi ENSNBRG00000003631
oreochromis_niloticus ENSONIG00000014646
monopterus_albus ENSMALG00000021338
seriola_dumerili ENSSDUG00000009590
seriola_lalandi_dorsalis ENSSLDG00000025238
amphilophus_citrinellus ENSACIG00000021409
mastacembelus_armatus ENSMAMG00000011787
labrus_bergylta ENSLBEG00000017894
gasterosteus_aculeatus ENSGACG00000000251
scophthalmus_maximus ENSSMAG00000020661
cynoglossus_semilaevis ENSCSEG00000005406
takifugu_rubripes ENSTRUG00000010143
tetraodon_nigroviridis ENSTNIG00000014308
oryzias_latipes_asm223467v1 ENSORLG00000023343
oryzias_latipes_asm223471v1 ENSORLG00020019233
oryzias_latipes_asm223469v1 ENSORLG00015001024
oryzias_melastigma ENSOMEG00000019119
amphiprion_percula ENSAPEG00000001287
anabas_testudineus ENSATEG00000021395
hippocampus_comes ENSHCOG00000016311
gadus_morhua ENSGMOG00000013019
esox_lucius ENSELUG00000014891
pygocentrus_nattereri ENSPNAG00000004819
astyanax_mexicanus ENSAMXG00000043208
danio_rerio ENSDARG00000068257
paramormyrops_kingsleyae ENSPKIG00000010211
taeniopygia_guttata ENSTGUG00000007898
lonchura_striata_domestica ENSLSDG00000005148
serinus_canaria ENSSCAG00000002705
junco_hyemalis ENSJHYG00000016294
zonotrichia_albicollis ENSZALG00000012337
ficedula_albicollis ENSFALG00000015211
cyanistes_caeruleus ENSCCEG00000018430
parus_major ENSPMJG00000017192
lepidothrix_coronata ENSLCOG00000002819
manacus_vitellinus ENSMVIG00005010042
calidris_pygmaea ENSCPGG00000006667
calidris_pugnax ENSCPUG00000014214
numida_meleagris ENSNMEG00000014211
coturnix_japonica ENSCJPG00005005790
gallus_gallus ENSGALG00000031350
meleagris_gallopavo ENSMGAG00000004870
melopsittacus_undulatus ENSMUNG00000014273
anser_brachyrhynchus ENSABRG00000019469
apteryx_owenii ENSAOWG00000017515
apteryx_haastii ENSAHAG00000009684
apteryx_rowi ENSARWG00000006473
dromaius_novaehollandiae ENSDNVG00000001968
nothoprocta_perdicaria ENSNPEG00000012802
anas_platyrhynchos_platyrhynchos ENSAPLG00000001808
crocodylus_porosus ENSCPRG00005004528
gopherus_agassizii ENSGAGG00000016568
gopherus_agassizii ENSGAGG00000002216
chelonoidis_abingdonii ENSCABG00000015457
chrysemys_picta_bellii ENSCPBG00000019365
pelodiscus_sinensis ENSPSIG00000000798
notechis_scutatus ENSNSUG00000014396
anolis_carolinensis ENSACAG00000004626
pogona_vitticeps ENSPVIG00000008626
salvator_merianae ENSSMRG00000002277
sphenodon_punctatus ENSSPUG00000002155
prolemur_simus ENSPSMG00000025608
propithecus_coquereli ENSPCOG00000024137
microcebus_murinus ENSMICG00000003050
otolemur_garnettii ENSOGAG00000016324
gorilla_gorilla ENSGGOG00000026795
homo_sapiens ENSG00000152049
pan_paniscus ENSPPAG00000033840
pan_troglodytes ENSPTRG00000012977
pongo_abelii ENSPPYG00000013224
nomascus_leucogenys ENSNLEG00000029857
rhinopithecus_bieti ENSRBIG00000033508
rhinopithecus_roxellana ENSRROG00000038272
colobus_angolensis_palliatus ENSCANG00000040230
piliocolobus_tephrosceles ENSPTEG00000039585
theropithecus_gelada ENSTGEG00000014230
chlorocebus_sabaeus ENSCSAG00000018781
macaca_mulatta ENSMMUG00000001102
macaca_fascicularis ENSMFAG00000003011
macaca_nemestrina ENSMNEG00000026632
papio_anubis ENSPANG00000004408
cercocebus_atys ENSCATG00000032630
mandrillus_leucophaeus ENSMLEG00000005889
cebus_capucinus_imitator ENSCCAG00000021872
saimiri_boliviensis_boliviensis ENSSBOG00000026207
callithrix_jacchus ENSCJAG00000012344
aotus_nancymaae ENSANAG00000029877
sorex_araneus ENSSARG00000013326
erinaceus_europaeus ENSEEUG00000006538
carlito_syrichta ENSTSYG00000003144
procavia_capensis ENSPCAG00000005423
echinops_telfairi ENSETEG00000008229
bos_mutus ENSBMUG00000005282
bos_taurus ENSBTAG00000006432
bison_bison_bison ENSBBBG00000023154
capra_hircus ENSCHIG00000009781
tursiops_truncatus ENSTTRG00000010155
sus_scrofa ENSSSCG00000038149
vicugna_pacos ENSVPAG00000006851
equus_asinus_asinus ENSEASG00005011293
mustela_putorius_furo ENSMPUG00000020099
neovison_vison ENSNVIG00000000499
ailuropoda_melanoleuca ENSAMEG00000018603
canis_lupus_familiaris ENSCAFG00000023427
panthera_tigris_altaica ENSPTIG00000006971
panthera_pardus ENSPPRG00000012191
pteropus_vampyrus ENSPVAG00000011880
peromyscus_maniculatus_bairdii ENSPEMG00000028440
microtus_ochrogaster ENSMOCG00000000450
cricetulus_griseus_crigri-picr ENSCGRG00015006272
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001021806
cricetulus_griseus_crigri_1.0 ENSCGRG00000000108
mesocricetus_auratus ENSMAUG00000020677
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000047330
mus_spicilegus ENSMSIG00000016884
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015120
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014314
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027552
rattus_norvegicus ENSRNOG00000048478
nannospalax_galili ENSNGAG00000021972
jaculus_jaculus ENSJJAG00000015276
dipodomys_ordii ENSDORG00000001671
castor_canadensis ENSCCNG00000000121
urocitellus_parryii ENSUPAG00010013818
marmota_marmota_marmota ENSMMMG00000021118
spermophilus_dauricus ENSSDAG00000018159
ictidomys_tridecemlineatus ENSSTOG00000010997
oryctolagus_cuniculus ENSOCUG00000005456
ochotona_princeps ENSOPRG00000005725
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100013107
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000015794
fukomys_damarensis ENSFDAG00000013462
octodon_degus ENSODEG00000005263
cavia_porcellus ENSCPOG00000039960
chinchilla_lanigera ENSCLAG00000010941
tupaia_belangeri ENSTBEG00000006546
vulpes_vulpes ENSVVUG00000023985
canis_lupus_dingo ENSCAFG00020026653
ursus_americanus ENSUAMG00000025858
ursus_maritimus ENSUMAG00000017967
felis_catus ENSFCAG00000011811
meriones_unguiculatus ENSMUGG00000000717
meriones_unguiculatus ENSMUGG00000000707
loxodonta_africana ENSLAFG00000032006
dasypus_novemcinctus ENSDNOG00000005495
choloepus_hoffmanni ENSCHOG00000004693
notamacropus_eugenii ENSMEUG00000003893
phascolarctos_cinereus ENSPCIG00000019437
sarcophilus_harrisii ENSSHAG00000014353
monodelphis_domestica ENSMODG00000021196
ornithorhynchus_anatinus ENSOANG00000013597
latimeria_chalumnae ENSLACG00000003801
