macaca_fascicularis ENSMFAG00000002395
macaca_mulatta ENSMMUG00000046627
macaca_nemestrina ENSMNEG00000015270
papio_anubis ENSPANG00000030291
cercocebus_atys ENSCATG00000030250
mandrillus_leucophaeus ENSMLEG00000032051
rhinopithecus_bieti ENSRBIG00000034605
rhinopithecus_roxellana ENSRROG00000033122
pan_paniscus ENSPPAG00000017035
pan_troglodytes ENSPTRG00000052105
nomascus_leucogenys ENSNLEG00000030579
prolemur_simus ENSPSMG00000004105
spermophilus_dauricus ENSSDAG00000018228
urocitellus_parryii ENSUPAG00010015544
marmota_marmota_marmota ENSMMMG00000020939
equus_caballus ENSECAG00000034065
equus_asinus_asinus ENSEASG00005016470
