caenorhabditis_elegans_strain_n2 WBGene00022420
drosophila_melanogaster FBgn0029857
gopherus_agassizii ENSGAGG00000008043
chrysemys_picta_bellii ENSCPBG00000012943
pelodiscus_sinensis ENSPSIG00000017237
crocodylus_porosus ENSCPRG00005016385
anolis_carolinensis ENSACAG00000002741
pogona_vitticeps ENSPVIG00000020374
notechis_scutatus ENSNSUG00000007453
salvator_merianae ENSSMRG00000022915
sphenodon_punctatus ENSSPUG00000017631
manacus_vitellinus ENSMVIG00005006792
lepidothrix_coronata ENSLCOG00000002263
lonchura_striata_domestica ENSLSDG00000015700
taeniopygia_guttata ENSTGUG00000005733
serinus_canaria ENSSCAG00000011104
cyanistes_caeruleus ENSCCEG00000017171
parus_major ENSPMJG00000010640
ficedula_albicollis ENSFALG00000001970
junco_hyemalis ENSJHYG00000013755
zonotrichia_albicollis ENSZALG00000002400
melopsittacus_undulatus ENSMUNG00000009095
calidris_pugnax ENSCPUG00000012255
calidris_pygmaea ENSCPGG00000010360
anser_brachyrhynchus ENSABRG00000015048
anas_platyrhynchos_platyrhynchos ENSAPLG00000007171
meleagris_gallopavo ENSMGAG00000014580
gallus_gallus ENSGALG00000016187
coturnix_japonica ENSCJPG00005008712
numida_meleagris ENSNMEG00000012995
apteryx_owenii ENSAOWG00000014313
apteryx_rowi ENSARWG00000017789
apteryx_haastii ENSAHAG00000001881
dromaius_novaehollandiae ENSDNVG00000006112
nothoprocta_perdicaria ENSNPEG00000009489
phascolarctos_cinereus ENSPCIG00000002223
sarcophilus_harrisii ENSSHAG00000016450
monodelphis_domestica ENSMODG00000021024
capra_hircus ENSCHIG00000022834
ovis_aries ENSOARG00000010926
bos_taurus ENSBTAG00000021490
bos_mutus ENSBMUG00000012436
bison_bison_bison ENSBBBG00000014454
tursiops_truncatus ENSTTRG00000009683
sus_scrofa ENSSSCG00000023078
equus_asinus_asinus ENSEASG00005003766
equus_caballus ENSECAG00000019212
myotis_lucifugus ENSMLUG00000004898
pteropus_vampyrus ENSPVAG00000003609
ursus_maritimus ENSUMAG00000025539
ursus_americanus ENSUAMG00000000715
ailuropoda_melanoleuca ENSAMEG00000001823
neovison_vison ENSNVIG00000006026
mustela_putorius_furo ENSMPUG00000009605
canis_lupus_familiaris ENSCAFG00000010500
canis_lupus_dingo ENSCAFG00020018728
vulpes_vulpes ENSVVUG00000017084
panthera_pardus ENSPPRG00000008824
panthera_tigris_altaica ENSPTIG00000006119
felis_catus ENSFCAG00000003966
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000024037
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022282
mus_spicilegus ENSMSIG00000011888
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021368
rattus_norvegicus ENSRNOG00000001181
meriones_unguiculatus ENSMUGG00000008049
cricetulus_griseus_crigri-picr ENSCGRG00015022877
cricetulus_griseus_crigri_1.0 ENSCGRG00000009124
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018232
mesocricetus_auratus ENSMAUG00000020696
microtus_ochrogaster ENSMOCG00000022127
peromyscus_maniculatus_bairdii ENSPEMG00000022550
nannospalax_galili ENSNGAG00000017117
jaculus_jaculus ENSJJAG00000016232
castor_canadensis ENSCCNG00000020893
dipodomys_ordii ENSDORG00000002150
urocitellus_parryii ENSUPAG00010003363
ictidomys_tridecemlineatus ENSSTOG00000000442
spermophilus_dauricus ENSSDAG00000020558
marmota_marmota_marmota ENSMMMG00000011036
chinchilla_lanigera ENSCLAG00000004584
octodon_degus ENSODEG00000012553
cavia_aperea ENSCAPG00000005975
cavia_porcellus ENSCPOG00000037037
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100010129
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017900
fukomys_damarensis ENSFDAG00000007546
oryctolagus_cuniculus ENSOCUG00000023366
pan_troglodytes ENSPTRG00000013948
pan_paniscus ENSPPAG00000038150
gorilla_gorilla ENSGGOG00000016652
homo_sapiens ENSG00000160193
pongo_abelii ENSPPYG00000011458
nomascus_leucogenys ENSNLEG00000014641
theropithecus_gelada ENSTGEG00000020585
cercocebus_atys ENSCATG00000042955
papio_anubis ENSPANG00000006022
mandrillus_leucophaeus ENSMLEG00000042177
macaca_fascicularis ENSMFAG00000045992
macaca_nemestrina ENSMNEG00000033682
macaca_mulatta ENSMMUG00000038918
chlorocebus_sabaeus ENSCSAG00000008058
piliocolobus_tephrosceles ENSPTEG00000013856
colobus_angolensis_palliatus ENSCANG00000041641
rhinopithecus_roxellana ENSRROG00000040334
rhinopithecus_bieti ENSRBIG00000044014
cebus_capucinus_imitator ENSCCAG00000022755
callithrix_jacchus ENSCJAG00000015778
saimiri_boliviensis_boliviensis ENSSBOG00000026351
aotus_nancymaae ENSANAG00000026274
carlito_syrichta ENSTSYG00000000062
prolemur_simus ENSPSMG00000019685
microcebus_murinus ENSMICG00000042106
propithecus_coquereli ENSPCOG00000025182
otolemur_garnettii ENSOGAG00000003658
tupaia_belangeri ENSTBEG00000003492
dasypus_novemcinctus ENSDNOG00000041061
loxodonta_africana ENSLAFG00000021675
procavia_capensis ENSPCAG00000013665
echinops_telfairi ENSETEG00000003645
ornithorhynchus_anatinus ENSOANG00000006459
latimeria_chalumnae ENSLACG00000009655
takifugu_rubripes ENSTRUG00000002237
tetraodon_nigroviridis ENSTNIG00000004246
mola_mola ENSMMOG00000019172
labrus_bergylta ENSLBEG00000021605
labrus_bergylta ENSLBEG00000014867
gasterosteus_aculeatus ENSGACG00000001454
monopterus_albus ENSMALG00000009493
mastacembelus_armatus ENSMAMG00000007247
anabas_testudineus ENSATEG00000005195
scophthalmus_maximus ENSSMAG00000017602
cynoglossus_semilaevis ENSCSEG00000019607
seriola_dumerili ENSSDUG00000000378
seriola_lalandi_dorsalis ENSSLDG00000002222
xiphophorus_couchianus ENSXCOG00000009352
xiphophorus_maculatus ENSXMAG00000009462
gambusia_affinis ENSGAFG00000020553
poecilia_mexicana ENSPMEG00000018112
poecilia_formosa ENSPFOG00000017307
poecilia_latipinna ENSPLAG00000014595
poecilia_reticulata ENSPREG00000015608
cyprinodon_variegatus ENSCVAG00000010215
kryptolebias_marmoratus ENSKMAG00000002952
oryzias_latipes_asm223469v1 ENSORLG00015004330
oryzias_latipes_asm223467v1 ENSORLG00000020836
oryzias_latipes_asm223471v1 ENSORLG00020007031
oryzias_melastigma ENSOMEG00000016985
maylandia_zebra ENSMZEG00005013711
astatotilapia_calliptera ENSACLG00000006132
pundamilia_nyererei ENSPNYG00000022779
haplochromis_burtoni ENSHBUG00000020935
oreochromis_niloticus ENSONIG00000017415
neolamprologus_brichardi ENSNBRG00000006419
amphiprion_ocellaris ENSAOCG00000010784
