apteryx_owenii ENSAOWG00000011895
apteryx_rowi ENSARWG00000011892
apteryx_haastii ENSAHAG00000002895
crocodylus_porosus ENSCPRG00005005456
gopherus_agassizii ENSGAGG00000016990
chelonoidis_abingdonii ENSCABG00000003177
pogona_vitticeps ENSPVIG00000000894
salvator_merianae ENSSMRG00000013577
notamacropus_eugenii ENSMEUG00000012744
phascolarctos_cinereus ENSPCIG00000012804
monodelphis_domestica ENSMODG00000029529
phascolarctos_cinereus ENSPCIG00000012803
notamacropus_eugenii ENSMEUG00000012725
monodelphis_domestica ENSMODG00000015091
sorex_araneus ENSSARG00000005009
erinaceus_europaeus ENSEEUG00000003820
equus_caballus ENSECAG00000022119
equus_asinus_asinus ENSEASG00005008541
ursus_americanus ENSUAMG00000007407
ursus_maritimus ENSUMAG00000006332
ailuropoda_melanoleuca ENSAMEG00000004877
mustela_putorius_furo ENSMPUG00000006404
neovison_vison ENSNVIG00000000204
canis_lupus_familiaris ENSCAFG00000001644
canis_lupus_dingo ENSCAFG00020021654
vulpes_vulpes ENSVVUG00000010383
panthera_tigris_altaica ENSPTIG00000017013
panthera_pardus ENSPPRG00000003211
felis_catus ENSFCAG00000008096
capra_hircus ENSCHIG00000023839
ovis_aries ENSOARG00000003014
bos_mutus ENSBMUG00000022914
bos_taurus ENSBTAG00000009867
bison_bison_bison ENSBBBG00000013746
tursiops_truncatus ENSTTRG00000014602
sus_scrofa ENSSSCG00000016582
vicugna_pacos ENSVPAG00000005076
pteropus_vampyrus ENSPVAG00000006632
myotis_lucifugus ENSMLUG00000026420
papio_anubis ENSPANG00000021952
myotis_lucifugus ENSMLUG00000001301
castor_canadensis ENSCCNG00000030208
dipodomys_ordii ENSDORG00000007174
cricetulus_griseus_crigri_1.0 ENSCGRG00000010330
cricetulus_griseus_crigri-picr ENSCGRG00015025832
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001009768
mesocricetus_auratus ENSMAUG00000006473
microtus_ochrogaster ENSMOCG00000017381
peromyscus_maniculatus_bairdii ENSPEMG00000020844
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000039742
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029167
mus_spicilegus ENSMSIG00000024512
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028167
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021925
rattus_norvegicus ENSRNOG00000006132
meriones_unguiculatus ENSMUGG00000024819
nannospalax_galili ENSNGAG00000007899
jaculus_jaculus ENSJJAG00000011943
urocitellus_parryii ENSUPAG00010001974
spermophilus_dauricus ENSSDAG00000002871
ictidomys_tridecemlineatus ENSSTOG00000026261
marmota_marmota_marmota ENSMMMG00000015890
cavia_porcellus ENSCPOG00000003688
cavia_aperea ENSCAPG00000010382
octodon_degus ENSODEG00000011956
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014946
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100011297
fukomys_damarensis ENSFDAG00000011218
chinchilla_lanigera ENSCLAG00000005300
oryctolagus_cuniculus ENSOCUG00000008160
ochotona_princeps ENSOPRG00000015209
microcebus_murinus ENSMICG00000036122
propithecus_coquereli ENSPCOG00000019037
prolemur_simus ENSPSMG00000011971
otolemur_garnettii ENSOGAG00000009808
pan_paniscus ENSPPAG00000041706
pan_troglodytes ENSPTRG00000019667
gorilla_gorilla ENSGGOG00000004895
homo_sapiens ENSG00000135248
pongo_abelii ENSPPYG00000017981
nomascus_leucogenys ENSNLEG00000012374
macaca_nemestrina ENSMNEG00000028954
macaca_fascicularis ENSMFAG00000000842
mandrillus_leucophaeus ENSMLEG00000036468
theropithecus_gelada ENSTGEG00000020996
macaca_mulatta ENSMMUG00000009612
cercocebus_atys ENSCATG00000040551
chlorocebus_sabaeus ENSCSAG00000010065
colobus_angolensis_palliatus ENSCANG00000031975
piliocolobus_tephrosceles ENSPTEG00000029515
rhinopithecus_bieti ENSRBIG00000030558
rhinopithecus_roxellana ENSRROG00000045564
saimiri_boliviensis_boliviensis ENSSBOG00000031604
cebus_capucinus_imitator ENSCCAG00000032023
callithrix_jacchus ENSCJAG00000017818
aotus_nancymaae ENSANAG00000027825
carlito_syrichta ENSTSYG00000012829
loxodonta_africana ENSLAFG00000003795
procavia_capensis ENSPCAG00000012432
echinops_telfairi ENSETEG00000001871
choloepus_hoffmanni ENSCHOG00000008168
tupaia_belangeri ENSTBEG00000003158
ornithorhynchus_anatinus ENSOANG00000031572
