canis_lupus_familiaris ENSCAFG00000004028
canis_lupus_dingo ENSCAFG00020014507
ailuropoda_melanoleuca ENSAMEG00000019479
equus_caballus ENSECAG00000034045
equus_asinus_asinus ENSEASG00005007796
felis_catus ENSFCAG00000046511
panthera_pardus ENSPPRG00000012774
capra_hircus ENSCHIG00000005171
bos_taurus ENSBTAG00000051575
sus_scrofa ENSSSCG00000003884
prolemur_simus ENSPSMG00000012832
propithecus_coquereli ENSPCOG00000005648
microcebus_murinus ENSMICG00000029422
theropithecus_gelada ENSTGEG00000002535
chlorocebus_sabaeus ENSCSAG00000000143
cercocebus_atys ENSCATG00000043314
papio_anubis ENSPANG00000011983
macaca_nemestrina ENSMNEG00000009558
piliocolobus_tephrosceles ENSPTEG00000038182
pan_troglodytes ENSPTRG00000030618
homo_sapiens ENSG00000186790
cebus_capucinus_imitator ENSCCAG00000018685
callithrix_jacchus ENSCJAG00000038878
aotus_nancymaae ENSANAG00000019840
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027273
mus_spicilegus ENSMSIG00000032117
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000044518
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026301
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028635
rattus_norvegicus ENSRNOG00000007770
meriones_unguiculatus ENSMUGG00000016649
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001005301
cricetulus_griseus_crigri-picr ENSCGRG00015023304
mesocricetus_auratus ENSMAUG00000010093
microtus_ochrogaster ENSMOCG00000008738
peromyscus_maniculatus_bairdii ENSPEMG00000025577
nannospalax_galili ENSNGAG00000016532
castor_canadensis ENSCCNG00000021960
urocitellus_parryii ENSUPAG00010016452
ictidomys_tridecemlineatus ENSSTOG00000033171
