poecilia_latipinna ENSPLAG00000023410
poecilia_mexicana ENSPMEG00000003469
fundulus_heteroclitus ENSFHEG00000013545
oryzias_latipes_asm223469v1 ENSORLG00015001964
oryzias_latipes_asm223467v1 ENSORLG00000030018
oryzias_latipes_asm223471v1 ENSORLG00020006895
oreochromis_niloticus ENSONIG00000021134
amphiprion_ocellaris ENSAOCG00000013446
amphiprion_percula ENSAPEG00000001390
acanthochromis_polyacanthus ENSAPOG00000002262
stegastes_partitus ENSSPAG00000002328
anabas_testudineus ENSATEG00000024520
mastacembelus_armatus ENSMAMG00000005422
scophthalmus_maximus ENSSMAG00000019005
takifugu_rubripes ENSTRUG00000025088
astyanax_mexicanus ENSAMXG00000039995
