pan_paniscus ENSPPAG00000013101
pan_troglodytes ENSPTRG00000051753
gorilla_gorilla ENSGGOG00000040366
macaca_nemestrina ENSMNEG00000040819
macaca_fascicularis ENSMFAG00000045326
macaca_mulatta ENSMMUG00000041355
papio_anubis ENSPANG00000032140
theropithecus_gelada ENSTGEG00000010605
cercocebus_atys ENSCATG00000014453
mandrillus_leucophaeus ENSMLEG00000039825
rhinopithecus_roxellana ENSRROG00000023844
rhinopithecus_bieti ENSRBIG00000036487
colobus_angolensis_palliatus ENSCANG00000039845
piliocolobus_tephrosceles ENSPTEG00000038523
saimiri_boliviensis_boliviensis ENSSBOG00000028958
callithrix_jacchus ENSCJAG00000040564
cebus_capucinus_imitator ENSCCAG00000020807
aotus_nancymaae ENSANAG00000024657
