theropithecus_gelada ENSTGEG00000028929
papio_anubis ENSPANG00000030806
macaca_mulatta ENSMMUG00000041491
piliocolobus_tephrosceles ENSPTEG00000032347
nomascus_leucogenys ENSNLEG00000034205
callithrix_jacchus ENSCJAG00000044511
saimiri_boliviensis_boliviensis ENSSBOG00000029028
prolemur_simus ENSPSMG00000007573
urocitellus_parryii ENSUPAG00010004518
spermophilus_dauricus ENSSDAG00000013733
marmota_marmota_marmota ENSMMMG00000007241
mus_spicilegus ENSMSIG00000030631
ursus_americanus ENSUAMG00000003783
ursus_maritimus ENSUMAG00000007919
neovison_vison ENSNVIG00000011013
capra_hircus ENSCHIG00000024778
capra_hircus ENSCHIG00000017891
