theropithecus_gelada ENSTGEG00000007664
piliocolobus_tephrosceles ENSPTEG00000030927
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031085
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029975
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0013195
meriones_unguiculatus ENSMUGG00000003243
peromyscus_maniculatus_bairdii ENSPEMG00000027884
ursus_americanus ENSUAMG00000008891
canis_lupus_dingo ENSCAFG00020017269
felis_catus ENSFCAG00000046349
equus_asinus_asinus ENSEASG00005012668
equus_caballus ENSECAG00000027950
