equus_caballus ENSECAG00000021759
equus_asinus_asinus ENSEASG00005010564
neovison_vison ENSNVIG00000022958
saimiri_boliviensis_boliviensis ENSSBOG00000032225
cebus_capucinus_imitator ENSCCAG00000029575
callithrix_jacchus ENSCJAG00000020014
aotus_nancymaae ENSANAG00000033323
loxodonta_africana ENSLAFG00000013699
jaculus_jaculus ENSJJAG00000019195
felis_catus ENSFCAG00000011817
ailuropoda_melanoleuca ENSAMEG00000004256
tursiops_truncatus ENSTTRG00000003696
sus_scrofa ENSSSCG00000017317
bos_taurus ENSBTAG00000016012
bos_mutus ENSBMUG00000001560
bison_bison_bison ENSBBBG00000005449
myotis_lucifugus ENSMLUG00000030546
sorex_araneus ENSSARG00000009147
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000008511
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100012089
fukomys_damarensis ENSFDAG00000012189
cavia_porcellus ENSCPOG00000009410
tupaia_belangeri ENSTBEG00000001411
castor_canadensis ENSCCNG00000031736
dipodomys_ordii ENSDORG00000027560
octodon_degus ENSODEG00000007157
urocitellus_parryii ENSUPAG00010000653
ictidomys_tridecemlineatus ENSSTOG00000020493
marmota_marmota_marmota ENSMMMG00000020658
nannospalax_galili ENSNGAG00000019513
propithecus_coquereli ENSPCOG00000024231
prolemur_simus ENSPSMG00000007829
pan_troglodytes ENSPTRG00000009321
pan_paniscus ENSPPAG00000037563
homo_sapiens ENSG00000108379
nomascus_leucogenys ENSNLEG00000004909
pongo_abelii ENSPPYG00000008292
cercocebus_atys ENSCATG00000031156
papio_anubis ENSPANG00000021204
macaca_fascicularis ENSMFAG00000030050
macaca_mulatta ENSMMUG00000020809
macaca_nemestrina ENSMNEG00000044261
theropithecus_gelada ENSTGEG00000018820
mandrillus_leucophaeus ENSMLEG00000043960
rhinopithecus_bieti ENSRBIG00000010604
rhinopithecus_roxellana ENSRROG00000038355
piliocolobus_tephrosceles ENSPTEG00000022807
colobus_angolensis_palliatus ENSCANG00000028635
erinaceus_europaeus ENSEEUG00000009001
panthera_pardus ENSPPRG00000006101
panthera_pardus ENSPPRG00000006157
vulpes_vulpes ENSVVUG00000005141
pteropus_vampyrus ENSPVAG00000002387
ovis_aries ENSOARG00000010874
otolemur_garnettii ENSOGAG00000006119
cavia_aperea ENSCAPG00000014930
mus_spicilegus ENSMSIG00000027382
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000000125
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018129
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017286
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018416
rattus_norvegicus ENSRNOG00000003845
meriones_unguiculatus ENSMUGG00000002984
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001022365
cricetulus_griseus_crigri-picr ENSCGRG00015024492
cricetulus_griseus_crigri_1.0 ENSCGRG00000000535
mesocricetus_auratus ENSMAUG00000018292
peromyscus_maniculatus_bairdii ENSPEMG00000011889
microtus_ochrogaster ENSMOCG00000016781
oryctolagus_cuniculus ENSOCUG00000014805
gorilla_gorilla ENSGGOG00000007186
pan_troglodytes ENSPTRG00000046218
chlorocebus_sabaeus ENSCSAG00000003760
microcebus_murinus ENSMICG00000038322
ursus_americanus ENSUAMG00000027269
mustela_putorius_furo ENSMPUG00000008242
capra_hircus ENSCHIG00000018818
ochotona_princeps ENSOPRG00000006896
echinops_telfairi ENSETEG00000005881
dasypus_novemcinctus ENSDNOG00000036708
notamacropus_eugenii ENSMEUG00000002292
phascolarctos_cinereus ENSPCIG00000019631
sarcophilus_harrisii ENSSHAG00000014720
monodelphis_domestica ENSMODG00000011045
apteryx_haastii ENSAHAG00000016178
apteryx_owenii ENSAOWG00000009883
apteryx_rowi ENSARWG00000017541
nothoprocta_perdicaria ENSNPEG00000013956
gallus_gallus ENSGALG00000001079
coturnix_japonica ENSCJPG00005019001
meleagris_gallopavo ENSMGAG00000000740
numida_meleagris ENSNMEG00000004258
anser_brachyrhynchus ENSABRG00000013420
lonchura_striata_domestica ENSLSDG00000006886
lepidothrix_coronata ENSLCOG00000002388
melopsittacus_undulatus ENSMUNG00000009956
cyanistes_caeruleus ENSCCEG00000022084
parus_major ENSPMJG00000002997
calidris_pugnax ENSCPUG00000011079
dromaius_novaehollandiae ENSDNVG00000004496
crocodylus_porosus ENSCPRG00005001110
chelonoidis_abingdonii ENSCABG00000002517
chrysemys_picta_bellii ENSCPBG00000018551
anolis_carolinensis ENSACAG00000016642
pogona_vitticeps ENSPVIG00000018770
notechis_scutatus ENSNSUG00000010197
sphenodon_punctatus ENSSPUG00000010921
serinus_canaria ENSSCAG00000008640
zonotrichia_albicollis ENSZALG00000017306
calidris_pugnax ENSCPUG00000011080
panthera_tigris_altaica ENSPTIG00000021957
canis_lupus_dingo ENSCAFG00020026855
carlito_syrichta ENSTSYG00000033097
chinchilla_lanigera ENSCLAG00000010423
procavia_capensis ENSPCAG00000011566
taeniopygia_guttata ENSTGUG00000002021
junco_hyemalis ENSJHYG00000007588
anas_platyrhynchos_platyrhynchos ENSAPLG00000018120
canis_lupus_familiaris ENSCAFG00000013442
canis_lupus_dingo ENSCAFG00020026856
ursus_maritimus ENSUMAG00000015463
spermophilus_dauricus ENSSDAG00000013713
salvator_merianae ENSSMRG00000007358
manacus_vitellinus ENSMVIG00005004441
ficedula_albicollis ENSFALG00000007586
