cricetulus_griseus_crigri-picr ENSCGRG00015027507
cricetulus_griseus_crigri_1.0 ENSCGRG00000004622
mesocricetus_auratus ENSMAUG00000014234
peromyscus_maniculatus_bairdii ENSPEMG00000015603
nannospalax_galili ENSNGAG00000008851
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026526
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000080907
mus_spicilegus ENSMSIG00000006399
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025576
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027022
meriones_unguiculatus ENSMUGG00000017131
ictidomys_tridecemlineatus ENSSTOG00000032342
