ailuropoda_melanoleuca ENSAMEG00000020041
ursus_maritimus ENSUMAG00000016951
neovison_vison ENSNVIG00000004311
mustela_putorius_furo ENSMPUG00000019836
canis_lupus_dingo ENSCAFG00020009636
canis_lupus_familiaris ENSCAFG00000007769
vulpes_vulpes ENSVVUG00000025274
felis_catus ENSFCAG00000033975
panthera_pardus ENSPPRG00000005405
bison_bison_bison ENSBBBG00000001594
bos_mutus ENSBMUG00000000360
bos_taurus ENSBTAG00000054685
ovis_aries ENSOARG00000019865
capra_hircus ENSCHIG00000022781
myotis_lucifugus ENSMLUG00000023649
equus_caballus ENSECAG00000037213
equus_caballus ENSECAG00000033041
equus_asinus_asinus ENSEASG00005017315
theropithecus_gelada ENSTGEG00000013098
piliocolobus_tephrosceles ENSPTEG00000019029
prolemur_simus ENSPSMG00000005667
cricetulus_griseus_crigri-picr ENSCGRG00015007480
cricetulus_griseus_crigri_1.0 ENSCGRG00000019426
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001001360
mesocricetus_auratus ENSMAUG00000010892
peromyscus_maniculatus_bairdii ENSPEMG00000025291
spermophilus_dauricus ENSSDAG00000010215
loxodonta_africana ENSLAFG00000031611
loxodonta_africana ENSLAFG00000025686
loxodonta_africana ENSLAFG00000032300
procavia_capensis ENSPCAG00000002302
dasypus_novemcinctus ENSDNOG00000043823
