heterocephalus_glaber_hetgla_1.0 ENSHGLG00100021045
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000005705
fukomys_damarensis ENSFDAG00000020228
chinchilla_lanigera ENSCLAG00000007370
octodon_degus ENSODEG00000011551
cavia_porcellus ENSCPOG00000035070
cavia_aperea ENSCAPG00000000943
urocitellus_parryii ENSUPAG00010002352
ictidomys_tridecemlineatus ENSSTOG00000008439
marmota_marmota_marmota ENSMMMG00000017290
tetraodon_nigroviridis ENSTNIG00000005412
takifugu_rubripes ENSTRUG00000007948
labrus_bergylta ENSLBEG00000027940
mola_mola ENSMMOG00000002773
gasterosteus_aculeatus ENSGACG00000019340
poecilia_formosa ENSPFOG00000005076
poecilia_latipinna ENSPLAG00000007130
poecilia_mexicana ENSPMEG00000004544
poecilia_reticulata ENSPREG00000016896
gambusia_affinis ENSGAFG00000020013
poecilia_latipinna ENSPLAG00000019270
xiphophorus_maculatus ENSXMAG00000023984
fundulus_heteroclitus ENSFHEG00000015147
kryptolebias_marmoratus ENSKMAG00000010556
oryzias_latipes_asm223467v1 ENSORLG00000011953
oryzias_latipes_asm223471v1 ENSORLG00020001356
oryzias_latipes_asm223469v1 ENSORLG00015021490
oryzias_melastigma ENSOMEG00000016562
haplochromis_burtoni ENSHBUG00000003141
pundamilia_nyererei ENSPNYG00000020248
astatotilapia_calliptera ENSACLG00000013764
maylandia_zebra ENSMZEG00005028581
maylandia_zebra ENSMZEG00005007735
oreochromis_niloticus ENSONIG00000011989
neolamprologus_brichardi ENSNBRG00000019322
amphiprion_percula ENSAPEG00000023318
amphiprion_ocellaris ENSAOCG00000020807
acanthochromis_polyacanthus ENSAPOG00000013067
stegastes_partitus ENSSPAG00000023307
cynoglossus_semilaevis ENSCSEG00000003149
mastacembelus_armatus ENSMAMG00000023351
monopterus_albus ENSMALG00000014060
anabas_testudineus ENSATEG00000023620
seriola_lalandi_dorsalis ENSSLDG00000013772
seriola_dumerili ENSSDUG00000019387
scophthalmus_maximus ENSSMAG00000015693
amphilophus_citrinellus ENSACIG00000020730
hippocampus_comes ENSHCOG00000010377
periophthalmus_magnuspinnatus ENSPMGG00000015776
gadus_morhua ENSGMOG00000014443
esox_lucius ENSELUG00000005547
astyanax_mexicanus ENSAMXG00000018186
pygocentrus_nattereri ENSPNAG00000001433
ictalurus_punctatus ENSIPUG00000020933
danio_rerio ENSDARG00000034375
scleropages_formosus ENSSFOG00015022287
paramormyrops_kingsleyae ENSPKIG00000016614
lepisosteus_oculatus ENSLOCG00000015041
mus_spicilegus ENSMSIG00000001727
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016486
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000034612
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015667
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031417
rattus_norvegicus ENSRNOG00000008885
meriones_unguiculatus ENSMUGG00000020189
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011741
cricetulus_griseus_crigri-picr ENSCGRG00015012787
cricetulus_griseus_crigri_1.0 ENSCGRG00000016623
mesocricetus_auratus ENSMAUG00000015918
peromyscus_maniculatus_bairdii ENSPEMG00000024030
microtus_ochrogaster ENSMOCG00000000357
nannospalax_galili ENSNGAG00000017327
jaculus_jaculus ENSJJAG00000021100
ochotona_princeps ENSOPRG00000009043
oryctolagus_cuniculus ENSOCUG00000005141
carlito_syrichta ENSTSYG00000037410
equus_asinus_asinus ENSEASG00005020853
equus_caballus ENSECAG00000019904
pteropus_vampyrus ENSPVAG00000013274
myotis_lucifugus ENSMLUG00000001989
bos_mutus ENSBMUG00000007641
bos_taurus ENSBTAG00000010644
bison_bison_bison ENSBBBG00000016338
capra_hircus ENSCHIG00000015554
ovis_aries ENSOARG00000016886
vicugna_pacos ENSVPAG00000010972
tursiops_truncatus ENSTTRG00000005379
tursiops_truncatus ENSTTRG00000009590
sus_scrofa ENSSSCG00000000837
microcebus_murinus ENSMICG00000046027
prolemur_simus ENSPSMG00000011305
propithecus_coquereli ENSPCOG00000025323
otolemur_garnettii ENSOGAG00000010072
saimiri_boliviensis_boliviensis ENSSBOG00000031824
cebus_capucinus_imitator ENSCCAG00000024996
callithrix_jacchus ENSCJAG00000014697
aotus_nancymaae ENSANAG00000025098
colobus_angolensis_palliatus ENSCANG00000038746
piliocolobus_tephrosceles ENSPTEG00000016291
rhinopithecus_roxellana ENSRROG00000042050
rhinopithecus_bieti ENSRBIG00000029044
mandrillus_leucophaeus ENSMLEG00000032011
chlorocebus_sabaeus ENSCSAG00000002999
theropithecus_gelada ENSTGEG00000010536
papio_anubis ENSPANG00000012280
macaca_fascicularis ENSMFAG00000040754
macaca_nemestrina ENSMNEG00000032789
macaca_mulatta ENSMMUG00000017127
cercocebus_atys ENSCATG00000015520
pan_troglodytes ENSPTRG00000044821
pan_paniscus ENSPPAG00000030034
homo_sapiens ENSG00000171310
gorilla_gorilla ENSGGOG00000016823
pongo_abelii ENSPPYG00000004894
nomascus_leucogenys ENSNLEG00000006580
tupaia_belangeri ENSTBEG00000014420
loxodonta_africana ENSLAFG00000002524
dasypus_novemcinctus ENSDNOG00000046711
castor_canadensis ENSCCNG00000019466
dipodomys_ordii ENSDORG00000013660
phascolarctos_cinereus ENSPCIG00000025306
notamacropus_eugenii ENSMEUG00000011029
monodelphis_domestica ENSMODG00000002117
sarcophilus_harrisii ENSSHAG00000006402
chrysemys_picta_bellii ENSCPBG00000023228
chelonoidis_abingdonii ENSCABG00000003551
gopherus_agassizii ENSGAGG00000007171
pelodiscus_sinensis ENSPSIG00000017178
sphenodon_punctatus ENSSPUG00000004125
notechis_scutatus ENSNSUG00000013283
pogona_vitticeps ENSPVIG00000014444
anolis_carolinensis ENSACAG00000015912
salvator_merianae ENSSMRG00000015908
crocodylus_porosus ENSCPRG00005018308
anser_brachyrhynchus ENSABRG00000004956
anas_platyrhynchos_platyrhynchos ENSAPLG00000007984
gallus_gallus ENSGALG00000030607
meleagris_gallopavo ENSMGAG00000012954
coturnix_japonica ENSCJPG00005018298
numida_meleagris ENSNMEG00000011985
manacus_vitellinus ENSMVIG00005017709
lepidothrix_coronata ENSLCOG00000009272
parus_major ENSPMJG00000008776
cyanistes_caeruleus ENSCCEG00000008312
lonchura_striata_domestica ENSLSDG00000014725
taeniopygia_guttata ENSTGUG00000011133
junco_hyemalis ENSJHYG00000008170
zonotrichia_albicollis ENSZALG00000001544
