seriola_lalandi_dorsalis ENSSLDG00000003323
seriola_dumerili ENSSDUG00000004470
scophthalmus_maximus ENSSMAG00000002699
gasterosteus_aculeatus ENSGACG00000009382
mola_mola ENSMMOG00000008874
mastacembelus_armatus ENSMAMG00000022365
mastacembelus_armatus ENSMAMG00000022367
monopterus_albus ENSMALG00000016523
anabas_testudineus ENSATEG00000011460
anabas_testudineus ENSATEG00000011560
anabas_testudineus ENSATEG00000011607
labrus_bergylta ENSLBEG00000024088
poecilia_formosa ENSPFOG00000022043
poecilia_mexicana ENSPMEG00000018728
poecilia_latipinna ENSPLAG00000015503
poecilia_reticulata ENSPREG00000005909
xiphophorus_maculatus ENSXMAG00000005461
xiphophorus_couchianus ENSXCOG00000003189
gambusia_affinis ENSGAFG00000015897
fundulus_heteroclitus ENSFHEG00000003758
cyprinodon_variegatus ENSCVAG00000011490
kryptolebias_marmoratus ENSKMAG00000009929
oryzias_latipes_asm223467v1 ENSORLG00000007779
oryzias_latipes_asm223471v1 ENSORLG00020016081
oryzias_latipes_asm223469v1 ENSORLG00015011891
oryzias_melastigma ENSOMEG00000002729
astatotilapia_calliptera ENSACLG00000000700
maylandia_zebra ENSMZEG00005017905
haplochromis_burtoni ENSHBUG00000005545
pundamilia_nyererei ENSPNYG00000021920
neolamprologus_brichardi ENSNBRG00000020105
oreochromis_niloticus ENSONIG00000002653
amphilophus_citrinellus ENSACIG00000012279
amphiprion_percula ENSAPEG00000003061
amphiprion_ocellaris ENSAOCG00000000752
acanthochromis_polyacanthus ENSAPOG00000007147
stegastes_partitus ENSSPAG00000005762
cynoglossus_semilaevis ENSCSEG00000008598
tetraodon_nigroviridis ENSTNIG00000010496
takifugu_rubripes ENSTRUG00000017362
periophthalmus_magnuspinnatus ENSPMGG00000000969
hippocampus_comes ENSHCOG00000016935
gadus_morhua ENSGMOG00000015944
esox_lucius ENSELUG00000023794
pygocentrus_nattereri ENSPNAG00000012047
astyanax_mexicanus ENSAMXG00000039643
ictalurus_punctatus ENSIPUG00000022558
danio_rerio ENSDARG00000074301
danio_rerio ENSDARG00000032206
scleropages_formosus ENSSFOG00015014815
paramormyrops_kingsleyae ENSPKIG00000021646
lepisosteus_oculatus ENSLOCG00000010025
anser_brachyrhynchus ENSABRG00000017657
anas_platyrhynchos_platyrhynchos ENSAPLG00000010832
meleagris_gallopavo ENSMGAG00000012103
gallus_gallus ENSGALG00000011331
coturnix_japonica ENSCJPG00005014526
numida_meleagris ENSNMEG00000010930
calidris_pugnax ENSCPUG00000015092
calidris_pygmaea ENSCPGG00000013397
manacus_vitellinus ENSMVIG00005006385
lepidothrix_coronata ENSLCOG00000003760
lonchura_striata_domestica ENSLSDG00000005571
lonchura_striata_domestica ENSLSDG00000005783
cyanistes_caeruleus ENSCCEG00000006797
cyanistes_caeruleus ENSCCEG00000007124
cyanistes_caeruleus ENSCCEG00000007123
taeniopygia_guttata ENSTGUG00000010266
serinus_canaria ENSSCAG00000007952
ficedula_albicollis ENSFALG00000013034
melopsittacus_undulatus ENSMUNG00000012294
apteryx_haastii ENSAHAG00000006860
apteryx_owenii ENSAOWG00000013818
apteryx_rowi ENSARWG00000011323
dromaius_novaehollandiae ENSDNVG00000000741
crocodylus_porosus ENSCPRG00005012796
chrysemys_picta_bellii ENSCPBG00000022470
pelodiscus_sinensis ENSPSIG00000013094
pogona_vitticeps ENSPVIG00000003878
pogona_vitticeps ENSPVIG00000003876
anolis_carolinensis ENSACAG00000013510
notechis_scutatus ENSNSUG00000008208
salvator_merianae ENSSMRG00000020092
sphenodon_punctatus ENSSPUG00000016391
capra_hircus ENSCHIG00000019727
ovis_aries ENSOARG00000011995
bos_taurus ENSBTAG00000014791
bos_mutus ENSBMUG00000009540
bos_taurus ENSBTAG00000004415
bison_bison_bison ENSBBBG00000012812
sus_scrofa ENSSSCG00000003789
tursiops_truncatus ENSTTRG00000013009
vicugna_pacos ENSVPAG00000011468
equus_caballus ENSECAG00000015050
equus_asinus_asinus ENSEASG00005007840
ursus_maritimus ENSUMAG00000006601
ailuropoda_melanoleuca ENSAMEG00000000028
neovison_vison ENSNVIG00000010934
mustela_putorius_furo ENSMPUG00000000898
canis_lupus_familiaris ENSCAFG00000020417
canis_lupus_dingo ENSCAFG00020017171
vulpes_vulpes ENSVVUG00000007214
panthera_tigris_altaica ENSPTIG00000019906
panthera_pardus ENSPPRG00000005228
felis_catus ENSFCAG00000012450
myotis_lucifugus ENSMLUG00000028757
sorex_araneus ENSSARG00000001940
pteropus_vampyrus ENSPVAG00000011920
myotis_lucifugus ENSMLUG00000009242
ursus_americanus ENSUAMG00000008415
castor_canadensis ENSCCNG00000005662
dipodomys_ordii ENSDORG00000009184
jaculus_jaculus ENSJJAG00000012748
jaculus_jaculus ENSJJAG00000016527
mus_spicilegus ENSMSIG00000005934
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000028179
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026717
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025765
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027215
rattus_norvegicus ENSRNOG00000010658
rattus_norvegicus ENSRNOG00000057089
meriones_unguiculatus ENSMUGG00000016170
cricetulus_griseus_crigri_1.0 ENSCGRG00000003839
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001017639
cricetulus_griseus_crigri-picr ENSCGRG00015021288
mesocricetus_auratus ENSMAUG00000009588
microtus_ochrogaster ENSMOCG00000016949
peromyscus_maniculatus_bairdii ENSPEMG00000000127
