ornithorhynchus_anatinus ENSOANG00000000674
monodelphis_domestica ENSMODG00000029656
gallus_gallus ENSGALG00000008346
meleagris_gallopavo ENSMGAG00000007834
coturnix_japonica ENSCJPG00005015245
numida_meleagris ENSNMEG00000021332
anser_brachyrhynchus ENSABRG00000013528
anas_platyrhynchos_platyrhynchos ENSAPLG00000015210
cyanistes_caeruleus ENSCCEG00000023250
parus_major ENSPMJG00000018178
ficedula_albicollis ENSFALG00000004128
zonotrichia_albicollis ENSZALG00000017932
junco_hyemalis ENSJHYG00000008759
serinus_canaria ENSSCAG00000002679
lonchura_striata_domestica ENSLSDG00000000297
lepidothrix_coronata ENSLCOG00000016040
manacus_vitellinus ENSMVIG00005018291
lonchura_striata_domestica ENSLSDG00000000307
melopsittacus_undulatus ENSMUNG00000011104
melopsittacus_undulatus ENSMUNG00000011106
calidris_pugnax ENSCPUG00000008190
calidris_pugnax ENSCPUG00000013194
calidris_pygmaea ENSCPGG00000001384
apteryx_owenii ENSAOWG00000000395
apteryx_haastii ENSAHAG00000016607
apteryx_rowi ENSARWG00000004898
dromaius_novaehollandiae ENSDNVG00000015502
nothoprocta_perdicaria ENSNPEG00000008394
crocodylus_porosus ENSCPRG00005008345
gopherus_agassizii ENSGAGG00000019606
chelonoidis_abingdonii ENSCABG00000012181
chrysemys_picta_bellii ENSCPBG00000011719
pelodiscus_sinensis ENSPSIG00000006762
sphenodon_punctatus ENSSPUG00000003440
xenopus_tropicalis ENSXETG00000032748
esox_lucius ENSELUG00000012710
esox_lucius ENSELUG00000000416
esox_lucius ENSELUG00000005348
mastacembelus_armatus ENSMAMG00000017528
mastacembelus_armatus ENSMAMG00000023920
monopterus_albus ENSMALG00000003888
anabas_testudineus ENSATEG00000003956
scophthalmus_maximus ENSSMAG00000012651
cynoglossus_semilaevis ENSCSEG00000018865
seriola_lalandi_dorsalis ENSSLDG00000004567
seriola_dumerili ENSSDUG00000004989
poecilia_latipinna ENSPLAG00000000844
poecilia_latipinna ENSPLAG00000000842
poecilia_formosa ENSPFOG00000014998
poecilia_mexicana ENSPMEG00000014181
poecilia_reticulata ENSPREG00000001849
poecilia_reticulata ENSPREG00000001869
xiphophorus_maculatus ENSXMAG00000011431
xiphophorus_couchianus ENSXCOG00000007763
gambusia_affinis ENSGAFG00000012024
cyprinodon_variegatus ENSCVAG00000020114
cyprinodon_variegatus ENSCVAG00000020076
fundulus_heteroclitus ENSFHEG00000018851
kryptolebias_marmoratus ENSKMAG00000008515
oryzias_latipes_asm223467v1 ENSORLG00000011148
oryzias_latipes_asm223471v1 ENSORLG00020009405
oryzias_latipes_asm223469v1 ENSORLG00015004038
oryzias_melastigma ENSOMEG00000011100
maylandia_zebra ENSMZEG00005011021
astatotilapia_calliptera ENSACLG00000017249
maylandia_zebra ENSMZEG00005026149
maylandia_zebra ENSMZEG00005011275
maylandia_zebra ENSMZEG00005010998
maylandia_zebra ENSMZEG00005027702
astatotilapia_calliptera ENSACLG00000004909
maylandia_zebra ENSMZEG00005012747
haplochromis_burtoni ENSHBUG00000004180
astatotilapia_calliptera ENSACLG00000017306
haplochromis_burtoni ENSHBUG00000011964
maylandia_zebra ENSMZEG00005010871
haplochromis_burtoni ENSHBUG00000004725
neolamprologus_brichardi ENSNBRG00000002479
oreochromis_niloticus ENSONIG00000015686
amphilophus_citrinellus ENSACIG00000007935
amphiprion_percula ENSAPEG00000022112
amphiprion_ocellaris ENSAOCG00000000950
acanthochromis_polyacanthus ENSAPOG00000000603
amphiprion_ocellaris ENSAOCG00000014495
acanthochromis_polyacanthus ENSAPOG00000003393
stegastes_partitus ENSSPAG00000001799
takifugu_rubripes ENSTRUG00000009617
mola_mola ENSMMOG00000017444
gasterosteus_aculeatus ENSGACG00000012849
labrus_bergylta ENSLBEG00000004605
periophthalmus_magnuspinnatus ENSPMGG00000020288
gadus_morhua ENSGMOG00000017238
gadus_morhua ENSGMOG00000003870
gadus_morhua ENSGMOG00000003900
gadus_morhua ENSGMOG00000001133
gadus_morhua ENSGMOG00000015769
gadus_morhua ENSGMOG00000009768
pygocentrus_nattereri ENSPNAG00000005930
pygocentrus_nattereri ENSPNAG00000008713
astyanax_mexicanus ENSAMXG00000029860
astyanax_mexicanus ENSAMXG00000015579
ictalurus_punctatus ENSIPUG00000013871
ictalurus_punctatus ENSIPUG00000007315
pygocentrus_nattereri ENSPNAG00000001157
danio_rerio ENSDARG00000104367
scleropages_formosus ENSSFOG00015004346
paramormyrops_kingsleyae ENSPKIG00000017154
scleropages_formosus ENSSFOG00015007544
xiphophorus_maculatus ENSXMAG00000023215
petromyzon_marinus ENSPMAG00000004980
eptatretus_burgeri ENSEBUG00000016162
petromyzon_marinus ENSPMAG00000000084
