mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032047
mus_spicilegus ENSMSIG00000029787
nannospalax_galili ENSNGAG00000010721
theropithecus_gelada ENSTGEG00000007823
ursus_americanus ENSUAMG00000004121
ursus_maritimus ENSUMAG00000009150
canis_lupus_dingo ENSCAFG00020001843
vulpes_vulpes ENSVVUG00000020199
sus_scrofa ENSSSCG00000037552
anser_brachyrhynchus ENSABRG00000002964
coturnix_japonica ENSCJPG00005015201
junco_hyemalis ENSJHYG00000002941
zonotrichia_albicollis ENSZALG00000010291
cyanistes_caeruleus ENSCCEG00000007478
crocodylus_porosus ENSCPRG00005001463
