caenorhabditis_elegans_strain_n2 WBGene00000775
saccharomyces_cerevisiae_strain_s288c YJL213W
scleropages_formosus ENSSFOG00015011816
paramormyrops_kingsleyae ENSPKIG00000000854
cynoglossus_semilaevis ENSCSEG00000014463
tetraodon_nigroviridis ENSTNIG00000010810
seriola_lalandi_dorsalis ENSSLDG00000021522
seriola_dumerili ENSSDUG00000018962
scophthalmus_maximus ENSSMAG00000007442
monopterus_albus ENSMALG00000007158
mastacembelus_armatus ENSMAMG00000010405
amphiprion_percula ENSAPEG00000015707
amphiprion_ocellaris ENSAOCG00000015531
acanthochromis_polyacanthus ENSAPOG00000011863
stegastes_partitus ENSSPAG00000020553
labrus_bergylta ENSLBEG00000005302
labrus_bergylta ENSLBEG00000028954
gasterosteus_aculeatus ENSGACG00000010716
mola_mola ENSMMOG00000003199
anabas_testudineus ENSATEG00000001328
cyprinodon_variegatus ENSCVAG00000009968
fundulus_heteroclitus ENSFHEG00000018745
xiphophorus_maculatus ENSXMAG00000001250
xiphophorus_couchianus ENSXCOG00000016453
gambusia_affinis ENSGAFG00000009546
poecilia_mexicana ENSPMEG00000017995
poecilia_formosa ENSPFOG00000009237
poecilia_latipinna ENSPLAG00000004980
poecilia_reticulata ENSPREG00000006312
kryptolebias_marmoratus ENSKMAG00000006654
oryzias_latipes_asm223471v1 ENSORLG00020007185
oryzias_latipes_asm223467v1 ENSORLG00000010864
oryzias_latipes_asm223469v1 ENSORLG00015022012
oryzias_melastigma ENSOMEG00000008579
astatotilapia_calliptera ENSACLG00000007710
haplochromis_burtoni ENSHBUG00000013422
maylandia_zebra ENSMZEG00005012936
maylandia_zebra ENSMZEG00005013451
pundamilia_nyererei ENSPNYG00000014530
neolamprologus_brichardi ENSNBRG00000022735
oreochromis_niloticus ENSONIG00000011770
amphilophus_citrinellus ENSACIG00000008607
periophthalmus_magnuspinnatus ENSPMGG00000012224
hippocampus_comes ENSHCOG00000017678
gadus_morhua ENSGMOG00000008070
esox_lucius ENSELUG00000002255
pygocentrus_nattereri ENSPNAG00000004868
astyanax_mexicanus ENSAMXG00000033218
ictalurus_punctatus ENSIPUG00000021777
danio_rerio ENSDARG00000002986
lepisosteus_oculatus ENSLOCG00000009573
pogona_vitticeps ENSPVIG00000005539
anolis_carolinensis ENSACAG00000012708
notechis_scutatus ENSNSUG00000017751
salvator_merianae ENSSMRG00000017619
sphenodon_punctatus ENSSPUG00000014481
anser_brachyrhynchus ENSABRG00000018608
anas_platyrhynchos_platyrhynchos ENSAPLG00000015274
gallus_gallus ENSGALG00000015141
coturnix_japonica ENSCJPG00005007790
meleagris_gallopavo ENSMGAG00000016544
numida_meleagris ENSNMEG00000016182
calidris_pygmaea ENSCPGG00000014258
calidris_pugnax ENSCPUG00000006198
melopsittacus_undulatus ENSMUNG00000013216
lepidothrix_coronata ENSLCOG00000005038
manacus_vitellinus ENSMVIG00005019588
cyanistes_caeruleus ENSCCEG00000009564
parus_major ENSPMJG00000009039
ficedula_albicollis ENSFALG00000010739
serinus_canaria ENSSCAG00000000897
zonotrichia_albicollis ENSZALG00000011003
lonchura_striata_domestica ENSLSDG00000017028
taeniopygia_guttata ENSTGUG00000000830
apteryx_owenii ENSAOWG00000000328
apteryx_haastii ENSAHAG00000012693
apteryx_rowi ENSARWG00000000905
dromaius_novaehollandiae ENSDNVG00000003905
nothoprocta_perdicaria ENSNPEG00000004241
crocodylus_porosus ENSCPRG00005006211
gopherus_agassizii ENSGAGG00000000187
chelonoidis_abingdonii ENSCABG00000018253
chrysemys_picta_bellii ENSCPBG00000020101
pelodiscus_sinensis ENSPSIG00000014988
notamacropus_eugenii ENSMEUG00000005585
phascolarctos_cinereus ENSPCIG00000027187
monodelphis_domestica ENSMODG00000002641
sarcophilus_harrisii ENSSHAG00000001275
loxodonta_africana ENSLAFG00000001187
procavia_capensis ENSPCAG00000013745
echinops_telfairi ENSETEG00000003558
castor_canadensis ENSCCNG00000031779
dipodomys_ordii ENSDORG00000007276
chinchilla_lanigera ENSCLAG00000006160
octodon_degus ENSODEG00000004005
cavia_porcellus ENSCPOG00000032107
cavia_aperea ENSCAPG00000016112
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100002126
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000012950
fukomys_damarensis ENSFDAG00000003831
mus_spicilegus ENSMSIG00000011588
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000058624
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023733
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022814
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0014308
rattus_norvegicus ENSRNOG00000018282
meriones_unguiculatus ENSMUGG00000026659
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001017427
cricetulus_griseus_crigri-picr ENSCGRG00015003690
cricetulus_griseus_crigri_1.0 ENSCGRG00000002091
mesocricetus_auratus ENSMAUG00000009710
microtus_ochrogaster ENSMOCG00000013345
peromyscus_maniculatus_bairdii ENSPEMG00000009797
nannospalax_galili ENSNGAG00000007662
jaculus_jaculus ENSJJAG00000018959
spermophilus_dauricus ENSSDAG00000020510
ictidomys_tridecemlineatus ENSSTOG00000013714
urocitellus_parryii ENSUPAG00010023516
marmota_marmota_marmota ENSMMMG00000011771
oryctolagus_cuniculus ENSOCUG00000012403
ochotona_princeps ENSOPRG00000000436
homo_sapiens ENSG00000119125
gorilla_gorilla ENSGGOG00000008537
pan_troglodytes ENSPTRG00000021020
pan_paniscus ENSPPAG00000038576
pongo_abelii ENSPPYG00000019289
nomascus_leucogenys ENSNLEG00000001030
papio_anubis ENSPANG00000025079
theropithecus_gelada ENSTGEG00000025745
macaca_fascicularis ENSMFAG00000033432
macaca_mulatta ENSMMUG00000019196
macaca_nemestrina ENSMNEG00000033666
chlorocebus_sabaeus ENSCSAG00000008276
mandrillus_leucophaeus ENSMLEG00000037683
rhinopithecus_roxellana ENSRROG00000034296
rhinopithecus_bieti ENSRBIG00000027888
piliocolobus_tephrosceles ENSPTEG00000039072
colobus_angolensis_palliatus ENSCANG00000033702
cercocebus_atys ENSCATG00000040360
cebus_capucinus_imitator ENSCCAG00000037939
saimiri_boliviensis_boliviensis ENSSBOG00000030478
callithrix_jacchus ENSCJAG00000001414
aotus_nancymaae ENSANAG00000033533
carlito_syrichta ENSTSYG00000014515
microcebus_murinus ENSMICG00000001088
propithecus_coquereli ENSPCOG00000017765
prolemur_simus ENSPSMG00000025853
otolemur_garnettii ENSOGAG00000011303
tupaia_belangeri ENSTBEG00000011700
sus_scrofa ENSSSCG00000034919
vicugna_pacos ENSVPAG00000003466
capra_hircus ENSCHIG00000015307
ovis_aries ENSOARG00000012755
bos_taurus ENSBTAG00000011545
bos_mutus ENSBMUG00000011110
bison_bison_bison ENSBBBG00000010951
tursiops_truncatus ENSTTRG00000014823
equus_caballus ENSECAG00000000122
equus_asinus_asinus ENSEASG00005009587
pteropus_vampyrus ENSPVAG00000016043
myotis_lucifugus ENSMLUG00000007154
ursus_maritimus ENSUMAG00000021947
ursus_americanus ENSUAMG00000019464
ailuropoda_melanoleuca ENSAMEG00000007258
mustela_putorius_furo ENSMPUG00000008959
neovison_vison ENSNVIG00000011321
canis_lupus_familiaris ENSCAFG00000001815
canis_lupus_dingo ENSCAFG00020025665
vulpes_vulpes ENSVVUG00000003650
panthera_tigris_altaica ENSPTIG00000007961
panthera_pardus ENSPPRG00000010797
felis_catus ENSFCAG00000015266
sorex_araneus ENSSARG00000000112
erinaceus_europaeus ENSEEUG00000002453
choloepus_hoffmanni ENSCHOG00000000469
dasypus_novemcinctus ENSDNOG00000007916
ornithorhynchus_anatinus ENSOANG00000013133
xenopus_tropicalis ENSXETG00000014370
latimeria_chalumnae ENSLACG00000011397
drosophila_melanogaster FBgn0261436
saccharomyces_cerevisiae_strain_s288c YDL238C
