equus_caballus ENSECAG00000035440
equus_asinus_asinus ENSEASG00005020661
pteropus_vampyrus ENSPVAG00000007319
ursus_americanus ENSUAMG00000026615
ursus_maritimus ENSUMAG00000019915
ailuropoda_melanoleuca ENSAMEG00000010432
mustela_putorius_furo ENSMPUG00000001197
neovison_vison ENSNVIG00000019068
canis_lupus_familiaris ENSCAFG00000000474
canis_lupus_dingo ENSCAFG00020019553
vulpes_vulpes ENSVVUG00000010863
panthera_pardus ENSPPRG00000001881
panthera_tigris_altaica ENSPTIG00000014774
felis_catus ENSFCAG00000022649
bos_mutus ENSBMUG00000002112
bison_bison_bison ENSBBBG00000006420
bos_taurus ENSBTAG00000021721
ovis_aries ENSOARG00000010516
capra_hircus ENSCHIG00000008644
tursiops_truncatus ENSTTRG00000006502
sus_scrofa ENSSSCG00000030903
erinaceus_europaeus ENSEEUG00000011417
pan_paniscus ENSPPAG00000026997
pan_troglodytes ENSPTRG00000049242
homo_sapiens ENSG00000204539
gorilla_gorilla ENSGGOG00000026808
pongo_abelii ENSPPYG00000017205
nomascus_leucogenys ENSNLEG00000005698
theropithecus_gelada ENSTGEG00000012431
theropithecus_gelada ENSTGEG00000008611
macaca_mulatta ENSMMUG00000015676
macaca_fascicularis ENSMFAG00000002361
chlorocebus_sabaeus ENSCSAG00000008379
mandrillus_leucophaeus ENSMLEG00000042515
cercocebus_atys ENSCATG00000041712
macaca_nemestrina ENSMNEG00000037939
papio_anubis ENSPANG00000026493
piliocolobus_tephrosceles ENSPTEG00000031008
colobus_angolensis_palliatus ENSCANG00000019714
rhinopithecus_roxellana ENSRROG00000042630
rhinopithecus_bieti ENSRBIG00000044287
cebus_capucinus_imitator ENSCCAG00000023637
callithrix_jacchus ENSCJAG00000019799
saimiri_boliviensis_boliviensis ENSSBOG00000022399
aotus_nancymaae ENSANAG00000036103
carlito_syrichta ENSTSYG00000037324
propithecus_coquereli ENSPCOG00000017174
microcebus_murinus ENSMICG00000010150
prolemur_simus ENSPSMG00000005366
otolemur_garnettii ENSOGAG00000000614
tupaia_belangeri ENSTBEG00000017307
castor_canadensis ENSCCNG00000023922
dipodomys_ordii ENSDORG00000025244
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021524
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022431
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000039518
mus_spicilegus ENSMSIG00000014711
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020518
meriones_unguiculatus ENSMUGG00000015376
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012655
cricetulus_griseus_crigri_1.0 ENSCGRG00000010127
cricetulus_griseus_crigri-picr ENSCGRG00015028213
mesocricetus_auratus ENSMAUG00000006784
peromyscus_maniculatus_bairdii ENSPEMG00000007509
microtus_ochrogaster ENSMOCG00000014299
nannospalax_galili ENSNGAG00000014220
chinchilla_lanigera ENSCLAG00000002225
octodon_degus ENSODEG00000017828
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000012348
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100010874
fukomys_damarensis ENSFDAG00000009931
cavia_porcellus ENSCPOG00000021515
cavia_aperea ENSCAPG00000013200
urocitellus_parryii ENSUPAG00010003663
ictidomys_tridecemlineatus ENSSTOG00000024750
spermophilus_dauricus ENSSDAG00000004149
marmota_marmota_marmota ENSMMMG00000020415
oryctolagus_cuniculus ENSOCUG00000006280
ochotona_princeps ENSOPRG00000003822
loxodonta_africana ENSLAFG00000032522
dasypus_novemcinctus ENSDNOG00000049594
phascolarctos_cinereus ENSPCIG00000033908
monodelphis_domestica ENSMODG00000023799
sarcophilus_harrisii ENSSHAG00000010240
ornithorhynchus_anatinus ENSOANG00000022575
