ursus_americanus ENSUAMG00000008152
ursus_maritimus ENSUMAG00000022409
neovison_vison ENSNVIG00000011463
canis_lupus_familiaris ENSCAFG00000015952
canis_lupus_dingo ENSCAFG00020018328
vulpes_vulpes ENSVVUG00000018879
panthera_tigris_altaica ENSPTIG00000003392
panthera_pardus ENSPPRG00000005162
felis_catus ENSFCAG00000012438
sorex_araneus ENSSARG00000000019
erinaceus_europaeus ENSEEUG00000007776
bos_taurus ENSBTAG00000047165
bos_mutus ENSBMUG00000023224
ovis_aries ENSOARG00000017099
vicugna_pacos ENSVPAG00000005396
equus_caballus ENSECAG00000034483
saimiri_boliviensis_boliviensis ENSSBOG00000020353
cebus_capucinus_imitator ENSCCAG00000029116
aotus_nancymaae ENSANAG00000036881
colobus_angolensis_palliatus ENSCANG00000036387
piliocolobus_tephrosceles ENSPTEG00000030414
rhinopithecus_roxellana ENSRROG00000041389
rhinopithecus_bieti ENSRBIG00000030289
macaca_fascicularis ENSMFAG00000044683
macaca_mulatta ENSMMUG00000008543
macaca_nemestrina ENSMNEG00000040688
cercocebus_atys ENSCATG00000038671
mandrillus_leucophaeus ENSMLEG00000026289
papio_anubis ENSPANG00000021534
theropithecus_gelada ENSTGEG00000008353
chlorocebus_sabaeus ENSCSAG00000002997
pan_troglodytes ENSPTRG00000009169
pan_paniscus ENSPPAG00000034094
homo_sapiens ENSG00000171403
gorilla_gorilla ENSGGOG00000005324
pongo_abelii ENSPPYG00000008965
nomascus_leucogenys ENSNLEG00000010814
carlito_syrichta ENSTSYG00000031839
propithecus_coquereli ENSPCOG00000016464
prolemur_simus ENSPSMG00000014177
microcebus_murinus ENSMICG00000012911
otolemur_garnettii ENSOGAG00000011469
spermophilus_dauricus ENSSDAG00000007941
marmota_marmota_marmota ENSMMMG00000006665
spermophilus_dauricus ENSSDAG00000007954
urocitellus_parryii ENSUPAG00010009000
chinchilla_lanigera ENSCLAG00000016583
octodon_degus ENSODEG00000017935
cavia_porcellus ENSCPOG00000033124
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000051617
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018004
mus_spicilegus ENSMSIG00000001354
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017162
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018291
rattus_norvegicus ENSRNOG00000014370
meriones_unguiculatus ENSMUGG00000005542
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001021018
cricetulus_griseus_crigri-picr ENSCGRG00015003783
cricetulus_griseus_crigri_1.0 ENSCGRG00000010081
mesocricetus_auratus ENSMAUG00000009863
peromyscus_maniculatus_bairdii ENSPEMG00000008176
microtus_ochrogaster ENSMOCG00000007293
nannospalax_galili ENSNGAG00000018654
jaculus_jaculus ENSJJAG00000022627
dipodomys_ordii ENSDORG00000026645
echinops_telfairi ENSETEG00000008964
phascolarctos_cinereus ENSPCIG00000008602
notamacropus_eugenii ENSMEUG00000003667
sarcophilus_harrisii ENSSHAG00000001231
monodelphis_domestica ENSMODG00000014625
ornithorhynchus_anatinus ENSOANG00000015781
apteryx_haastii ENSAHAG00000016256
