prolemur_simus ENSPSMG00000004628
otolemur_garnettii ENSOGAG00000016887
pan_troglodytes ENSPTRG00000030254
pan_paniscus ENSPPAG00000003698
homo_sapiens ENSG00000206549
homo_sapiens ENSG00000283706
gorilla_gorilla ENSGGOG00000003111
pongo_abelii ENSPPYG00000013928
nomascus_leucogenys ENSNLEG00000006194
rhinopithecus_roxellana ENSRROG00000040761
rhinopithecus_bieti ENSRBIG00000027969
colobus_angolensis_palliatus ENSCANG00000042608
piliocolobus_tephrosceles ENSPTEG00000008338
mandrillus_leucophaeus ENSMLEG00000035053
cercocebus_atys ENSCATG00000039179
papio_anubis ENSPANG00000006043
theropithecus_gelada ENSTGEG00000011390
macaca_fascicularis ENSMFAG00000042197
macaca_mulatta ENSMMUG00000021250
macaca_nemestrina ENSMNEG00000042941
chlorocebus_sabaeus ENSCSAG00000016195
cebus_capucinus_imitator ENSCCAG00000018793
saimiri_boliviensis_boliviensis ENSSBOG00000031754
callithrix_jacchus ENSCJAG00000002220
aotus_nancymaae ENSANAG00000018376
tupaia_belangeri ENSTBEG00000001911
castor_canadensis ENSCCNG00000015720
dipodomys_ordii ENSDORG00000004802
marmota_marmota_marmota ENSMMMG00000006951
ictidomys_tridecemlineatus ENSSTOG00000029753
urocitellus_parryii ENSUPAG00010016049
cricetulus_griseus_crigri_1.0 ENSCGRG00000011982
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001020287
mesocricetus_auratus ENSMAUG00000011726
peromyscus_maniculatus_bairdii ENSPEMG00000021430
microtus_ochrogaster ENSMOCG00000018421
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000048752
mus_spicilegus ENSMSIG00000025522
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033893
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032745
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0015612
rattus_norvegicus ENSRNOG00000037175
nannospalax_galili ENSNGAG00000018126
chinchilla_lanigera ENSCLAG00000015480
octodon_degus ENSODEG00000013184
cavia_aperea ENSCAPG00000008400
cavia_porcellus ENSCPOG00000002321
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100017611
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000016828
fukomys_damarensis ENSFDAG00000020823
ochotona_princeps ENSOPRG00000009422
tursiops_truncatus ENSTTRG00000017302
sus_scrofa ENSSSCG00000011327
bos_mutus ENSBMUG00000002774
bos_taurus ENSBTAG00000005019
bison_bison_bison ENSBBBG00000000819
ovis_aries ENSOARG00000007381
capra_hircus ENSCHIG00000023869
equus_asinus_asinus ENSEASG00005008120
equus_caballus ENSECAG00000006996
mustela_putorius_furo ENSMPUG00000015159
neovison_vison ENSNVIG00000021826
ursus_maritimus ENSUMAG00000004423
ursus_americanus ENSUAMG00000018106
ailuropoda_melanoleuca ENSAMEG00000012552
canis_lupus_familiaris ENSCAFG00000023396
canis_lupus_dingo ENSCAFG00020013911
vulpes_vulpes ENSVVUG00000005032
panthera_pardus ENSPPRG00000022448
panthera_tigris_altaica ENSPTIG00000014680
felis_catus ENSFCAG00000025722
procavia_capensis ENSPCAG00000012398
echinops_telfairi ENSETEG00000020052
loxodonta_africana ENSLAFG00000010901
dasypus_novemcinctus ENSDNOG00000045512
