macaca_fascicularis ENSMFAG00000002096
macaca_nemestrina ENSMNEG00000042506
papio_anubis ENSPANG00000031381
nomascus_leucogenys ENSNLEG00000002993
callithrix_jacchus ENSCJAG00000047602
saimiri_boliviensis_boliviensis ENSSBOG00000022710
aotus_nancymaae ENSANAG00000030050
propithecus_coquereli ENSPCOG00000019331
carlito_syrichta ENSTSYG00000003640
otolemur_garnettii ENSOGAG00000008422
meriones_unguiculatus ENSMUGG00000002933
panthera_tigris_altaica ENSPTIG00000020210
panthera_pardus ENSPPRG00000024679
felis_catus ENSFCAG00000039453
vulpes_vulpes ENSVVUG00000013043
equus_caballus ENSECAG00000034173
mus_spicilegus ENSMSIG00000015808
dasypus_novemcinctus ENSDNOG00000007079
phascolarctos_cinereus ENSPCIG00000000145
ornithorhynchus_anatinus ENSOANG00000028409
apteryx_rowi ENSARWG00000016784
apteryx_owenii ENSAOWG00000016165
dromaius_novaehollandiae ENSDNVG00000007425
manacus_vitellinus ENSMVIG00005008310
manacus_vitellinus ENSMVIG00005015259
parus_major ENSPMJG00000007382
cyanistes_caeruleus ENSCCEG00000008450
coturnix_japonica ENSCJPG00005000818
melopsittacus_undulatus ENSMUNG00000001015
calidris_pugnax ENSCPUG00000002640
calidris_pygmaea ENSCPGG00000013976
crocodylus_porosus ENSCPRG00005003572
numida_meleagris ENSNMEG00000004657
meleagris_gallopavo ENSMGAG00000012237
anser_brachyrhynchus ENSABRG00000002428
chrysemys_picta_bellii ENSCPBG00000008066
pygocentrus_nattereri ENSPNAG00000024504
astyanax_mexicanus ENSAMXG00000031810
ictalurus_punctatus ENSIPUG00000011172
oryzias_latipes_asm223471v1 ENSORLG00020022085
oryzias_latipes_asm223467v1 ENSORLG00000002783
oryzias_melastigma ENSOMEG00000013273
poecilia_formosa ENSPFOG00000014835
poecilia_reticulata ENSPREG00000008685
poecilia_latipinna ENSPLAG00000003022
xiphophorus_maculatus ENSXMAG00000003702
xiphophorus_couchianus ENSXCOG00000020048
amphilophus_citrinellus ENSACIG00000016512
astatotilapia_calliptera ENSACLG00000014734
stegastes_partitus ENSSPAG00000019554
seriola_dumerili ENSSDUG00000011754
monopterus_albus ENSMALG00000005711
takifugu_rubripes ENSTRUG00000023920
paramormyrops_kingsleyae ENSPKIG00000005853
