heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000002271
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100000598
nannospalax_galili ENSNGAG00000021353
vulpes_vulpes ENSVVUG00000015855
equus_caballus ENSECAG00000038657
bos_mutus ENSBMUG00000015282
bos_taurus ENSBTAG00000054464
bison_bison_bison ENSBBBG00000000726
ailuropoda_melanoleuca ENSAMEG00000004901
capra_hircus ENSCHIG00000025533
pongo_abelii ENSPPYG00000007322
macaca_mulatta ENSMMUG00000018383
pan_paniscus ENSPPAG00000031174
pan_troglodytes ENSPTRG00000047701
gorilla_gorilla ENSGGOG00000025028
nomascus_leucogenys ENSNLEG00000030783
mandrillus_leucophaeus ENSMLEG00000029748
papio_anubis ENSPANG00000034879
cercocebus_atys ENSCATG00000032159
aotus_nancymaae ENSANAG00000028948
microcebus_murinus ENSMICG00000043798
octodon_degus ENSODEG00000006858
octodon_degus ENSODEG00000002050
tupaia_belangeri ENSTBEG00000010946
meriones_unguiculatus ENSMUGG00000025380
saimiri_boliviensis_boliviensis ENSSBOG00000035157
callithrix_jacchus ENSCJAG00000041614
cebus_capucinus_imitator ENSCCAG00000025906
macaca_fascicularis ENSMFAG00000039304
macaca_nemestrina ENSMNEG00000030871
sus_scrofa ENSSSCG00000037375
erinaceus_europaeus ENSEEUG00000014163
echinops_telfairi ENSETEG00000016043
danio_rerio ENSDARG00000112957
