neovison_vison ENSNVIG00000014794
mustela_putorius_furo ENSMPUG00000002105
canis_lupus_familiaris ENSCAFG00000024408
ailuropoda_melanoleuca ENSAMEG00000001396
panthera_pardus ENSPPRG00000006355
felis_catus ENSFCAG00000033497
erinaceus_europaeus ENSEEUG00000004174
sorex_araneus ENSSARG00000014253
piliocolobus_tephrosceles ENSPTEG00000027065
colobus_angolensis_palliatus ENSCANG00000033755
theropithecus_gelada ENSTGEG00000016153
pan_troglodytes ENSPTRG00000040197
pan_paniscus ENSPPAG00000025530
homo_sapiens ENSG00000283992
gorilla_gorilla ENSGGOG00000014714
nomascus_leucogenys ENSNLEG00000001320
saimiri_boliviensis_boliviensis ENSSBOG00000035510
cebus_capucinus_imitator ENSCCAG00000026404
callithrix_jacchus ENSCJAG00000046775
aotus_nancymaae ENSANAG00000030294
carlito_syrichta ENSTSYG00000011734
prolemur_simus ENSPSMG00000021411
microcebus_murinus ENSMICG00000045139
propithecus_coquereli ENSPCOG00000015131
otolemur_garnettii ENSOGAG00000026504
cavia_porcellus ENSCPOG00000040257
cavia_aperea ENSCAPG00000017410
ochotona_princeps ENSOPRG00000012789
loxodonta_africana ENSLAFG00000026637
echinops_telfairi ENSETEG00000000906
