propithecus_coquereli ENSPCOG00000005643
microcebus_murinus ENSMICG00000041957
prolemur_simus ENSPSMG00000004423
otolemur_garnettii ENSOGAG00000010395
callithrix_jacchus ENSCJAG00000043833
cebus_capucinus_imitator ENSCCAG00000014994
saimiri_boliviensis_boliviensis ENSSBOG00000014649
saimiri_boliviensis_boliviensis ENSSBOG00000018314
aotus_nancymaae ENSANAG00000003558
rhinopithecus_bieti ENSRBIG00000020870
rhinopithecus_roxellana ENSRROG00000015008
nomascus_leucogenys ENSNLEG00000033735
theropithecus_gelada ENSTGEG00000025716
chlorocebus_sabaeus ENSCSAG00000018853
piliocolobus_tephrosceles ENSPTEG00000023134
pongo_abelii ENSPPYG00000007108
papio_anubis ENSPANG00000003487
cercocebus_atys ENSCATG00000006108
macaca_fascicularis ENSMFAG00000027930
macaca_nemestrina ENSMNEG00000002981
macaca_mulatta ENSMMUG00000014239
mandrillus_leucophaeus ENSMLEG00000011975
colobus_angolensis_palliatus ENSCANG00000017390
pan_paniscus ENSPPAG00000001541
pan_troglodytes ENSPTRG00000041691
gorilla_gorilla ENSGGOG00000036694
homo_sapiens ENSG00000184602
oryctolagus_cuniculus ENSOCUG00000016051
ochotona_princeps ENSOPRG00000004346
capra_hircus ENSCHIG00000011379
ovis_aries ENSOARG00000010684
bos_taurus ENSBTAG00000054404
bos_mutus ENSBMUG00000015550
bison_bison_bison ENSBBBG00000021963
tursiops_truncatus ENSTTRG00000016885
sus_scrofa ENSSSCG00000007897
equus_caballus ENSECAG00000004091
ursus_maritimus ENSUMAG00000003961
ursus_americanus ENSUAMG00000018096
ailuropoda_melanoleuca ENSAMEG00000019014
canis_lupus_familiaris ENSCAFG00000018904
canis_lupus_dingo ENSCAFG00020024631
vulpes_vulpes ENSVVUG00000017985
mustela_putorius_furo ENSMPUG00000019698
neovison_vison ENSNVIG00000021704
felis_catus ENSFCAG00000011680
panthera_pardus ENSPPRG00000015862
pteropus_vampyrus ENSPVAG00000015395
myotis_lucifugus ENSMLUG00000016040
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100015155
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000011493
fukomys_damarensis ENSFDAG00000018718
chinchilla_lanigera ENSCLAG00000015606
octodon_degus ENSODEG00000011495
cavia_porcellus ENSCPOG00000036065
cavia_aperea ENSCAPG00000007689
meriones_unguiculatus ENSMUGG00000023226
meriones_unguiculatus ENSMUGG00000023461
cricetulus_griseus_crigri-picr ENSCGRG00015008672
cricetulus_griseus_crigri_1.0 ENSCGRG00000017888
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001001355
mesocricetus_auratus ENSMAUG00000017053
mus_spicilegus ENSMSIG00000008544
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000037972
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021349
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020454
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016161
rattus_norvegicus ENSRNOG00000058739
microtus_ochrogaster ENSMOCG00000015655
peromyscus_maniculatus_bairdii ENSPEMG00000027510
nannospalax_galili ENSNGAG00000011512
jaculus_jaculus ENSJJAG00000002883
jaculus_jaculus ENSJJAG00000001174
castor_canadensis ENSCCNG00000027143
dipodomys_ordii ENSDORG00000025291
ictidomys_tridecemlineatus ENSSTOG00000016057
urocitellus_parryii ENSUPAG00010007899
spermophilus_dauricus ENSSDAG00000014717
urocitellus_parryii ENSUPAG00010020879
spermophilus_dauricus ENSSDAG00000017299
carlito_syrichta ENSTSYG00000028066
loxodonta_africana ENSLAFG00000018341
dasypus_novemcinctus ENSDNOG00000015276
choloepus_hoffmanni ENSCHOG00000009038
erinaceus_europaeus ENSEEUG00000002455
monodelphis_domestica ENSMODG00000024781
pogona_vitticeps ENSPVIG00000013577
notechis_scutatus ENSNSUG00000000499
salvator_merianae ENSSMRG00000001919
phascolarctos_cinereus ENSPCIG00000001028
notamacropus_eugenii ENSMEUG00000007351
sarcophilus_harrisii ENSSHAG00000010880
ornithorhynchus_anatinus ENSOANG00000000988
coturnix_japonica ENSCJPG00005013498
meleagris_gallopavo ENSMGAG00000015525
gallus_gallus ENSGALG00000028876
