mustela_putorius_furo ENSMPUG00000000241
ailuropoda_melanoleuca ENSAMEG00000015820
canis_lupus_familiaris ENSCAFG00000009900
equus_caballus ENSECAG00000003485
ovis_aries ENSOARG00000019937
sus_scrofa ENSSSCG00000027998
myotis_lucifugus ENSMLUG00000023125
chlorocebus_sabaeus ENSCSAG00000007205
otolemur_garnettii ENSOGAG00000033428
loxodonta_africana ENSLAFG00000030104
dasypus_novemcinctus ENSDNOG00000042519
rattus_norvegicus ENSRNOG00000054624
mus_spicilegus ENSMSIG00000016259
oryctolagus_cuniculus ENSOCUG00000022306
sarcophilus_harrisii ENSSHAG00000016997
phascolarctos_cinereus ENSPCIG00000009653
ornithorhynchus_anatinus ENSOANG00000011235
anolis_carolinensis ENSACAG00000008239
pogona_vitticeps ENSPVIG00000008336
xenopus_tropicalis ENSXETG00000031337
latimeria_chalumnae ENSLACG00000013707
xenopus_tropicalis ENSXETG00000021226
astyanax_mexicanus ENSAMXG00000037684
paramormyrops_kingsleyae ENSPKIG00000013015
lepisosteus_oculatus ENSLOCG00000016110
