gambusia_affinis ENSGAFG00000003637
poecilia_latipinna ENSPLAG00000010524
pundamilia_nyererei ENSPNYG00000023790
amphiprion_ocellaris ENSAOCG00000004600
amphiprion_percula ENSAPEG00000012847
monopterus_albus ENSMALG00000015006
haplochromis_burtoni ENSHBUG00000019176
astatotilapia_calliptera ENSACLG00000010971
pundamilia_nyererei ENSPNYG00000005453
haplochromis_burtoni ENSHBUG00000020116
maylandia_zebra ENSMZEG00005020943
neolamprologus_brichardi ENSNBRG00000023409
amphilophus_citrinellus ENSACIG00000006114
stegastes_partitus ENSSPAG00000013334
oryzias_latipes_asm223471v1 ENSORLG00020007984
oryzias_latipes_asm223469v1 ENSORLG00015004755
oryzias_melastigma ENSOMEG00000014594
poecilia_reticulata ENSPREG00000005017
mastacembelus_armatus ENSMAMG00000015766
dasypus_novemcinctus ENSDNOG00000036380
