chinchilla_lanigera ENSCLAG00000013129
cavia_porcellus ENSCPOG00000030561
fukomys_damarensis ENSFDAG00000017736
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100016363
nannospalax_galili ENSNGAG00000001921
marmota_marmota_marmota ENSMMMG00000008159
oryctolagus_cuniculus ENSOCUG00000029223
ochotona_princeps ENSOPRG00000013528
pan_troglodytes ENSPTRG00000044966
pan_paniscus ENSPPAG00000036036
homo_sapiens ENSG00000196110
gorilla_gorilla ENSGGOG00000037284
nomascus_leucogenys ENSNLEG00000011963
theropithecus_gelada ENSTGEG00000023047
papio_anubis ENSPANG00000013863
mandrillus_leucophaeus ENSMLEG00000036955
cercocebus_atys ENSCATG00000014891
macaca_mulatta ENSMMUG00000018887
macaca_fascicularis ENSMFAG00000003916
macaca_nemestrina ENSMNEG00000043733
chlorocebus_sabaeus ENSCSAG00000007725
rhinopithecus_bieti ENSRBIG00000042302
rhinopithecus_roxellana ENSRROG00000033631
piliocolobus_tephrosceles ENSPTEG00000032058
colobus_angolensis_palliatus ENSCANG00000031089
cebus_capucinus_imitator ENSCCAG00000034661
saimiri_boliviensis_boliviensis ENSSBOG00000020395
callithrix_jacchus ENSCJAG00000006203
aotus_nancymaae ENSANAG00000037701
carlito_syrichta ENSTSYG00000026844
microcebus_murinus ENSMICG00000044283
propithecus_coquereli ENSPCOG00000023928
prolemur_simus ENSPSMG00000002579
otolemur_garnettii ENSOGAG00000000834
capra_hircus ENSCHIG00000027113
bos_mutus ENSBMUG00000006632
tursiops_truncatus ENSTTRG00000004537
vicugna_pacos ENSVPAG00000011047
ursus_maritimus ENSUMAG00000014230
ursus_americanus ENSUAMG00000016449
ailuropoda_melanoleuca ENSAMEG00000001212
neovison_vison ENSNVIG00000023577
mustela_putorius_furo ENSMPUG00000014509
canis_lupus_familiaris ENSCAFG00000017815
canis_lupus_dingo ENSCAFG00020023385
vulpes_vulpes ENSVVUG00000028285
panthera_tigris_altaica ENSPTIG00000016414
panthera_pardus ENSPPRG00000023642
felis_catus ENSFCAG00000040923
pteropus_vampyrus ENSPVAG00000006283
myotis_lucifugus ENSMLUG00000014255
equus_asinus_asinus ENSEASG00005020272
equus_caballus ENSECAG00000021154
choloepus_hoffmanni ENSCHOG00000004057
procavia_capensis ENSPCAG00000014523
