sus_scrofa ENSSSCG00000011668
tursiops_truncatus ENSTTRG00000010723
vicugna_pacos ENSVPAG00000008291
bison_bison_bison ENSBBBG00000016347
bos_taurus ENSBTAG00000018346
capra_hircus ENSCHIG00000015242
ovis_aries ENSOARG00000006860
equus_asinus_asinus ENSEASG00005003676
equus_caballus ENSECAG00000008921
ailuropoda_melanoleuca ENSAMEG00000016501
ursus_maritimus ENSUMAG00000014662
neovison_vison ENSNVIG00000016555
mustela_putorius_furo ENSMPUG00000004993
canis_lupus_familiaris ENSCAFG00000007643
canis_lupus_dingo ENSCAFG00020008472
vulpes_vulpes ENSVVUG00000026257
panthera_pardus ENSPPRG00000016034
panthera_tigris_altaica ENSPTIG00000017506
felis_catus ENSFCAG00000001651
pteropus_vampyrus ENSPVAG00000007370
myotis_lucifugus ENSMLUG00000008678
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033688
mus_spicilegus ENSMSIG00000015370
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000032451
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032544
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0015414
rattus_norvegicus ENSRNOG00000048975
meriones_unguiculatus ENSMUGG00000019326
cricetulus_griseus_crigri_1.0 ENSCGRG00000006322
cricetulus_griseus_crigri-picr ENSCGRG00015004296
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001002575
mesocricetus_auratus ENSMAUG00000011369
microtus_ochrogaster ENSMOCG00000001679
peromyscus_maniculatus_bairdii ENSPEMG00000020887
nannospalax_galili ENSNGAG00000000065
jaculus_jaculus ENSJJAG00000019829
castor_canadensis ENSCCNG00000012553
dipodomys_ordii ENSDORG00000009003
chinchilla_lanigera ENSCLAG00000001061
octodon_degus ENSODEG00000009982
cavia_aperea ENSCAPG00000007178
cavia_porcellus ENSCPOG00000012108
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000013325
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100015301
fukomys_damarensis ENSFDAG00000012327
spermophilus_dauricus ENSSDAG00000023962
marmota_marmota_marmota ENSMMMG00000017638
ictidomys_tridecemlineatus ENSSTOG00000020710
urocitellus_parryii ENSUPAG00010007998
oryctolagus_cuniculus ENSOCUG00000005488
ochotona_princeps ENSOPRG00000005490
tupaia_belangeri ENSTBEG00000014762
pan_paniscus ENSPPAG00000028240
pan_troglodytes ENSPTRG00000015465
gorilla_gorilla ENSGGOG00000010587
homo_sapiens ENSG00000155890
pongo_abelii ENSPPYG00000014160
nomascus_leucogenys ENSNLEG00000004507
piliocolobus_tephrosceles ENSPTEG00000006574
colobus_angolensis_palliatus ENSCANG00000043204
rhinopithecus_roxellana ENSRROG00000033793
rhinopithecus_bieti ENSRBIG00000039037
mandrillus_leucophaeus ENSMLEG00000035317
cercocebus_atys ENSCATG00000029341
theropithecus_gelada ENSTGEG00000009465
papio_anubis ENSPANG00000007233
chlorocebus_sabaeus ENSCSAG00000011184
macaca_fascicularis ENSMFAG00000014452
macaca_mulatta ENSMMUG00000021392
macaca_nemestrina ENSMNEG00000045001
cebus_capucinus_imitator ENSCCAG00000033251
saimiri_boliviensis_boliviensis ENSSBOG00000024063
callithrix_jacchus ENSCJAG00000002126
aotus_nancymaae ENSANAG00000034190
carlito_syrichta ENSTSYG00000027659
prolemur_simus ENSPSMG00000020469
propithecus_coquereli ENSPCOG00000027829
microcebus_murinus ENSMICG00000049317
otolemur_garnettii ENSOGAG00000009994
choloepus_hoffmanni ENSCHOG00000004480
dasypus_novemcinctus ENSDNOG00000009507
loxodonta_africana ENSLAFG00000008928
procavia_capensis ENSPCAG00000014895
erinaceus_europaeus ENSEEUG00000015406
sorex_araneus ENSSARG00000005886
phascolarctos_cinereus ENSPCIG00000019455
notamacropus_eugenii ENSMEUG00000007013
sarcophilus_harrisii ENSSHAG00000017626
monodelphis_domestica ENSMODG00000018613
ornithorhynchus_anatinus ENSOANG00000021551
ornithorhynchus_anatinus ENSOANG00000014969
apteryx_haastii ENSAHAG00000010435
apteryx_rowi ENSARWG00000005720
apteryx_owenii ENSAOWG00000017545
dromaius_novaehollandiae ENSDNVG00000001365
nothoprocta_perdicaria ENSNPEG00000012727
anser_brachyrhynchus ENSABRG00000007666
anas_platyrhynchos_platyrhynchos ENSAPLG00000004454
meleagris_gallopavo ENSMGAG00000004566
coturnix_japonica ENSCJPG00005005755
numida_meleagris ENSNMEG00000014678
melopsittacus_undulatus ENSMUNG00000014060
crocodylus_porosus ENSCPRG00005004672
chelonoidis_abingdonii ENSCABG00000009035
gopherus_agassizii ENSGAGG00000006483
chrysemys_picta_bellii ENSCPBG00000019276
pelodiscus_sinensis ENSPSIG00000004519
pogona_vitticeps ENSPVIG00000025574
anolis_carolinensis ENSACAG00000015486
notechis_scutatus ENSNSUG00000014212
salvator_merianae ENSSMRG00000001885
sphenodon_punctatus ENSSPUG00000018248
lepisosteus_oculatus ENSLOCG00000004271
