danio_rerio ENSDARG00000060008
pygocentrus_nattereri ENSPNAG00000015969
cynoglossus_semilaevis ENSCSEG00000010139
periophthalmus_magnuspinnatus ENSPMGG00000020904
labrus_bergylta ENSLBEG00000011971
fundulus_heteroclitus ENSFHEG00000011129
cyprinodon_variegatus ENSCVAG00000006331
poecilia_formosa ENSPFOG00000007529
poecilia_mexicana ENSPMEG00000017715
poecilia_latipinna ENSPLAG00000018825
poecilia_reticulata ENSPREG00000008044
xiphophorus_couchianus ENSXCOG00000004354
xiphophorus_maculatus ENSXMAG00000014626
gambusia_affinis ENSGAFG00000017677
kryptolebias_marmoratus ENSKMAG00000014726
oryzias_latipes_asm223471v1 ENSORLG00020009242
oryzias_latipes_asm223467v1 ENSORLG00000018151
oryzias_latipes_asm223469v1 ENSORLG00015006457
oryzias_melastigma ENSOMEG00000008010
maylandia_zebra ENSMZEG00005012026
astatotilapia_calliptera ENSACLG00000001313
pundamilia_nyererei ENSPNYG00000009685
haplochromis_burtoni ENSHBUG00000018778
neolamprologus_brichardi ENSNBRG00000005704
oreochromis_niloticus ENSONIG00000000433
amphilophus_citrinellus ENSACIG00000011213
mastacembelus_armatus ENSMAMG00000000122
anabas_testudineus ENSATEG00000019177
seriola_dumerili ENSSDUG00000003875
seriola_lalandi_dorsalis ENSSLDG00000010088
amphiprion_ocellaris ENSAOCG00000012271
amphiprion_percula ENSAPEG00000006131
acanthochromis_polyacanthus ENSAPOG00000004690
stegastes_partitus ENSSPAG00000007825
scophthalmus_maximus ENSSMAG00000008625
paramormyrops_kingsleyae ENSPKIG00000016234
scleropages_formosus ENSSFOG00015015157
lepisosteus_oculatus ENSLOCG00000016424
manacus_vitellinus ENSMVIG00005002164
lepidothrix_coronata ENSLCOG00000009527
junco_hyemalis ENSJHYG00000004034
calidris_pugnax ENSCPUG00000018006
calidris_pygmaea ENSCPGG00000018445
melopsittacus_undulatus ENSMUNG00000013178
meleagris_gallopavo ENSMGAG00000008982
coturnix_japonica ENSCJPG00005007164
gallus_gallus ENSGALG00000045729
numida_meleagris ENSNMEG00000014742
anser_brachyrhynchus ENSABRG00000015610
anas_platyrhynchos_platyrhynchos ENSAPLG00000006071
apteryx_owenii ENSAOWG00000004022
apteryx_haastii ENSAHAG00000001340
apteryx_rowi ENSARWG00000005489
dromaius_novaehollandiae ENSDNVG00000015003
nothoprocta_perdicaria ENSNPEG00000011360
crocodylus_porosus ENSCPRG00005002697
gopherus_agassizii ENSGAGG00000015043
chelonoidis_abingdonii ENSCABG00000005174
chrysemys_picta_bellii ENSCPBG00000026412
pelodiscus_sinensis ENSPSIG00000014668
anolis_carolinensis ENSACAG00000002130
pogona_vitticeps ENSPVIG00000014192
notechis_scutatus ENSNSUG00000009976
salvator_merianae ENSSMRG00000000070
sphenodon_punctatus ENSSPUG00000006660
castor_canadensis ENSCCNG00000029520
dipodomys_ordii ENSDORG00000029474
mus_spicilegus ENSMSIG00000028077
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015812
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000053461
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015012
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028244
rattus_norvegicus ENSRNOG00000056400
meriones_unguiculatus ENSMUGG00000012493
cricetulus_griseus_crigri_1.0 ENSCGRG00000014905
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014102
cricetulus_griseus_crigri-picr ENSCGRG00015009041
mesocricetus_auratus ENSMAUG00000011018
peromyscus_maniculatus_bairdii ENSPEMG00000021653
nannospalax_galili ENSNGAG00000001214
tupaia_belangeri ENSTBEG00000008240
homo_sapiens ENSG00000143512
gorilla_gorilla ENSGGOG00000001182
pan_troglodytes ENSPTRG00000002006
pan_troglodytes ENSPTRG00000046248
pan_paniscus ENSPPAG00000042275
pongo_abelii ENSPPYG00000000199
nomascus_leucogenys ENSNLEG00000013732
mandrillus_leucophaeus ENSMLEG00000031078
cercocebus_atys ENSCATG00000042853
theropithecus_gelada ENSTGEG00000005590
papio_anubis ENSPANG00000019182
macaca_mulatta ENSMMUG00000007893
macaca_fascicularis ENSMFAG00000036732
macaca_nemestrina ENSMNEG00000000089
colobus_angolensis_palliatus ENSCANG00000038647
piliocolobus_tephrosceles ENSPTEG00000003706
rhinopithecus_bieti ENSRBIG00000040993
rhinopithecus_roxellana ENSRROG00000041535
cebus_capucinus_imitator ENSCCAG00000028953
callithrix_jacchus ENSCJAG00000009309
saimiri_boliviensis_boliviensis ENSSBOG00000019913
aotus_nancymaae ENSANAG00000019716
carlito_syrichta ENSTSYG00000003117
otolemur_garnettii ENSOGAG00000003007
oryctolagus_cuniculus ENSOCUG00000000603
ochotona_princeps ENSOPRG00000013790
urocitellus_parryii ENSUPAG00010009987
ictidomys_tridecemlineatus ENSSTOG00000007102
spermophilus_dauricus ENSSDAG00000000992
sorex_araneus ENSSARG00000009998
erinaceus_europaeus ENSEEUG00000010353
chinchilla_lanigera ENSCLAG00000002876
octodon_degus ENSODEG00000014714
propithecus_coquereli ENSPCOG00000013075
prolemur_simus ENSPSMG00000002929
capra_hircus ENSCHIG00000014988
ovis_aries ENSOARG00000013364
bos_mutus ENSBMUG00000007240
bos_taurus ENSBTAG00000017561
bison_bison_bison ENSBBBG00000002608
tursiops_truncatus ENSTTRG00000016591
vicugna_pacos ENSVPAG00000012332
sus_scrofa ENSSSCG00000010832
equus_caballus ENSECAG00000015848
equus_asinus_asinus ENSEASG00005006363
neovison_vison ENSNVIG00000017585
mustela_putorius_furo ENSMPUG00000003943
ursus_americanus ENSUAMG00000012144
ursus_maritimus ENSUMAG00000022636
ailuropoda_melanoleuca ENSAMEG00000006909
canis_lupus_familiaris ENSCAFG00000013627
canis_lupus_dingo ENSCAFG00020002478
vulpes_vulpes ENSVVUG00000010307
panthera_pardus ENSPPRG00000011175
panthera_tigris_altaica ENSPTIG00000020447
felis_catus ENSFCAG00000002257
loxodonta_africana ENSLAFG00000015995
procavia_capensis ENSPCAG00000009642
echinops_telfairi ENSETEG00000010125
choloepus_hoffmanni ENSCHOG00000006459
dasypus_novemcinctus ENSDNOG00000006854
phascolarctos_cinereus ENSPCIG00000029398
notamacropus_eugenii ENSMEUG00000006968
sarcophilus_harrisii ENSSHAG00000007524
monodelphis_domestica ENSMODG00000004695
ornithorhynchus_anatinus ENSOANG00000001438
ornithorhynchus_anatinus ENSOANG00000009538
xenopus_tropicalis ENSXETG00000015039
latimeria_chalumnae ENSLACG00000011621
eptatretus_burgeri ENSEBUG00000011231
