castor_canadensis ENSCCNG00000007915
dipodomys_ordii ENSDORG00000028068
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034247
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000053852
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033092
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031634
rattus_norvegicus ENSRNOG00000054401
meriones_unguiculatus ENSMUGG00000026697
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001000280
cricetulus_griseus_crigri-picr ENSCGRG00015009764
cricetulus_griseus_crigri_1.0 ENSCGRG00000001311
mesocricetus_auratus ENSMAUG00000011586
peromyscus_maniculatus_bairdii ENSPEMG00000022946
microtus_ochrogaster ENSMOCG00000020722
nannospalax_galili ENSNGAG00000018273
jaculus_jaculus ENSJJAG00000009866
chinchilla_lanigera ENSCLAG00000003090
octodon_degus ENSODEG00000002323
cavia_porcellus ENSCPOG00000023011
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000018882
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100004200
fukomys_damarensis ENSFDAG00000000047
spermophilus_dauricus ENSSDAG00000007399
urocitellus_parryii ENSUPAG00010013206
marmota_marmota_marmota ENSMMMG00000013042
ictidomys_tridecemlineatus ENSSTOG00000023630
oryctolagus_cuniculus ENSOCUG00000006037
pan_troglodytes ENSPTRG00000049070
pan_paniscus ENSPPAG00000040242
homo_sapiens ENSG00000156920
gorilla_gorilla ENSGGOG00000025527
pongo_abelii ENSPPYG00000020763
nomascus_leucogenys ENSNLEG00000002681
piliocolobus_tephrosceles ENSPTEG00000014494
colobus_angolensis_palliatus ENSCANG00000042979
rhinopithecus_roxellana ENSRROG00000029199
rhinopithecus_bieti ENSRBIG00000030359
theropithecus_gelada ENSTGEG00000003234
papio_anubis ENSPANG00000014919
mandrillus_leucophaeus ENSMLEG00000029336
cercocebus_atys ENSCATG00000042569
macaca_fascicularis ENSMFAG00000041488
macaca_mulatta ENSMMUG00000044975
macaca_nemestrina ENSMNEG00000029288
chlorocebus_sabaeus ENSCSAG00000007537
cebus_capucinus_imitator ENSCCAG00000033597
saimiri_boliviensis_boliviensis ENSSBOG00000020823
callithrix_jacchus ENSCJAG00000042801
aotus_nancymaae ENSANAG00000028361
carlito_syrichta ENSTSYG00000036196
prolemur_simus ENSPSMG00000002905
microcebus_murinus ENSMICG00000035091
propithecus_coquereli ENSPCOG00000022888
otolemur_garnettii ENSOGAG00000033881
ursus_maritimus ENSUMAG00000010362
ursus_americanus ENSUAMG00000002291
ailuropoda_melanoleuca ENSAMEG00000002948
ursus_americanus ENSUAMG00000012046
mustela_putorius_furo ENSMPUG00000001918
neovison_vison ENSNVIG00000001403
canis_lupus_familiaris ENSCAFG00000018940
canis_lupus_dingo ENSCAFG00020024646
vulpes_vulpes ENSVVUG00000024809
panthera_pardus ENSPPRG00000014556
panthera_tigris_altaica ENSPTIG00000008512
felis_catus ENSFCAG00000027861
equus_caballus ENSECAG00000040231
tursiops_truncatus ENSTTRG00000007107
pteropus_vampyrus ENSPVAG00000010021
loxodonta_africana ENSLAFG00000021418
procavia_capensis ENSPCAG00000003979
dasypus_novemcinctus ENSDNOG00000041437
ornithorhynchus_anatinus ENSOANG00000011676
