bison_bison_bison ENSBBBG00000021993
bos_mutus ENSBMUG00000012566
sus_scrofa ENSSSCG00000039277
ursus_maritimus ENSUMAG00000008897
ursus_americanus ENSUAMG00000005728
ailuropoda_melanoleuca ENSAMEG00000018913
ursus_americanus ENSUAMG00000027280
ursus_maritimus ENSUMAG00000009493
canis_lupus_familiaris ENSCAFG00000018409
vulpes_vulpes ENSVVUG00000007254
loxodonta_africana ENSLAFG00000028101
notamacropus_eugenii ENSMEUG00000003107
pelodiscus_sinensis ENSPSIG00000000010
manacus_vitellinus ENSMVIG00005003106
anolis_carolinensis ENSACAG00000006946
