periophthalmus_magnuspinnatus ENSPMGG00000010123
hippocampus_comes ENSHCOG00000010099
poecilia_formosa ENSPFOG00000010780
poecilia_mexicana ENSPMEG00000013915
poecilia_latipinna ENSPLAG00000009169
poecilia_reticulata ENSPREG00000017548
xiphophorus_maculatus ENSXMAG00000013458
gambusia_affinis ENSGAFG00000021699
cyprinodon_variegatus ENSCVAG00000020810
fundulus_heteroclitus ENSFHEG00000013521
oryzias_latipes_asm223471v1 ENSORLG00020012829
oryzias_latipes_asm223467v1 ENSORLG00000016275
oryzias_latipes_asm223469v1 ENSORLG00015018771
oryzias_melastigma ENSOMEG00000021584
gasterosteus_aculeatus ENSGACG00000013171
amphiprion_percula ENSAPEG00000022828
amphiprion_ocellaris ENSAOCG00000023897
acanthochromis_polyacanthus ENSAPOG00000009679
stegastes_partitus ENSSPAG00000012196
kryptolebias_marmoratus ENSKMAG00000014408
haplochromis_burtoni ENSHBUG00000008841
pundamilia_nyererei ENSPNYG00000013585
maylandia_zebra ENSMZEG00005016426
astatotilapia_calliptera ENSACLG00000009638
neolamprologus_brichardi ENSNBRG00000004572
oreochromis_niloticus ENSONIG00000008603
amphilophus_citrinellus ENSACIG00000017648
seriola_dumerili ENSSDUG00000005932
seriola_lalandi_dorsalis ENSSLDG00000011700
scophthalmus_maximus ENSSMAG00000012942
monopterus_albus ENSMALG00000010093
mastacembelus_armatus ENSMAMG00000010537
anabas_testudineus ENSATEG00000005677
mola_mola ENSMMOG00000017175
labrus_bergylta ENSLBEG00000015772
tetraodon_nigroviridis ENSTNIG00000006876
tetraodon_nigroviridis ENSTNIG00000006877
takifugu_rubripes ENSTRUG00000013218
cynoglossus_semilaevis ENSCSEG00000011851
gadus_morhua ENSGMOG00000007356
esox_lucius ENSELUG00000000461
pygocentrus_nattereri ENSPNAG00000028593
astyanax_mexicanus ENSAMXG00000024852
ictalurus_punctatus ENSIPUG00000006490
danio_rerio ENSDARG00000017220
paramormyrops_kingsleyae ENSPKIG00000020586
scleropages_formosus ENSSFOG00015008954
