bos_taurus ENSBTAG00000009521
bos_mutus ENSBMUG00000018914
bison_bison_bison ENSBBBG00000022178
ovis_aries ENSOARG00000005296
capra_hircus ENSCHIG00000027129
tursiops_truncatus ENSTTRG00000005886
sus_scrofa ENSSSCG00000002931
vicugna_pacos ENSVPAG00000000427
myotis_lucifugus ENSMLUG00000012334
erinaceus_europaeus ENSEEUG00000003817
ursus_americanus ENSUAMG00000020571
ursus_maritimus ENSUMAG00000020849
ailuropoda_melanoleuca ENSAMEG00000001021
neovison_vison ENSNVIG00000016054
canis_lupus_familiaris ENSCAFG00000023943
canis_lupus_dingo ENSCAFG00020018097
vulpes_vulpes ENSVVUG00000013573
panthera_tigris_altaica ENSPTIG00000019678
panthera_pardus ENSPPRG00000002326
felis_catus ENSFCAG00000031888
equus_caballus ENSECAG00000011876
equus_asinus_asinus ENSEASG00005002264
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030599
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029503
peromyscus_maniculatus_bairdii ENSPEMG00000030175
castor_canadensis ENSCCNG00000009288
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100012164
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000011257
chinchilla_lanigera ENSCLAG00000010548
ictidomys_tridecemlineatus ENSSTOG00000005680
spermophilus_dauricus ENSSDAG00000009956
urocitellus_parryii ENSUPAG00010014260
oryctolagus_cuniculus ENSOCUG00000029204
tupaia_belangeri ENSTBEG00000001136
pan_troglodytes ENSPTRG00000024357
pan_paniscus ENSPPAG00000032849
homo_sapiens ENSG00000196357
gorilla_gorilla ENSGGOG00000016237
pongo_abelii ENSPPYG00000009899
nomascus_leucogenys ENSNLEG00000011787
colobus_angolensis_palliatus ENSCANG00000037110
piliocolobus_tephrosceles ENSPTEG00000010338
rhinopithecus_roxellana ENSRROG00000044748
rhinopithecus_bieti ENSRBIG00000038764
cercocebus_atys ENSCATG00000014031
papio_anubis ENSPANG00000008019
mandrillus_leucophaeus ENSMLEG00000042219
theropithecus_gelada ENSTGEG00000007914
macaca_nemestrina ENSMNEG00000036466
macaca_mulatta ENSMMUG00000042841
chlorocebus_sabaeus ENSCSAG00000004235
cebus_capucinus_imitator ENSCCAG00000029610
saimiri_boliviensis_boliviensis ENSSBOG00000024754
callithrix_jacchus ENSCJAG00000009527
aotus_nancymaae ENSANAG00000034521
carlito_syrichta ENSTSYG00000033964
prolemur_simus ENSPSMG00000001784
propithecus_coquereli ENSPCOG00000016385
microcebus_murinus ENSMICG00000035612
otolemur_garnettii ENSOGAG00000009526
carlito_syrichta ENSTSYG00000000427
macaca_fascicularis ENSMFAG00000033096
equus_asinus_asinus ENSEASG00005002272
equus_caballus ENSECAG00000039920
canis_lupus_dingo ENSCAFG00020018096
ursus_maritimus ENSUMAG00000020852
marmota_marmota_marmota ENSMMMG00000004531
choloepus_hoffmanni ENSCHOG00000011760
dasypus_novemcinctus ENSDNOG00000018098
procavia_capensis ENSPCAG00000006437
