octodon_degus ENSODEG00000012926
ictidomys_tridecemlineatus ENSSTOG00000033240
dipodomys_ordii ENSDORG00000027273
castor_canadensis ENSCCNG00000030292
mesocricetus_auratus ENSMAUG00000000831
pan_troglodytes ENSPTRG00000052110
aotus_nancymaae ENSANAG00000029950
canis_lupus_dingo ENSCAFG00020022609
capra_hircus ENSCHIG00000023411
myotis_lucifugus ENSMLUG00000029505
lepidothrix_coronata ENSLCOG00000008680
melopsittacus_undulatus ENSMUNG00000000221
nothoprocta_perdicaria ENSNPEG00000015511
chelonoidis_abingdonii ENSCABG00000010167
