gallus_gallus ENSGALG00000042374
coturnix_japonica ENSCJPG00005017716
anser_brachyrhynchus ENSABRG00000002784
parus_major ENSPMJG00000018407
cyanistes_caeruleus ENSCCEG00000023509
manacus_vitellinus ENSMVIG00005001432
ficedula_albicollis ENSFALG00000003284
zonotrichia_albicollis ENSZALG00000017712
apteryx_owenii ENSAOWG00000018727
apteryx_rowi ENSARWG00000004668
apteryx_haastii ENSAHAG00000008080
pelodiscus_sinensis ENSPSIG00000002897
gopherus_agassizii ENSGAGG00000018460
anolis_carolinensis ENSACAG00000012077
pogona_vitticeps ENSPVIG00000000913
notechis_scutatus ENSNSUG00000015967
pteropus_vampyrus ENSPVAG00000010389
myotis_lucifugus ENSMLUG00000005135
capra_hircus ENSCHIG00000016852
ovis_aries ENSOARG00000017378
bos_taurus ENSBTAG00000016396
bos_mutus ENSBMUG00000024453
bison_bison_bison ENSBBBG00000017894
tursiops_truncatus ENSTTRG00000007639
sus_scrofa ENSSSCG00000038903
vicugna_pacos ENSVPAG00000005129
equus_asinus_asinus ENSEASG00005022489
equus_caballus ENSECAG00000004445
neovison_vison ENSNVIG00000006854
mustela_putorius_furo ENSMPUG00000003215
ursus_maritimus ENSUMAG00000016414
canis_lupus_dingo ENSCAFG00020006966
canis_lupus_familiaris ENSCAFG00000013607
vulpes_vulpes ENSVVUG00000010094
panthera_pardus ENSPPRG00000019135
panthera_tigris_altaica ENSPTIG00000021590
felis_catus ENSFCAG00000022207
loxodonta_africana ENSLAFG00000005234
procavia_capensis ENSPCAG00000012926
choloepus_hoffmanni ENSCHOG00000002689
mus_spicilegus ENSMSIG00000029329
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000075270
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024605
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023683
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0025135
rattus_norvegicus ENSRNOG00000024457
meriones_unguiculatus ENSMUGG00000024826
peromyscus_maniculatus_bairdii ENSPEMG00000021597
microtus_ochrogaster ENSMOCG00000005959
cricetulus_griseus_crigri-picr ENSCGRG00015021795
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011422
mesocricetus_auratus ENSMAUG00000021257
nannospalax_galili ENSNGAG00000023493
jaculus_jaculus ENSJJAG00000018583
cavia_porcellus ENSCPOG00000000682
chinchilla_lanigera ENSCLAG00000013013
octodon_degus ENSODEG00000010682
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000005226
fukomys_damarensis ENSFDAG00000021204
urocitellus_parryii ENSUPAG00010006062
ictidomys_tridecemlineatus ENSSTOG00000012639
marmota_marmota_marmota ENSMMMG00000006230
ochotona_princeps ENSOPRG00000002569
pan_paniscus ENSPPAG00000036387
pan_troglodytes ENSPTRG00000012684
homo_sapiens ENSG00000128655
gorilla_gorilla ENSGGOG00000034968
pongo_abelii ENSPPYG00000012972
nomascus_leucogenys ENSNLEG00000006056
piliocolobus_tephrosceles ENSPTEG00000000318
colobus_angolensis_palliatus ENSCANG00000031456
rhinopithecus_roxellana ENSRROG00000028809
rhinopithecus_bieti ENSRBIG00000043623
papio_anubis ENSPANG00000025222
theropithecus_gelada ENSTGEG00000021809
mandrillus_leucophaeus ENSMLEG00000044286
macaca_fascicularis ENSMFAG00000042268
chlorocebus_sabaeus ENSCSAG00000014313
macaca_nemestrina ENSMNEG00000037080
macaca_mulatta ENSMMUG00000002011
cercocebus_atys ENSCATG00000042325
homo_sapiens ENSG00000284741
saimiri_boliviensis_boliviensis ENSSBOG00000026746
cebus_capucinus_imitator ENSCCAG00000023473
callithrix_jacchus ENSCJAG00000014554
aotus_nancymaae ENSANAG00000025414
carlito_syrichta ENSTSYG00000010549
prolemur_simus ENSPSMG00000007629
microcebus_murinus ENSMICG00000003770
propithecus_coquereli ENSPCOG00000025830
ailuropoda_melanoleuca ENSAMEG00000012011
sorex_araneus ENSSARG00000001472
phascolarctos_cinereus ENSPCIG00000025405
sarcophilus_harrisii ENSSHAG00000018706
ornithorhynchus_anatinus ENSOANG00000008626
