heterocephalus_glaber_hetgla_1.0 ENSHGLG00100010899
fukomys_damarensis ENSFDAG00000006539
cavia_porcellus ENSCPOG00000021848
chinchilla_lanigera ENSCLAG00000017969
spermophilus_dauricus ENSSDAG00000013114
ictidomys_tridecemlineatus ENSSTOG00000024421
marmota_marmota_marmota ENSMMMG00000003245
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033797
mus_spicilegus ENSMSIG00000002183
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000079334
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032652
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0015520
rattus_norvegicus ENSRNOG00000054063
meriones_unguiculatus ENSMUGG00000017196
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001001817
cricetulus_griseus_crigri-picr ENSCGRG00015011614
cricetulus_griseus_crigri_1.0 ENSCGRG00000016355
mesocricetus_auratus ENSMAUG00000015578
microtus_ochrogaster ENSMOCG00000011598
peromyscus_maniculatus_bairdii ENSPEMG00000005715
nannospalax_galili ENSNGAG00000021212
dipodomys_ordii ENSDORG00000007856
oryctolagus_cuniculus ENSOCUG00000027673
ochotona_princeps ENSOPRG00000018636
pan_troglodytes ENSPTRG00000034051
pan_paniscus ENSPPAG00000027579
homo_sapiens ENSG00000243477
nomascus_leucogenys ENSNLEG00000018540
rhinopithecus_roxellana ENSRROG00000043808
rhinopithecus_bieti ENSRBIG00000029249
colobus_angolensis_palliatus ENSCANG00000027578
chlorocebus_sabaeus ENSCSAG00000018786
cercocebus_atys ENSCATG00000038927
mandrillus_leucophaeus ENSMLEG00000040306
theropithecus_gelada ENSTGEG00000004505
macaca_fascicularis ENSMFAG00000038112
macaca_mulatta ENSMMUG00000020120
macaca_nemestrina ENSMNEG00000030123
saimiri_boliviensis_boliviensis ENSSBOG00000022540
callithrix_jacchus ENSCJAG00000037363
cebus_capucinus_imitator ENSCCAG00000025189
aotus_nancymaae ENSANAG00000034860
carlito_syrichta ENSTSYG00000000080
microcebus_murinus ENSMICG00000031697
propithecus_coquereli ENSPCOG00000026290
prolemur_simus ENSPSMG00000014691
otolemur_garnettii ENSOGAG00000029422
